,Url,Description,Topics,Stars
0,https://github.com/3b1b/manim.git,Animation engine for explanatory math videos,"python,animation,explanatory-math-videos,3b1b-videos",33646
0,https://github.com/trekhleb/homemade-machine-learning.git,🤖 Python examples of popular machine learning algorithms with interactive Jupyter demos and math being explained,"python,jupyter,jupyter-notebook,machine-learning,machinelearning,machine-learning-algorithms,algorithm",17502
0,https://github.com/KaTeX/KaTeX.git,Fast math typesetting for the web.,"math,math-typesetting,latex,javascript,katex",13758
0,https://github.com/josdejong/mathjs.git,An extensive math library for JavaScript and Node.js,"math,javascript,complex-numbers,matrices,units,bignumbers,expression-evaluator",11129
0,https://github.com/d2l-ai/d2l-en.git,"Interactive deep learning book with multi-framework code, math, and discussions. Adopted at 175 universities.","deep-learning,machine-learning,book,notebook,computer-vision,natural-language-processing,python,kaggle,data-science,mxnet,pytorch,tensorflow,keras",9867
0,https://github.com/mathjax/MathJax.git,Beautiful and accessible math in all browsers,"javascript,mathematics,latex,asciimath-notation,mathml,mathjax,typography,svg,html,css,accessibility",8193
0,https://github.com/Jounce/Surge.git,"A Swift library that uses the Accelerate framework to provide high-performance functions for matrix math, digital signal processing, and image manipulation.","swift,accelerate,math,arithmetic,convolution,fft,trigonometry,matrix,dsp",4868
0,https://github.com/Leo-G/Data-Science-Wiki.git,"A wiki of  DataScience, Statistics, Maths, R,Python, AI, Machine Learning,  Automation, Devops Tools, Bash, Linux Tutorials, Scripts and Datasets",,4753
0,https://github.com/neozhaoliang/pywonderland.git,A tour in the wonderland of math with python.,"fractals,penrose-tilings,polytopes,hopf-fibration,reaction-diffusion,coxeter-groups,hopcroft,domino-shuffling-algorithm,coupling-from-the-past,uniform-spanning-tree,todd-coxeter,uniform-tilings,hyperbolic-tilings,hyperbolic-honeycombs",3885
0,https://github.com/zalo/MathUtilities.git,"{""A collection of some of the neat math and physics tricks that I've collected over the last few years.""}","kalman-filter,neat,unity,unity3d,physics,utilities,math,motion,camera",2526
0,https://github.com/mathnet/mathnet-numerics.git,Math.NET Numerics,"math,numerics,linear-algebra,fsharp,matrix,random,mathnet,csharp,interpolation,regression,statistics,integration,fft,differentiation",2505
0,https://github.com/opentk/opentk.git,"The Open Toolkit library is a fast, low-level C# wrapper for OpenGL, OpenAL & OpenCL. It also includes windowing, mouse, keyboard and joystick input and a robust and fast math library, giving you everything you need to write your own renderer or game engine. OpenTK can be used standalone or inside a GUI on Windows, Linux, Mac.","c-sharp,opengl,opengl-es,graphics-library,game-development,math-library,scientific-visualization,openal,opencl,graphics,game-engine",2074
0,https://github.com/unconed/MathBox.js.git,MathBox is a (work in progress) library for making presentation-quality math diagrams in WebGL.,,1931
