,Url,Description,Topics,Stars
0,https://github.com/openemr/openemr.git,"{""OpenEMR is the most popular open source electronic health records and medical practice management solution. OpenEMR's goal is a superior alternative to its proprietary counterparts.""}","openemr,practice-management,emr,ehr,php,linux,windows,osx,healthcare,hit,medical,health,sponsors,international,proprietary-counterparts,medical-informatics,medical-information,medical-records,fhir,global-health",1563
0,https://github.com/mitmedialab/medrec.git,medical records on the blockchain https://medrec.media.mit.edu/ ,,127
0,https://github.com/nyuvis/patient-viz.git,Visualization of electronic medical records or other sequence event data.,,74
0,https://github.com/freemed/freemed.git,FreeMED Electronic Medical Record / Practice Management System,,72
0,https://github.com/dreaswar/AuShadha.git,AuShadha (औषध): Means medicine in Sanskrit. This is a Electronic Medical Records (EMR) and Public Health Management for small clinics written in Django and Dojo ,,64
0,https://github.com/wangpinggl/TREQS.git,Text-to-SQL Generation for Question Answering on Electronic Medical Records,,63
0,https://github.com/clearhealth/clearhealth.git,Open Source Practice Management and Electronic Medical Records System,,59
0,https://github.com/rOpenHealth/rEHR.git,R tools for processing and extracting clinical information from Electronic Medical Records Databases,,47
0,https://github.com/nedap/deidentify.git,A Python library to de-identify medical records with state-of-the-art NLP methods.,,44
0,https://github.com/GoogleCloudPlatform/healthcare-deid.git,Tools for de-identifying medical records on Google Cloud Platform.,,40
0,https://github.com/jennaallen/dog_days.git,"{""Using AWS RDS and S3 to store data about my dogs' vaccination and medical records. Creating an R shiny app to keep track of and share records with vets. :dog: :dog:""}","r,shiny,dog,medical,vaccination,vet,aws-s3,aws-rds",37
0,https://github.com/minjechoi/RetainVis.git,An implementation of RetainVis: Visual Analytics with Interpretable and Interactive Recurrent Neural Networks on Electronic Medical Records,,35
0,https://github.com/NFhbar/Ethereum-Medical-Records.git,A Medical Record System smart contract for hospitals and patients.,"ethereum,solidity-contracts,smart-contracts,truffle,zeppelin-solidity,solidity-coverage,travis-ci,coveralls,ethpm",31
0,https://github.com/mishravikas/HealthDB.git,HealthDB is an open source Electronic Medical Records (EMR) and patient management system built on Django.,,29
0,https://github.com/sidharthramesh/medblocks.git,Secure peer to peer storage for medical records,,26
0,https://github.com/jiuguangw/Agenoria.git,"{""Python utility for visualizing growth data from a newborn's first year, such as feeding, diapering, sleep, and growth, recorded in the Glow Baby app.""}","baby,visualization,timeseries,matplotlib,seaborn,pandas,medical,glow-baby",26
