,Url,Description,Topics,Stars
0,https://github.com/TarrySingh/Artificial-Intelligence-Deep-Learning-Machine-Learning-Tutorials.git,"A comprehensive list of Deep Learning / Artificial Intelligence and Machine Learning tutorials - rapidly expanding into areas of AI/Deep Learning / Machine Vision / NLP and industry specific areas such as Climate / Energy, Automotives, Retail, Pharma, Medicine, Healthcare, Policy, Ethics and more.","machine-learning,deep-learning,tensorflow,python,pytorch,keras,lua,matplotlib,aws,kaggle,pandas,scikit-learn,torch,artificial-intelligence,neural-network,convolutional-neural-networks,tensorflow-tutorials,python-data,ipython-notebook,capsule-network",2770
0,https://github.com/greenelab/deep-review.git,"A collaboratively written review paper on deep learning, genomics, and precision medicine","deep-learning,neural-networks,review,genomics,manuscript,manubot",1153
0,https://github.com/HossamElghamry/Mediminder.git,"A  mobile medicine reminder built with Flutter, Provider and BLoC pattern.",,155
0,https://github.com/llSourcell/AI_in_Medicine_Clinical_Imaging_Classification.git,"This is the code for ""AI in Medicine "" By Siraj Raval on Youtube",,149
0,https://github.com/maoqyhz/MIMS.git,Graduation project named medicine information management system. using asp.net mvc4 + easyUI + Dapper,"asp-net-mvc,csharp,information-systems,pharmacy",131
0,https://github.com/zwdzwd/transvar.git,TransVar - multiway annotator for precision medicine,,90
0,https://github.com/KanZa-Studio/Handy.git,"App to control your health activities like calorie, water, medicine consumption, sleeping and weight control.","health,eating,medicines,calories-tracker,calorie-counter,sleep-tracker,weight-tracking,flutter,flutter-app,dart,dartlang,water-tracker,meals,medicine-tracker,firebase,android",81
0,https://github.com/m-hamzashakeel/MedKit-Pharmacy-App-Using-Flutter.git,To cure symptoms of various disease using medicines at home this app will act as guideline. Few animations are used and Firebase is used as database.,"flutter,dart,medical-application,pharmacy",71
0,https://github.com/musabagab/MedicineReminder.git,Medicine Reminder app built with flutter,,68
0,https://github.com/dreaswar/AuShadha.git,AuShadha (औषध): Means medicine in Sanskrit. This is a Electronic Medical Records (EMR) and Public Health Management for small clinics written in Django and Dojo ,,64
0,https://github.com/trangptm/DeepCare.git,A Deep Dynamic Memory Model for Predictive Medicine,,59
0,https://github.com/anmspro/AI-for-Medicine-Specialization.git,AI for Medicine Specialization - Coursera offered by deeplearning.ai,"coursera,coursera-deep-learning,coursera-ai-for-medicine,aiformedicine,ai-for-medicine,deeplearning,deeplearning-ai,keras,ai-for-medicine-coursera,sklearn,artificial-intelligence,andrew-ng,ai-for-medical-diagnosis,ai,ai-for-medical-prognosis,ai-for-medical-treatment",57
0,https://github.com/Arkanayan/Pharmacy-Android.git,Android app for ordering medicines,,53
0,https://github.com/elsevierlabs/OA-STM-Corpus.git,"Corpus of Open Access articles from multiple fields in Science, Technology, and Medicine.",,52
0,https://github.com/ChanchalKumarMaji/AI-for-Medicine-Specialization-deeplearning.ai.git,"[Coursera] AI for Medicine Specialization by ""deeplearning.ai"".","coursera,ai-for-medicine,keras,deeplearning-ai,deeplearning,artificial-intelligence,sklearn,ai-for-medical-diagnosis,ai-for-medical-prognosis,ai-for-medicine-coursera,ai-for-medical-treatment",46
0,https://github.com/HHS/pillbox_docs.git,Pillbox at the National Library of Medicine,,46
0,https://github.com/vanderschaarlab/mlforhealthlabpub.git,Machine Learning and Artificial Intelligence for Medicine. ,,45
0,https://github.com/rstudio-education/rmd4medicine.git,Introduction to R Markdown for Medicine,,41
0,https://github.com/chentao1999/MedicalRelationExtraction.git,"The depository support training and testing BERT-CNN model on three medical relation extraction corpora: BioCreative V CDR task corpus, traditional Chinese medicine  literature corpus, and i2b2 temporal relation corpus.",,39
0,https://github.com/F-Y-E-F/Medicine-App-In-Flutter.git,Add which you get notification about medicine which you have to take,,38
0,https://github.com/griffithlab/pmbio.org.git,Website for the precision medicine workshop,,35
0,https://github.com/excellalabs/open-cabinet.git,OpenCabinet is a tool for the public to find interactions between the medicine that they and their family are taking using data directly from the FDA,,35
