,Url,Description,Topics,Stars
0,https://github.com/VGraupera/1on1-questions.git,Mega list of 1 on 1 meeting questions compiled from a variety to sources,management,8457
0,https://github.com/leits/MeetingBar.git,Your next meeting always before your eyes in the macOS menu bar,"swift,calendar,macos,meetings,google-meet,zoom,microsoft-teams,macos-calendar",2123
0,https://github.com/ParabolInc/parabol.git,Free online agile retrospective meeting tool,"saas,realtime,kanban,nodejs,react,rethinkdb,graphql,stripe,redis,agile,retrospective",1195
0,https://github.com/domenic/promises-unwrapping.git,"The ES6 promises spec, as per September 2013 TC39 meeting",,1068
0,https://github.com/reactjs/core-notes.git,Weekly meeting notes from the React core team,,916
0,https://github.com/edumeet/edumeet.git,Multiparty web-meetings using mediasoup and WebRTC,"webrtc,mediasoup,react,redux,sfu,meeting,screensharing,chat,material-design,material-ui",746
0,https://github.com/tc39/agendas.git,TC39 meeting agendas,,712
0,https://github.com/rwaldron/tc39-notes.git,TC39 Meeting Notes,,580
0,https://github.com/ethereum/pm.git,Project Management: Meeting notes and agenda items,,561
0,https://github.com/arkadiyt/zoom-redirector.git,"{""Zoom Redirector is a browser extension that transparently redirects any meeting links to use Zoom's browser based web client.""}",,544
