,Url,Description,Topics,Stars
0,https://github.com/activemerchant/active_merchant.git,Active Merchant is a simple payment abstraction library extracted from Shopify. The aim of the project is to feel natural to Ruby users and to abstract as many parts as possible away from the user to offer a consistent interface across all supported gateways.,,4308
0,https://github.com/greggles/mcc-codes.git,A public repository of Merchant Category Codes (MCC) in formats easier to read than most places (i.e. not a PDF),,351
0,https://github.com/osCommerce/oscommerce.git,osCommerce Online Merchant v3.x,,309
0,https://github.com/flyerhzm/activemerchant_patch_for_china.git,"A rails plugin to add an active_merchant patch for china online payment platform including alipay (支付宝), 99bill (快钱) and tenpay (财付通)",,308
0,https://github.com/osCommerce/oscommerce2.git,osCommerce Online Merchant v2.x,,272
0,https://github.com/Shopify/active_fulfillment.git,Active Merchant library for integration with order fulfillment services,ruby,148
0,https://github.com/alexk111/awesome-bitcoin-payment-processors.git,"🌟 A curated list of Bitcoin payment processors enabling merchants, businesses and nonprofits to accept Bitcoin payments.","awesome-lists,bitcoin,payment-processing,awesome-list,awesome,bitcoin-payment,payment-processors,lightning,lightning-network,btc",147
0,https://github.com/abantecart/abantecart-src.git,"AbanteCart is a free PHP based eCommerce solution for merchants to provide ability creating online business and sell products online quick and efficient.  AbanteCart application is built and supported by experienced enthusiasts that are passionate about their work and contribution to rapidly evolving eCommerce industry. AbanteCart is more than just a shopping cart, it is rapidly growing eCommerce platform",,124
0,https://github.com/xucongli1989/XCLCMS.git,"XCLCMS is a lightweight CMS (content management system) background management system, Developed using asp.net MVC, it provides a simple and easy-to-use web API interface and supports multiple applications for a single merchant.","cms,xclcms,webapi,asp-net,asp-net-mvc,asp-net-web-api,dotnet,content-management-system",106
0,https://github.com/jpablobr/active_paypal_adaptive_payment.git,PayPal Adaptive Payments for Active Merchant,,85
0,https://github.com/opengento/magento2-gdpr.git,"Magento 2 GDPR module is a must have extension for the largest e-commerce CMS used in the world. The module helps to be GDPR compliant. Actually it allows the customers to erase, or export their personal data. As a merchant you have powerful tools to customize the extension capabilities and apply the finest privacy rules.","magento2,rgpd,gdpr,privacy,magento2-module,magento2-extension,magento-2,magento-2-extension,anonymization,erasure,magento",82
0,https://github.com/magento-hackathon/E-MailPreview.git,This extension enables the merchants and developers to preview mail templates from the backend with real data.,,81
0,https://github.com/Shopify/active_utils.git,"Active Utils extracts commonly used modules and classes used by Active Merchant, Active Shipping, and Active Fulfillment",,81
0,https://github.com/tomdale/apple-pay-merchant-session-server.git,Server for obtaining Apple Pay for the Web merchant sessions,,78
0,https://github.com/blockchain/Android-Merchant-App.git,Blockchain Android Merchant App,,74
0,https://github.com/samotari/crypto-terminal.git,CryptoTerminal is an open-source terminal application with which merchants can accept in-person cryptocurrency payments.,,74
0,https://github.com/sbuss/bitmerchant.git,Bitcoin merchant tools,,70
0,https://github.com/railsdog/spree-paypal-express.git,"allowing use of paypal express in spree, using (a modified version of) active merchant",,64
0,https://github.com/ceph/dmclock.git,"Code that implements the dmclock distributed quality of service algorithm. See ""mClock: Handling Throughput Variability for Hypervisor IO Scheduling"" by Gulati, Merchant, and Varman.",,63
0,https://github.com/aasisvinayak/flymyshop.git,FlyMyShop : A free open source e-commerce platform for online merchants ,"laravel,shopping-cart,ecommerce,shop,php,stripe,worldpay",59
0,https://github.com/vitalybaev/php-google-merchant-feed.git,"PHP package, that generates Google Merchant XML Feed","php,google-merchant",49
0,https://github.com/bitmash/alipay-api-php.git,A concise library in PHP for the Alipay API merchant account.,"alipay,php,payment",47
0,https://github.com/xwaynec/active_merchant_allpay.git,"This plugin is an active_merchant patch forAllpay(歐付寶) online payment in Taiwan. Now it supports Credit card(信用卡), ATM(虛擬ATM) and CVS(超商繳費).",,44
0,https://github.com/ericblade/mws-advanced.git,"{""Javascript (node) Amazon Merchant Web Services (MWS) code with mws-simple as it's underpinnings""}","mws,amazon-api,javascript,market,promise,amazon-mws,node,node-js,nodejs,hacktoberfest,mws-api,mws-libraries",43
0,https://github.com/Xenland/BIK_php.git,"{""Don't trust online wallets for your Point of sale device or merchant store? Manage your own Bitcoins finacials with out being a financial programming computer security expert with this library at your side. php""}",,40
