,Url,Description,Topics,Stars
0,https://github.com/nsqio/nsq.git,A realtime distributed messaging platform,"go,messaging,distributed-systems,queue,message-queue,nsq",19649
0,https://github.com/telegramdesktop/tdesktop.git,Telegram Desktop messaging app,"telegram,telegram-desktop,messenger,telegram-solution,multi-platform",15554
0,https://github.com/LMAX-Exchange/disruptor.git,High Performance Inter-Thread Messaging Library,"disruptor,java,concurrency",13720
0,https://github.com/marcuswestin/WebViewJavascriptBridge.git,An iOS/OSX bridge for sending messages between Obj-C and JavaScript in UIWebViews/WebViews,,13648
0,https://github.com/akka/akka.git,"Build highly concurrent, distributed, and resilient message-driven applications on the JVM","reactive,distributed-systems,concurrency,high-performance,akka,actor-model,distributed-actors,cloud-native,streaming,hacktoberfest",11547
0,https://github.com/jessesquires/JSQMessagesViewController.git,An elegant messages UI library for iOS,"messaging,message,messenger,ios,viewcontroller,jsqmessagesviewcontroller,ios-ui",11232
0,https://github.com/OptimalBits/bull.git,Premium Queue package for handling distributed jobs and messages in NodeJS.,"nodejs,message-queue,job-queue,queue,job,message,priority,scheduler,rate-limiter",10590
0,https://github.com/howdyai/botkit.git,"Botkit is an open source developer tool for building chat bots, apps and custom integrations for major messaging platforms.","botkit,botkit-studio,microsoft-bot-framework,bot-application,slack,facebook,twilio,cisco-spark,bots,sms,conversational-ui,workplacebyfacebook,microsoft-teams,bot,facebook-bot,facebook-messenger,glitch,making-bots,web-bot,chatbot",10335
0,https://github.com/carloscuesta/gitmoji.git,An emoji guide for your commit messages. 😜 ,"emoji,gitmoji,commits",9728
0,https://github.com/nats-io/nats-server.git,"High-Performance server for NATS.io, the cloud and edge native messaging system.","go,golang,messaging,message-bus,message-queue,cloud-native,microservices-architecture,nats-server,distributed-systems,cloud,cloud-computing",9301
0,https://github.com/apache/pulsar.git,Apache Pulsar - distributed pub-sub messaging system,"pulsar,pubsub,messaging,streaming,queuing,event-streaming",8446
0,https://github.com/slackhq/SlackTextViewController.git,⛔️**DEPRECATED** ⛔️ A drop-in UIViewController subclass with a growing text input view and other useful messaging features,,8432
0,https://github.com/conventional-changelog/commitlint.git,📓 Lint commit messages,"git,commit,lint,conventions",8181
0,https://github.com/apache/arrow.git,"Apache Arrow is a cross-language development platform for in-memory data. It specifies a standardized language-independent columnar memory format for flat and hierarchical data, organized for efficient analytic operations on modern hardware. It also provides computational libraries and zero-copy streaming messaging and interprocess communication. Languages currently supported include C, C++, Java, JavaScript, Python, and Ruby.",arrow,7909
0,https://github.com/emqx/emqx.git,EMQ X Broker - Scalable Distributed MQTT Message Broker for IoT in the 5G Era,"mqtt,iot,mqtt-broker,erlang,erlang-mqtt-broker,iot-middleware,broker,m2mqtt,m2m,pubsub,messaging,coap,coap-server,lorawan,lorawan-server,5g,5g-messaging,mqtt-server,iot-broker,iot-server",7835
0,https://github.com/antirez/disque.git,Disque is a distributed message broker,,7778
0,https://github.com/guzzle/psr7.git,PSR-7 HTTP message library,,7076
0,https://github.com/needim/noty.git,⛔️ DEPRECATED - Dependency-free notification library that makes it easy to create alert - success - error - warning - information - confirmation messages as an alternative the standard alert dialog.,"javascript,notifications,library,push,depracated,obsolete,archived",6760
0,https://github.com/webmozarts/assert.git,Assertions to validate method input/output with nice error messages.,,6752
0,https://github.com/php-fig/http-message.git,The purpose of this PSR is to provide a set of common interfaces for HTTP messages as described in RFC 7230 and RFC 7231,"psr,php,php-fig,http",6199
0,https://github.com/RomuloOliveira/commit-messages-guide.git,A guide to understand the importance of commit messages and how to write them well,,6122
0,https://github.com/SwiftKickMobile/SwiftMessages.git,A very flexible message bar for iOS written in Swift.,"swift,ios,nib,ui,nib-files,snackbar,alerts,ui-components,banner,swift4,ios11,iphone-x",6073
0,https://github.com/ramboxapp/community-edition.git,Free and Open Source messaging and emailing app that combines common web applications into one.,"windows,macos,linux,whatsapp,messenger,skype,email,gmail,outlook,icloud,hangouts,slack,telegram,microsoft-teams,facebook-workplace,custom-services,discord,hipchat,inbox,tweetdeck",5896
0,https://github.com/gotify/server.git,A simple server for sending and receiving messages in real-time per WebSocket. (Includes a sleek web-ui),"golang,notifications,api,react,javascript,gotify,selfhosted,self-hosted,privacy,cloud,hosting,free-software,self-hosting",5798
0,https://github.com/real-logic/aeron.git,"Efficient reliable UDP unicast, UDP multicast, and IPC message transport","messaging,java,c-plus-plus,ipc,multicast-streams,c",5520
0,https://github.com/tinode/chat.git,"Instant messaging platform. Backend in Go. Clients: Swift iOS, Java Android, JS webapp, scriptable command line; chatbots","chat,chat-application,chatapp,go,golang,instant-messaging,messenger,messaging,messaging-api,grpc,chatbots,chatserver,webchat-server,whatsapp,telegram,xmpp",5404
0,https://github.com/conventional-changelog/conventional-changelog.git,"{""Generate changelogs and release notes from a project's commit messages and metadata.""}","changelog,history,git,tag,metadata",5390
0,https://github.com/ValveSoftware/GameNetworkingSockets.git,Reliable & unreliable messages over UDP.  Robust message fragmentation & reassembly.  P2P networking / NAT traversal.  Encryption.,"reliable-messages,networking,game-development,realtime-messaging,peer-to-peer",5244
0,https://github.com/RichardKnop/machinery.git,Machinery is an asynchronous task queue/job queue based on distributed message passing.,"go,golang,task,task-scheduler,queue,amqp,rabbitmq,redis,memcached,mongodb,aws-sqs",5204
0,https://github.com/centrifugal/centrifugo.git,Scalable real-time messaging server in language-agnostic way. Set up once and forever.,"sockjs,websocket,redis,real-time,messaging,scalability",5035
0,https://github.com/KrauseFx/TSMessages.git,💌 Easy to use and customizable messages/notifications for iOS à la Tweetbot,"notifications,tsmessages,objective-c,cocoapods,ios,library",4935
0,https://github.com/processone/ejabberd.git,"Robust, Ubiquitous and Massively Scalable Messaging Platform (XMPP, MQTT, SIP Server)","erlang,xmpp,jabber,chat,messaging,sip,voip,iot,pubsub,broker,groupchat,stun,turn,ejabberd,jabber-server,mqtt,brokers,server,sip-server",4863
0,https://github.com/berty/berty.git,"Berty is a secure peer-to-peer messaging app that works with or without internet access, cellular data or trust in the network","berty,ipfs,libp2p,mobile-app,ios,android,cybersecurity,privacy,p2p,orbitdb,react-native,gomobile,encryption,censorship,surveillance,monorepo,offline-first,crdt,messaging",4506
0,https://github.com/faye/faye.git,Simple pub/sub messaging for the web,,4327
0,https://github.com/Redth/PushSharp.git,"A server-side library for sending Push Notifications to iOS (iPhone/iPad APNS), Android (C2DM and GCM - Google Cloud Message), Windows Phone, Windows 8, Amazon, Blackberry, and (soon) FirefoxOS devices!",,4321
0,https://github.com/xhzengAIB/MessageDisplayKit.git,"An IM App like WeChat App has to send text, pictures, audio, video, location messaging, managing local address book, share a circle of friends, drifting friends, shake a fun and more interesting features.",,4302
0,https://github.com/HubSpot/messenger.git,Growl-style alerts and messages for your app. #hubspot-open-source,,4074
0,https://github.com/google/end-to-end.git,"End-To-End is a crypto library to encrypt, decrypt, digital sign, and verify signed messages (implementing OpenPGP)","openpgp,javascript,otr,cryptography",3987
0,https://github.com/meetfranz/franz.git,"Franz is a free messaging app for services like WhatsApp, Slack, Messenger and many more.","messaging,electron,franz,messenger,whatsapp,slack,telegram,productivity,office",3975
0,https://github.com/mutualmobile/MMWormhole.git,Message passing between iOS apps and extensions.,,3795
0,https://github.com/seanpowell/Email-Boilerplate.git,The email boilerplate for sending out nicely formatted messages.,,3709
0,https://github.com/hyperoslo/Whisper.git,:mega: Whisper is a component that will make the task of display messages and in-app notifications simple. It has three different views inside,"ios,swift,message,notifications",3700
0,https://github.com/ricochet-im/ricochet.git,Anonymous peer-to-peer instant messaging,"tor,c-plus-plus,messaging,privacy,gui,cross-platform",3531
0,https://github.com/ssbc/patchwork.git,A decentralized messaging and sharing app built on top of Secure Scuttlebutt (SSB).,"scuttlebutt,ssb,social,social-network,decentralized,offline,off-grid,p2p,nodejs,electron,macos,linux,decentralized-messaging,windows,server,javascript",3449
0,https://github.com/nats-io/nats.go.git,"Golang client for NATS, the cloud native messaging system.","go,golang,nats,microservices,microservices-architecture,pub-sub,cloud-native,cloud-native-architectures,cloud-native-microservices",3350
0,https://github.com/actorapp/actor-platform.git,Actor Messaging platform,,3311
0,https://github.com/daimajia/AndroidViewHover.git,An elegant way to show your menu or messages.,,3176
0,https://github.com/twitter-archive/kestrel.git,"simple, distributed message queue system (inactive)",,2787
0,https://github.com/nixzhu/MonkeyKing.git,MonkeyKing helps you to post messages to Chinese Social Networks.,"wechat,weibo,qq,alipay",2656
0,https://github.com/power-assert-js/power-assert.git,Power Assert in JavaScript. Provides descriptive assertion messages through standard assert interface. No API is the best API.,"power-assert,assert",2615
0,https://github.com/ehForwarderBot/ehForwarderBot.git,An extensible message tunneling chat bot framework. Delivers messages to and from multiple platforms and remotely control your accounts.,"chat-bot,chatbot,tunnel-bot,chat-tunneling,framework,eh-forwarder-bot,python-3",2533
0,https://github.com/vernemq/vernemq.git,A distributed MQTT message broker based on Erlang/OTP. Built for high quality & Industrial use cases.,"mqtt,m2m,scalable,broker,erlang,distributed,messaging,pubsub,vernemq,iot-middleware,iot,vernemq-users,vernemq-documentation,industrial-iot,industrial-communication,industrial-automation,industry-40,message-queue,manufacturing",2463
0,https://github.com/real-logic/simple-binary-encoding.git,Simple Binary Encoding (SBE) - High Performance Message Codec,"codec,java,c-plus-plus,golang,encoder-decoder",2419
0,https://github.com/vuvuzela/vuvuzela.git,Private messaging system that hides metadata,"vuvuzela,metadata,privacy,messaging,chat,cryptography,golang,research",2397
0,https://github.com/oyvindkinsey/easyXDM.git,"A javascript library providing cross-browser, cross-site messaging/method invocation.",,2386
0,https://github.com/loopj/jquery-tokeninput.git,"Tokeninput is a jQuery plugin which allows your users to select multiple items from a predefined list, using autocompletion as they type to find each item. You may have seen a similar type of text entry when filling in the recipients field sending messages on facebook.",,2383
0,https://github.com/OpenHFT/Chronicle-Queue.git,Micro second messaging that stores everything to disk,"chronicle,queue,java,performance,low-latency,persistance",2329
0,https://github.com/nanomsg/nng.git,nanomsg-next-generation -- light-weight brokerless messaging,,2268
