,Url,Description,Topics,Stars
0,https://github.com/icsharpcode/ILSpy.git,".NET Decompiler with support for PDB generation, ReadyToRun, Metadata (&more) - cross-platform!","decompiler,decompiler-engine,c-sharp,dotnet,dotnetcore,mono,unity,pdb,ilspy,decompile",12658
0,https://github.com/codelucas/newspaper.git,"News, full-text, and article metadata extraction in Python 3. Advanced docs:","python,news,crawler,crawling,scraper,news-aggregator",10999
0,https://github.com/spotDL/spotify-downloader.git,Download your Spotify playlists and songs along with album art and metadata (from YouTube if a match is found).,"mp3,spotify,download-music,music,song-lyrics,song,youtube-music,playlists,spotdl,spotdl-cli",5507
0,https://github.com/conventional-changelog/conventional-changelog.git,"{""Generate changelogs and release notes from a project's commit messages and metadata.""}","changelog,history,git,tag,metadata",5390
0,https://github.com/blueimp/JavaScript-Load-Image.git,"Load images provided as File or Blob objects or via URL. Retrieve an optionally scaled, cropped or rotated HTML img or canvas element. Use methods to parse image metadata to extract IPTC and Exif tags as well as embedded thumbnail images, to overwrite the Exif Orientation value and to restore the complete image header after resizing.",,4137
0,https://github.com/exif-js/exif-js.git,JavaScript library for reading EXIF image metadata,,4022
0,https://github.com/ronmamo/reflections.git,Java runtime metadata analysis,,3677
0,https://github.com/nuxt/vue-meta.git,Manage HTML metadata in Vue.js components with SSR support,"vue,metadata,meta,seo",3628
0,https://github.com/Triple-T/gradle-play-publisher.git,"{""GPP is Android's unofficial release automation Gradle Plugin. It can do anything from building, uploading, and then promoting your App Bundle or APK to publishing app listings and other metadata.""}","android-development,play-store,gradle-plugin,gpp,mobile,android,apps,automation,deployment,gradle-play-publisher,publishing",3501
0,https://github.com/linkedin/datahub.git,A Generalized Metadata Search & Discovery Tool,"metadata,big-data,linkedin,datahub,data-catalog,data-discovery",3063
0,https://github.com/instaloader/instaloader.git,Download pictures (or videos) along with their captions and other metadata from Instagram.,"instagram,instagram-client,instagram-feed,downloader,videos,pictures,instagram-user-photos,instagram-photos,instagram-metadata,instagram-downloader,instagram-stories,instaloader,osint,osint-python,instagram-scraper",2894
0,https://github.com/x0rz/tweets_analyzer.git,Tweets metadata scraper & activity analyzer,"python,twitter,analysis,privacy",2710
0,https://github.com/clangen/musikcube.git,"a cross-platform, terminal-based music player, audio engine, metadata indexer, and server in c++","audio-player,audio-engine,music-player,terminal,curses,coreaudio,cross-platform,wasapi,pulseaudio,directsound,alsa,music-library,music-player-client",2399
0,https://github.com/vuvuzela/vuvuzela.git,Private messaging system that hides metadata,"vuvuzela,metadata,privacy,messaging,chat,cryptography,golang,research",2397
0,https://github.com/fastlane-old/deliver.git,"Upload screenshots, metadata and your app to the App Store using a single command",,2295
0,https://github.com/amundsen-io/amundsen.git,"Amundsen is a metadata driven application for improving the productivity of data analysts, data scientists and engineers when interacting with data.","amundsen,metadata,data-catalog,data-discovery,linuxfoundation",2136
