,Url,Description,Topics,Stars
0,https://github.com/prisma/prisma1.git,"💾 Database Tools incl. ORM, Migrations and Admin UI (Postgres, MySQL & MongoDB)","orm,database,graphql,datamapper,serverless,dao",16856
0,https://github.com/dotnet/efcore.git,"EF Core is a modern object-database mapper for .NET. It supports LINQ queries, change tracking, updates, and schema migrations.","entity-framework,database,c-sharp,dotnet-core,dotnet-standard,dotnet-framework,orm,aspnet-product",10170
0,https://github.com/github/gh-ost.git,"{""GitHub's Online Schema Migrations for MySQL""}","mysql,schema-migrations",8863
0,https://github.com/golang-migrate/migrate.git,Database migrations. CLI and Golang library.,"go,golang,migration,migrations,database,postgres,cassandra,sqlite,mysql,neo4j,mongodb,databases,sql,mariadb,spanner,google-cloud-spanner,aws-s3,google-cloud-storage,hacktoberfest",6452
0,https://github.com/flyway/flyway.git,Flyway by Redgate • Database Migrations Made Easy.,"flyway,java,database-migrations,java-library,continuous-delivery,devops,sql,continuous-deployment,database,database-deployment,database-administration,database-management,mysql,oracle,postgresql,sqlserver,db2,aurora,mariadb,redgate",5873
0,https://github.com/amitshekhariitbhu/RxJava2-Android-Samples.git,RxJava 2 Android Examples - Migration From RxJava 1 to RxJava 2 - How to use RxJava 2 in Android,"rxjava,android,rxjava2,rxandroid,example,sample,tutorial,tutorials,examples,samples,migration,migrations",4914
0,https://github.com/cakephp/phinx.git,PHP Database Migrations for Everyone,"php,migrations,database-migrations,php-database-migrations",4155
0,https://github.com/doctrine/migrations.git,Doctrine Database Migrations Library,,3973
0,https://github.com/paulirish/dotfiles.git,"{""paul's shell, git, etc config files. also homebrew, migration setup. good stuff. ""}","dotfiles,fish,homebrew,yay",3813
0,https://github.com/doctrine/DoctrineMigrationsBundle.git,Symfony integration for the doctrine/migrations library,"php,symfony-bundle,bundle,symfony,doctrine,doctrine-migrations",3537
0,https://github.com/Xethron/migrations-generator.git,Laravel Migrations Generator: Automatically generate your migrations from an existing database schema.,"laravel-migration,php,existing-database",3225
0,https://github.com/fluentmigrator/fluentmigrator.git,Fluent migrations framework for .NET,"fluentmigrator,database-schema,database,migration,sql,sql-server,postgres,redshift,db2,oracle,mysql,dotnet,snowflake",2504
0,https://github.com/ankane/strong_migrations.git,Catch unsafe migrations in development,,2492
0,https://github.com/mattes/migrate.git,Database migrations. CLI and Golang library.,"go,golang,migration,migrations,database,postgres,cassandra,sqlite,mysql,neo4j,mongodb,crate,ql,databases,sql,mariadb,spanner,google-cloud-spanner,aws-s3,google-cloud-storage",2307
0,https://github.com/pilgr/Paper.git,Paper is a fast NoSQL-like storage for Java/Kotlin objects on Android with automatic schema migration support.,"mobile-database,nosql,android,database,performace,paper",2207
0,https://github.com/rubenv/sql-migrate.git,SQL schema migration tool for Go.,"sql,go,sql-schema-migration,bindata",2124
0,https://github.com/db-migrate/node-db-migrate.git,Database migration framework for node,,2062
0,https://github.com/miguelgrinberg/Flask-Migrate.git,SQLAlchemy database migrations for Flask applications using Alembic,"python,flask,database,sqlalchemy-database-migrations,alembic,migrations",1863
0,https://github.com/soundcloud/lhm.git,Online MySQL schema migrations,,1709
0,https://github.com/amacneil/dbmate.git,":rocket: A lightweight, framework-agnostic database migration tool.","database-migrations,golang,nodejs,python,database-schema,docker,mysql,postgresql,sqlite,migration,migrations",1708
0,https://github.com/pressly/goose.git,Goose database migration tool - fork of https://bitbucket.org/liamstask/goose,"database,sql,migration,schema,postgres,mysql,sqlite,golang",1674
0,https://github.com/marick/Midje.git,"Midje provides a migration path from clojure.test to a more flexible, readable, abstract, and gracious style of testing",,1606
0,https://github.com/sqlcollaborative/dbatools.git,"🚀 SQL Server automation and instance migrations have never been safer, faster or freer","powershell,sql-server,database-administration,best-practices,migrations,sql-server-migration,mssql,hacktoberfest",1538
0,https://github.com/sequelize/umzug.git,Framework agnostic migration tool for Node.js,"sequelize,javascript,typescript",1407
0,https://github.com/kylekatarnls/update-helper.git,"Composer plugin to rise warnings on update, suggest migration processes",,1408
0,https://github.com/plentz/lol_dba.git,"lol_dba is a small package of rake tasks that scan your application models and displays a list of columns that probably should be indexed. Also, it can generate .sql migration scripts.","rails,database,migrations,sql,ruby,ruby-on-rails,gem,database-migrations",1376
0,https://github.com/matthuhiggins/foreigner.git,Adds foreign key helpers to migrations and correctly dumps foreign keys to schema.rb,,1350
0,https://github.com/tj/node-migrate.git,Abstract migration framework for node,,1325
0,https://github.com/jalkoby/squasher.git,Squasher - squash your old migrations in a single command,"database,activerecord-migrations,schema,ruby",1268
0,https://github.com/blaze/odo.git,Data Migration for the Blaze Project,,942
0,https://github.com/sqlalchemy/alembic.git,A database migrations tool for SQLAlchemy.,"sqlalchemy,sql,python",940
0,https://github.com/thuss/standalone-migrations.git,A gem to use Rails Database Migrations in non Rails projects,,937
0,https://github.com/cviebrock/sequel-pro-laravel-export.git,A Sequel Pro / Sequel Ace bundle to generate Laravel migration files from existing tables.,"laravel-migration,sequelpro,database-schema,sequel-pro,sequel-ace",931
0,https://github.com/beckenrode/mysql-workbench-export-laravel-5-migrations.git,A MySQL Workbench plugin which exports a Model to Laravel 5 Migrations,"laravel-migration,mysql-workbench,database-schema,laravel",878
0,https://github.com/salsita/node-pg-migrate.git,Node.js database migration management for Postgresql,"database,db,migrate,migration,migrations,migrator,db-migrate,pg,postgre,postgres,postgresql,sql,extensible,expandable,programatic,programable,api,cockroach,cockroachdb",863
0,https://github.com/clayallsopp/react.backbone.git,Plugin for React to make Backbone migration easier,,847
0,https://github.com/aircrack-ng/aircrack-ng-archive.git,Pre-migration repository. New repository ➙,,845
0,https://github.com/chucknorris/roundhouse.git,RoundhousE is a Database Migration Utility for .NET using sql files and versioning based on source control,,829
0,https://github.com/ErikEJ/EFCorePowerTools.git,"Entity Framework Core Power Tools - reverse engineering, migrations and model visualization for EF Core","entity-framework-core,visual-studio,entity-framework,model-visualization,sql-server,hacktoberfest,dbcontext",820
0,https://github.com/Alexia/php7mar.git,PHP 7 Migration Assistant Report (MAR),,786
0,https://github.com/inadarei/nodebootstrap.git,"NodeBootstrap - generates skeleton project for Node/Express.js with pre-configured best-practices. Kick-start your Node project development with tons of boilerplate taken care of, such as: clustering, Docker-support, database migrations, automated testing, error-handling, modularity, advanced logging, templated views, environments etc.","nodejs,javacript,docker,microservices,scaffolding,template,example,bootstrap",709
0,https://github.com/square/shift.git,shift is an application that helps you run schema migrations on MySQL databases,,703
0,https://github.com/some-programs/exitwp.git,Exitwp is tool primarily aimed for making migration from one or more wordpress blogs to the jekyll blog engine as easy as possible.,,686
0,https://github.com/mitulgolakiya/laravel-api-generator.git,"Laravel API/Scaffold/CRUD Generator including Controller, Repository, Model, Migrations, routes.php update.",,677
0,https://github.com/kriasoft/node-sqlite.git,SQLite client for Node.js applications with SQL-based migrations API written in Typescript,"nodejs,sql,sqlite,database,es7-async,async,migration,migrations,migrate,db,typescript",664
0,https://github.com/rust-db/refinery.git,Powerful SQL migration toolkit for Rust.,"rust,database-migrations,database-tools,barrel,sql-migration",628
0,https://github.com/e282486518/yii2admin.git,通用的yii2后台，基于Yii2的advanced应用程序模板，整合RBAC、Menu、Config、Migration多语言、RESTfull等等...,"yii2,admin",621
0,https://github.com/GoogleChromeLabs/tooling.report.git,"{""tooling.report a quick way to determine the best build tool for your next web project, or if tooling migration is worth it, or how to adopt a tool's best practice into your existing configuration and code base.""}",,621
0,https://github.com/go-gormigrate/gormigrate.git,Minimalistic database migration helper for Gorm ORM,"go,gorm,databases,schema,migrations,schema-migrations",601
0,https://github.com/vuejs/vue-migration-helper.git,CLI tool to aid in migration from Vue 1.x to 2.0,,583
0,https://github.com/rear/rear.git,"Relax-and-Recover - Linux bare metal disaster recovery and system migration solution (cfr. mksysb, ignite)",,581
0,https://github.com/DBDiff/DBDiff.git,Compare MySQL databases & automatically create schema & data change scripts/migrations rapidly (up & down SQL supported) for database version control. Supports *some* migration tools.,,567
0,https://github.com/kitloong/laravel-migrations-generator.git,Laravel Migrations Generator: Automatically generate your migrations from an existing database schema.,"laravel,migration,existing-database,lumen",548
0,https://github.com/davedevelopment/phpmig.git,Simple migrations system for php,,545
0,https://github.com/mitsuhiko/python-modernize.git,Modernizes Python code for eventual Python 3 migration. Build on top of 2to3,,542
0,https://github.com/scylladb/gocqlx.git,"All-In-One: CQL query builder, ORM and migration tool","golang,gocql,cql,orm,query-builder,migration,cassandra,scylla",528
0,https://github.com/weavejester/ragtime.git,Database-independent migration library,"clojure,database,migrations,sql,jdbc",525
0,https://github.com/LendingHome/zero_downtime_migrations.git,Zero downtime migrations with ActiveRecord 3+ and PostgreSQL,"ruby,postgres,migrations,database,activerecord,rails",519
