,Url,Description,Topics,Stars
0,https://github.com/twbs/bootstrap.git,"The most popular HTML, CSS, and JavaScript framework for developing responsive, mobile first projects on the web.","css,bootstrap,javascript,html,scss,css-framework,sass",150117
0,https://github.com/flutter/flutter.git,Flutter makes it easy and fast to build beautiful apps for mobile and beyond.,"mobile,android,ios,material-design,dart,skia,web,web-framework,windows,macos,fuchsia,dart-platform,linux-desktop,app-framework,desktop",120514
0,https://github.com/angular/angular.git,One framework. Mobile & desktop.,"angular,typescript,web,javascript,pwa,web-framework,web-performance",73226
0,https://github.com/serverless/serverless.git,"⚡ Serverless Framework – Build web, mobile and IoT applications with serverless architectures using AWS Lambda, Azure Functions, Google CloudFunctions & more! – ","serverless,serverless-framework,serverless-architectures,aws-lambda,google-cloud-functions,azure-functions,aws,microservice,aws-dynamodb",39731
0,https://github.com/Leaflet/Leaflet.git, :leaves: JavaScript library for mobile-friendly interactive maps,"javascript,leaflet,maps",30692
0,https://github.com/photonstorm/phaser.git,"Phaser is a fun, free and fast 2D game framework for making HTML5 games for desktop and mobile web browsers, supporting Canvas and WebGL rendering.","phaser,phaserjs,javascript,html5-game-development,webgl,game-frameworks,game-development,gamedev,canvas,phaser-development,facebook-instant-games",29602
0,https://github.com/nolimits4web/swiper.git,Most modern mobile touch slider with hardware accelerated transitions,"swipe,swiper,gallery,touch,touch-events,mobile,slider,carousel",27307
0,https://github.com/Tencent/weui.git,"A UI library by WeChat official design team, includes the most useful widgets/modules in mobile web applications.","weui,wechat,mobile-web,style",25661
0,https://github.com/dimsemenov/PhotoSwipe.git,"JavaScript image gallery for mobile and desktop, modular, framework independent",,21017
0,https://github.com/apache/incubator-mxnet.git,"Lightweight, Portable, Flexible Distributed/Mobile Deep Learning with Dynamic, Mutation-aware Dataflow Dep Scheduler; for Python, R, Julia, Scala, Go, Javascript and more",mxnet,19457
0,https://github.com/Prinzhorn/skrollr.git,Stand-alone parallax scrolling library for mobile (Android + iOS) and desktop. No jQuery. Just plain JavaScript (and some love).,,18506
0,https://github.com/dhg/Skeleton.git,"Skeleton: A Dead Simple, Responsive Boilerplate for Mobile-Friendly Development",,18244
0,https://github.com/alibaba/weex.git,A framework for building Mobile cross-platform UI,"mobile,android,ios,weex,web,sdk",17535
0,https://github.com/airyland/vux.git,Mobile UI Components based on Vue & WeUI,"ant,vux,weui,vue,vue-components,components,web-app,wechat,javascript,mobile-web,vue2",17437
0,https://github.com/youzan/vant.git,Lightweight Mobile UI Components built on Vue,"vue,mobile,components,vant,vue3,ui-library,ui-kit",17387
0,https://github.com/ElemeFE/mint-ui.git,Mobile UI elements for Vue.js,"vue,vue-components,component,ui-kit,mobile",16327
0,https://github.com/jeromeetienne/AR.js.git,Efficient Augmented Reality for the Web - 60fps on mobile!,"a-frame,three-js,webar",15260
