,Url,Description,Topics,Stars
0,https://github.com/webpack/webpack.git,"A bundler for javascript and friends. Packs many modules into a few bundled assets. Code Splitting allows for loading parts of the application on demand. Through ""loaders"", modules can be CommonJs, AMD, ES6 modules, CSS, Images, JSON, Coffeescript, LESS, ... and your custom stuff.","webpack,javascript,module-bundler,loaders,plugins,build-tool,web,web-performance,compiler,javascript-compiler,commonjs,amd,esm,es6,es2015,javascript-modules",58229
0,https://github.com/chrislgarry/Apollo-11.git,Original Apollo 11 Guidance Computer (AGC) source code for the command and lunar modules.,"agc,nasa,apollo,hacktoberfest",50800
0,https://github.com/nwjs/nw.js.git,Call all Node.js modules directly from DOM/WebWorker and enable a new way of writing applications with all Web technologies.,"web-application-framework,javascript,desktop,node-webkit,nwjs,nodejs",38109
0,https://github.com/Tencent/weui.git,"A UI library by WeChat official design team, includes the most useful widgets/modules in mobile web applications.","weui,wechat,mobile-web,style",25661
0,https://github.com/pure-css/pure.git,"A set of small, responsive CSS modules that you can use in every web project.","css,pure,html",21689
0,https://github.com/rollup/rollup.git,Next-generation ES module bundler,,20198
0,https://github.com/lovell/sharp.git,"High performance Node.js image processing, the fastest module to resize JPEG, PNG, WebP, AVIF and TIFF images. Uses the libvips library.","javascript,webp,image-processing,jpeg,png,nodejs,tiff,svg,typical,libvips,exif,icc,image,performance,crop,resize,overlay,sharp,avif",19662
0,https://github.com/parse-community/parse-server.git,API server module for Node/Express,"parse-server,parse-platform,mongodb,postgres,graphql,baas,backend,rest-api,object-storage,nodejs,graphql-api,mbaas,relay,graphql-server,graphql-relay,file-storage,notifications,hacktoberfest",18614
0,https://github.com/css-modules/css-modules.git,Documentation about css-modules,,14941
0,https://github.com/spotify/luigi.git,"Luigi is a Python module that helps you build complex pipelines of batch jobs. It handles dependency resolution, workflow management, visualization etc. It also comes with Hadoop support built in. ","python,luigi,orchestration-framework,scheduling,hadoop",14542
0,https://github.com/MichMich/MagicMirror.git,"MagicMirror² is an open source modular smart mirror platform. With a growing list of installable modules, the MagicMirror² allows you to convert your hallway or bathroom mirror into your personal assistant.","magicmirror,javascript,raspberry-pi,smarthome,mirror,domotics",14454
0,https://github.com/Tencent/weui-wxss.git,"A UI library by WeChat official design team, includes the most useful widgets/modules.","weui,wxss",13722
0,https://github.com/requirejs/requirejs.git,A file and module loader for JavaScript,,12685
0,https://github.com/aurelia/framework.git,"The Aurelia 1 framework entry point, bringing together all the required sub-modules of Aurelia.","aurelia-framework,javascript,typescript,single-page-applications,framework,spa,cross-platform,web,html,mobile",11603
0,https://github.com/systemjs/systemjs.git,Dynamic ES module loader,,11483
0,https://github.com/Ramotion/animated-tab-bar.git,:octocat: RAMAnimatedTabBarController is a Swift UI module library for adding animation to iOS tabbar items and icons. iOS library made by @Ramotion,"swift,ios,library,ui,animation,material-design",10756
0,https://github.com/react-toolbox/react-toolbox.git,"{""A set of React components implementing Google's Material Design specification with the power of CSS Modules""}","material-design,react,ui-kits,css-modules",8696
