,Url,Description,Topics,Stars
0,https://github.com/lbryio/lbry-sdk.git,"The LBRY SDK for building decentralized, censorship resistant, monetized, digital content apps.","lbry,blockchain,python,decentralized,bittorrent,cryptocurrency,protocol,bitcoin,p2p,dht,kademlia",7161
0,https://github.com/mayeaux/nodetube.git,"Open-source YouTube alternative that offers video, audio and image uploads, livestreaming and built-in monetization","youtube,alternative,video-streaming,audio-streaming,image-hosting,livestreaming,monetization",1979
0,https://github.com/madawei2699/awesome-seo.git,Google SEO Research and Web Traffic Monetization,"seo,google,awesome-list,awesome,search-engine,optimization,collections,tips,marketing,best-practices,semrush,moz-seo,ahrefs-seo,google-seo,seo-twitter,search-engine-optimization",1114
0,https://github.com/saasify-sh/saasify.git,The easiest way to monetize your API. 🚀,"saas,apis,saas-api,monetization,oss,funding,passive-income,serverless,faas,faas-platform",946
0,https://github.com/floatinghotpot/cordova-admob-pro.git,":fire: Cordova Plugin for Google AdMob, DFP, ADX. Easy monetization using mobile Ad, with single line of JavaScript. Compatible with Cordova CLI, Inoic, PhoneGap Build, etc.","cordova,admob,monetization,cordova-plugin,google-admob,admob-plugin,ionic,phonegap,doubleclick",690
0,https://github.com/AudiusProject/audius-protocol.git,"Audius gives everyone the freedom to share, monetize, and listen to any audio content.",,251
0,https://github.com/WICG/webmonetization.git,Proposed Web Monetization standard,,233
0,https://github.com/floatinghotpot/coding-to-monetization.git,"{"":book: From Coding to Monetization：Programmer's Financial Freedom Approach""}","admob,cordova,javascript,monetization,book",154
0,https://github.com/thomasbnt/awesome-web-monetization.git,"🕶️ Stuffs about Web Monetization. Packages, articles, documentation links and others tools.","web-monetization,monetization,webmonetization,coil,javascript,ilp,ilp-payment,awesome-list,awesome,gatehub,stronghold,hacktoberfest",153
0,https://github.com/Apress/monetizing-machine-learning.git,"{""Source code for 'Monetizing Machine Learning' by Manuel Amunategui and Mehdi Roopaei ""}",,112
0,https://github.com/philippgille/ln-paywall.git,Go middleware for monetizing your API on a per-request basis with Bitcoin and Lightning ⚡️,"go,golang,middleware,micropayments,pay-per-call,api,bitcoin,lightning,paywall,web-service,lnd",110
0,https://github.com/remp2020/remp.git,"{""REMP - Reader's engagement and monetization platform. Set of open-source tools for publishers to engage with their audience. Repository is public mirror of our internal private repo.""}",,106
0,https://github.com/admob-google/admob-cordova.git,"Google AdMob plugin for Cordova, Phonegap and Intel XDK ,support ios and android,support admob v1 and admob v2 ,Monetize your html5 app with one javascript line.api is easy to use.",,63
0,https://github.com/swisscodemonkeys/appbrain-sdk.git,AppBrain SDK to monetize Android apps,"sdk,interstitials,appbrain-sdk,java,unity,android,promotion,monetization,appbrain",47
0,https://github.com/coilhq/web-monetization-projects.git,"{""Coil projects that use Web Monetization. Primarily Coil's browser extension and related WM polyfills.""}",,41
0,https://github.com/sabinebertram/hugo-webmonetization-component.git,Hugo theme component that enables web monetization and exclusive content,,35
0,https://github.com/FIWARE-TMForum/Business-API-Ecosystem.git,"The FIWARE/TMForum Business API Ecosystem allows the monetization of different kind of assets (both digital and physical) during the whole service life cycle, from offering creation to its charging, accounting and revenue settlement and sharing","fiware,tmforum,monetization",30
0,https://github.com/simondlr/mememarkets.git,A protocol for the decentralized monetization of *all* information (memes) and its network effects.,,29
0,https://github.com/guidovizoso/react-monetize.git,Helpers and hooks to speed up your integration with Web Monetization API,,26
0,https://github.com/dsound/dsound.git,DSound is a decentralized sound publishing and monetization platform based on Blockchain and IPFS technology,,25
0,https://github.com/kartben/iota-mosquitto-demo.git,A simple demonstration of using IOTA as a way to monetize an MQTT data stream,"iota,iot,javascript,mqtt,mosquitto-mqtt-broker",24
0,https://github.com/Radiomyme/Radio-Play-for-iOS-and-tvOS.git,"Radio Play is the ultimate app for your Radio Station ! Compatible from iOS 9 to iOS 13, it includes the best features for your iPhone, iPad or iPod. Easy to customize, monetization with ads, powerful by adding unlimited number of stations, useful when displaying Artist, Name and Album Cover while playing… Radio Play for iOS is for you !  Best of all, Radio Play now includes all the files to build your application for tvOS. Compatible with tvOS 9 and higher, it includes all the features of TVML (Remote controlled app via a server), with easy customization, player, single or multiple stations, slides, logo… Radio Play for tvOS is for you !",,24
0,https://github.com/flattr/flattr-extension.git,Flattr web extension - monetize your content effortlessly.,"flattr,monetization,javascript,firefox,google-chrome",23
0,https://github.com/wobsoriano/svelte-monetization.git,A minimal and lightweight wrapper for the Web Monetization API,"svelte,web-monetization,hacktoberfest,hacktoberfest2020",21
0,https://github.com/oss-fund/monetization-platforms.git,Crowdsourced list of monetization platforms for creators,"bounties,donations,crowdfunding,paywall,grants,advertising,subscription",19
0,https://github.com/sharafian/react-web-monetization.git,React component that lets you access the state of Web Monetization,,19
0,https://github.com/conwetlab/wstore.git,"WStore provides functionality for the monetization of different kind of digital assets, including the management of assets and offerings as well as support for acquisitions, charging, billing, and accounting of pay-per-use services.",,19
0,https://github.com/sharafian/web-monetization-access.git,Serve exclusive content securely with web monetization,,17
0,https://github.com/Futurewei-io/blue-marlin.git,Blue Marlin is a critical web infrastructure for advertising based monetization. It is a cloud platform that adds intelligence to a plain Ad System.,,17
0,https://github.com/adrianhopebailie/web-monetization.git,Web Monetization Explainer and Specification for submission to the WICG,,17
0,https://github.com/esse-dev/akita.git,A browser extension that gives you insight into your engagement with Web Monetization.,"web-monetization,webmonetization,interledger,interledger-protocol,monetization",17
0,https://github.com/sidtechnical/hakuna-metadata-1.git,Browsing  metadata visualization tool: Explore how ISPs can see and monetize your browsing history.,"firefox,python,linux,browser-history,visualization",17
0,https://github.com/codius/codius-faas.git,Web monetized OpenFaaS Cloud,,16
0,https://github.com/interledgerjs/web-monetization-scripts.git,Scripts to help you web monetize your site and/or API,,15
0,https://github.com/digicrafts/MoPub-ANE.git,This Mopub ANE add supprt to using MoPub Mobile monetization platform with Adobe Air. Supports Android and iOS.,,14
0,https://github.com/understory-garden/understory.garden.git,"{""Understory is a digital garden, a micro-publishing space for you to plant the seeds of your ideas and grow them into bi-directionally linked web portals. It's a social zettelkasten that lets users use Web Monetization to get paid when people spend time with their content.""}","zettelkasten,digital-garden,pod,understory,solid",14
0,https://github.com/TheRoccoB/web-monetization-unity-webgl.git,Unity WebGL Asset for the Web Monetization API,,13
0,https://github.com/ownership-labs/DataToken.git,Decentralized access control for off-chain data sharing and monetization,"blockchain-technology,distributed-tracing,asset-management,data-exchange,cryptocurrency,decentralized,data-unions",13
0,https://github.com/signalnerve/openmonetizationwallet.git,👛 Tools for managing a vanity Web Monetization wallet,,12
0,https://github.com/sunchayn/monetize.js.git,An event-driven library to manage and simulate Web Monetization.,"monetization,web-monetization,event-driven,simulation,web-monetization-simulator",12
0,https://github.com/apigee/apigee-m10n-drupal.git,Add monetization features to a Drupal developer portal,"drupal-8,drupal,drupal-9",11
0,https://github.com/worldwide-asset-exchange/defi.git,WAX has created a new tokenomic model that marries the explosive growth of NFTs with the superior monetization capabilities of DeFi. The core element of the new WAX tokenomics system is its inter-blockchain design,,11
