,Url,Description,Topics,Stars
0,https://github.com/mojs/mojs.git,The motion graphics toolbelt for the web,"web,graphics,motion,toolbelt,mojs,javascript,animation,library,es6,webpack,modern,svg,design,motion-graphics,burst,swirl,shape,timeline,mo-js",16713
0,https://github.com/AliaksandrSiarohin/first-order-model.git,This repository contains the source code for the paper First Order Motion Model for Image Animation ,"deep-learning,image-animation,generative-model,motion-retargeting",11117
0,https://github.com/skydoves/Pokedex.git,"🗡️ Android Pokedex using Hilt, Motion, Coroutines, Flow, Jetpack (Room, ViewModel, LiveData) based on MVVM architecture.","android,kotlin,pokemon,pokedex,dagger2,mvvm,jetpack-android,motion,coroutines,skydoves",4310
0,https://github.com/openMVG/openMVG.git,open Multiple View Geometry library. Basis for 3D computer vision and Structure from Motion.,"geometry,computer-vision,openmvg,structure-from-motion,sfm,multiple-view-geometry,drone,photogrammetry,3d-reconstruction",3524
0,https://github.com/PaddlePaddle/PaddleGAN.git,"PaddlePaddle GAN library, including lots of interesting applications like First-Order motion transfer,  wav2lip, picture repair, image editing, photo2cartoon, image style transfer, and so on.","gan,cyclegan,pix2pix,super-resolution,image-generation,image-editing,motion-transfer,photo2cartoon,first-order-model,psgan,resolution,wav2lip",3207
0,https://github.com/hitherejoe/animate.git,An application demoing meaningful motion on Android,,3136
0,https://github.com/rFlex/SCRecorder.git,"iOS camera engine with Vine-like tap to record, animatable filters, slow motion, segments editing",,3046
0,https://github.com/colmap/colmap.git,COLMAP - Structure-from-Motion and Multi-View Stereo,"structure-from-motion,multi-view-stereo,reconstruction,geometry,computer-vision",2939
0,https://github.com/AlloyTeam/PhyTouch.git,"Smooth scrolling, rotation, pull to refresh, page transition and any motion for the web - 丝般顺滑的触摸运动方案","touch,scrolling,scroll,transform,transformations,motion,transformjs,css3transform",2806
0,https://github.com/Motion-Project/motion.git,"Motion, a software motion detector.     Home page:  https://motion-project.github.io/",,2610
0,https://github.com/maisano/react-router-transition.git,"painless transitions built for react-router, powered by react-motion",,2477
0,https://github.com/ccrisan/motioneye.git,A web frontend for the motion daemon.,,2453
0,https://github.com/DanielRapp/doppler.git,:wave: Motion detection using the doppler effect,,2363
0,https://github.com/justinmk/vim-sneak.git,The missing motion for Vim :athletic_shoe:,"vim,neovim,nvim,plugin,motion,navigation,viml",2239
0,https://github.com/huxingyi/dust3d.git,":dromedary_camel: Dust3D is a cross-platform open-source 3D modeling software. Auto UV unwrapping, auto rigging with PBR Material support, pose and motion authoring all in one.","dust3d,3d-modelling,3d,game-development,3d-printing,low-poly",2125
0,https://github.com/mapillary/OpenSfM.git,Open source Structure-from-Motion pipeline,"opencv,python,sfm,3d-reconstruction",2073
0,https://github.com/transistorsoft/react-native-background-geolocation.git,"Sophisticated, battery-conscious background-geolocation with motion-detection","react-native,background-location,background,background-geolocation,location-tracking",1977
0,https://github.com/piemonte/PBJVision.git,"📸 iOS Media Capture – features touch-to-record video, slow motion, and photography","video,photography,camera,ios,capture,media,objective-c,avfoundation,vine,snapchat,recording",1932
0,https://github.com/leapmotion/leapjs.git,JavaScript client for the Leap Motion Controller,,1921
0,https://github.com/sarxos/webcam-capture.git,"The goal of this project is to allow integrated or USB-connected webcams to be accessed directly from Java. Using provided libraries users are able to read camera images and detect motion. Main project consist of several sub projects - the root one, which contains required classes, build-in webcam driver compatible with Windows, Linux and Mac OS, which can stream images as fast as your camera can serve them (up to 50 FPS). Main project can be used standalone, but user is able to replace build-in driver with different one - such as OpenIMAJ, GStreamer, V4L4j, JMF, LTI-CIVIL, FMJ, etc.","webcam,java,webcam-capture",1866
0,https://github.com/JacquesLucke/animation_nodes.git,Node based visual scripting system designed for motion graphics in Blender.,"blender,python,animation-nodes",1811
0,https://github.com/tumblr/Backboard.git,A motion-driven animation framework for Android.,"motion,animation,android,android-library",1683
0,https://github.com/Animatious/awesome-animation.git,:octocat: A great list of open sourced UI Motion Library produced by Animatious Group.,"animation,ios-animation",1676
0,https://github.com/tinghuiz/SfMLearner.git,An unsupervised learning framework for depth and ego-motion estimation from monocular videos,"deep-learning,depth-prediction,visual-odometry,self-supervised-learning,unsupervised-learning",1576
0,https://github.com/davidcetinkaya/embla-carousel.git,A lightweight carousel library with fluid motion and great swipe precision,"carousel,slider,typescript,javascript,carousel-component,carousel-plugin,dependency-free,touch,slider-plugin,slideshow,vanilla,mobile,react,touch-evens,mobile-web",1553
0,https://github.com/svip-lab/impersonator.git,"PyTorch implementation of our ICCV 2019 paper:  Liquid Warping GAN: A Unified Framework for Human Motion Imitation, Appearance Transfer and Novel View Synthesis","pytorch,pose,gan",1525
