,Url,Description,Topics,Stars
0,https://github.com/awesome-selfhosted/awesome-selfhosted.git,A list of Free Software network services and web applications which can be hosted on your own servers,"selfhosted,awesome,awesome-list,privacy,hosting,cloud,self-hosted",58791
0,https://github.com/pytorch/pytorch.git,Tensors and Dynamic neural networks in Python with strong GPU acceleration,"neural-network,autograd,gpu,numpy,deep-learning,tensor,python,machine-learning",48266
0,https://github.com/ansible/ansible.git,"Ansible is a radically simple IT automation platform that makes your applications and systems easier to deploy and maintain. Automate everything from code deployment to network configuration to cloud management, in a language that approaches plain English, using SSH, with no agents to install on remote systems. https://docs.ansible.com.","python,ansible,hacktoberfest",48187
0,https://github.com/v2ray/v2ray-core.git,A platform for building proxies to bypass network restrictions.,"v2ray,shadowsocks,golang,proxy,socks,socks5,http-proxy,vmess",37215
0,https://github.com/Alamofire/Alamofire.git,Elegant HTTP Networking in Swift,"networking,urlsession,urlrequest,httpurlresponse,request,response,swift,xcode,certificate-pinning,public-key-pinning,parameter-encoding,alamofire,cocoapods,carthage,swift-package-manager",35712
0,https://github.com/AFNetworking/AFNetworking.git,"A delightful networking framework for iOS, macOS, watchOS, and tvOS.",,33140
0,https://github.com/netty/netty.git,Netty project - an event-driven asynchronous network application framework,,26700
0,https://github.com/sherlock-project/sherlock.git,🔎 Hunt down social media accounts by username across social networks,"osint,reconnaissance,linux,macos,cli,sherlock,python3,windows,redteam,tools,information-gathering",25144
0,https://github.com/pjreddie/darknet.git,Convolutional Neural Networks,,20689
0,https://github.com/googlehosts/hosts.git,镜像：https://scaffrey.coding.net/p/hosts/git / https://git.qvq.network/googlehosts/hosts,hosts,20603
0,https://github.com/tornadoweb/tornado.git,"Tornado is a Python web framework and asynchronous networking library, originally developed at FriendFeed.","python,asynchronous",19997
0,https://github.com/huihut/interview.git,"📚 C/C++ 技术面试基础知识总结，包括语言、程序库、数据结构、算法、系统、网络、链接装载库等知识及面试经验、招聘、内推等信息。This repository is a summary of the basic knowledge of recruiting job seekers and beginners in the direction of C/C++ technology, including language, program library, data structure, algorithm, system, network, link loading library, interview experience, recruitment, recommendation, etc.","interview,interview-questions,interview-practice,interview-preparation,interviews,c,cpp,algorithm,database,data-structures,stl,operating-system,leetcode",18546
0,https://github.com/InterviewMap/CS-Interview-Knowledge-Map.git,"Build the best interview map. The current content includes JS, network, browser related, performance optimization, security, framework, Git, data structure, algorithm, etc.","javascript,blog,interview,react,vue,algorithms",17038
0,https://github.com/HelloZeroNet/ZeroNet.git,ZeroNet - Decentralized websites using Bitcoin crypto and BitTorrent network,"bittorrent,p2p,bitcoin,anonymity,torrent,realtime,decentralized,internet-freedom,anticensorship,web,tor,python",16782
0,https://github.com/diem/diem.git,Diem’s mission is to build a trusted and innovative financial network that empowers people and businesses around the world.,blockchain,15864
0,https://github.com/Tencent/mars.git,Mars is a cross-platform network component  developed by WeChat.,"cross-platform,log,network,wechat",15444
0,https://github.com/lutzroeder/netron.git,"Visualizer for neural network, deep learning, and machine learning models","neural-network,deep-learning,machine-learning,deeplearning,machinelearning,ai,ml,visualizer,onnx,keras,tensorflow,tensorflow-lite,coreml,caffe,caffe2,mxnet,pytorch,torch,paddle,darknet",14438
0,https://github.com/nndl/nndl.github.io.git,《神经网络与深度学习》 邱锡鹏著 Neural Network and Deep Learning ,,14360
0,https://github.com/cmusatyalab/openface.git,Face recognition with deep neural networks.,"deep-learning,face-recognition,facenet",14000
0,https://github.com/emilwallner/Screenshot-to-code.git,A neural network that transforms a design mock-up into a static website.,"keras,deep-learning,seq2seq,encoder-decoder,lstm,floydhub,machine-learning,cnn,cnn-keras,jupyter-notebook,jupyter",13312
0,https://github.com/Moya/Moya.git,Network abstraction layer written in Swift.,"swift,reactiveswift,rxswift,alamofire,networking,hacktoberfest",13034
0,https://github.com/HarisIqbal88/PlotNeuralNet.git,Latex code for making neural networks diagrams,"latex,deep-neural-networks",12961
0,https://github.com/diaspora/diaspora.git,"A privacy-aware, distributed, open source social network.","ruby,rails,social-network,federated,distributed,decentralized",12720
0,https://github.com/mnielsen/neural-networks-and-deep-learning.git,"Code samples for my book ""Neural Networks and Deep Learning""",,12508
0,https://github.com/BrainJS/brain.js.git,🤖 GPU accelerated Neural networks in JavaScript for Browsers and Node.js,"neural-network,brain,recurrent-neural-networks,easy-to-use,api,web,nodejs,browser,convolutional-neural-networks,node,stream,hacktoberfest",11994
0,https://github.com/tokio-rs/tokio.git,"A runtime for writing reliable asynchronous applications with Rust. Provides I/O, networking, scheduling, timers, ...","rust,asynchronous,networking",11985
0,https://github.com/robbiehanson/CocoaAsyncSocket.git,Asynchronous socket networking library for Mac and iOS,,11955
0,https://github.com/iovisor/bcc.git,"BCC - Tools for BPF-based Linux IO analysis, networking, monitoring, and more",,11688
0,https://github.com/Tencent/ncnn.git,ncnn is a high-performance neural network inference framework optimized for the mobile platform,"inference,high-preformance,simd,arm-neon,deep-learning,artificial-intelligence,android,ios,ncnn,vulkan,neural-network,caffe,mxnet,pytorch,onnx,darknet,tensorflow,mlir,keras",11613
0,https://github.com/thunlp/GNNPapers.git,Must-read papers on graph neural networks (GNN),"paper-list,gnn",11021
0,https://github.com/karpathy/char-rnn.git,"Multi-layer Recurrent Neural Networks (LSTM, GRU, RNN) for character-level language models in Torch",,10615
0,https://github.com/karpathy/convnetjs.git,Deep Learning in Javascript. Train Convolutional Neural Networks (or ordinary ones) in your browser.,,10182
0,https://github.com/tensorflow/playground.git,Play with neural networks!,,9836
0,https://github.com/bettercap/bettercap.git,"The Swiss Army knife for 802.11, BLE, IPv4 and IPv6 networks reconnaissance and MITM attacks.","password-sniffer,mitm,rogue-ap,wifi,hacking,security,spoofing,proxy,wifi-security,deauthentication-attack,dot11,network-attacks,monitoring,pmkid,wpa2,redteam,ble,mousejack,hid,redteaming",9793
0,https://github.com/alexjc/neural-doodle.git,"{""Turn your two-bit doodles into fine artworks with deep neural networks, generate seamless textures from photos, transfer style from one image to another, perform example-based upscaling, but wait... there's more! (An implementation of Semantic Style Transfer.)""}","image-processing,image-manipulation,image-generation,deep-learning,deep-neural-networks",9592
0,https://github.com/chenshuo/muduo.git,Event-driven network library for multi-threaded Linux server in C++11,,9573
0,https://github.com/eriklindernoren/PyTorch-GAN.git,PyTorch implementations of Generative Adversarial Networks.,,9318
