,Url,Description,Topics,Stars
0,https://github.com/bregman-arie/devops-exercises.git,"Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP, DNS, Elastic, Network, Virtualization. DevOps Interview Questions","devops,aws,linux,ansible,python,docker,prometheus,containers,git,kubernetes,interview,interview-questions,terraform,azure,openstack,sql,coding,sre,production-engineer",8357
0,https://github.com/ideawu/ssdb.git,"SSDB - A fast NoSQL database, an alternative to Redis","ssdb,nosql-databases,leveldb,redis,rocksdb",7406
0,https://github.com/scylladb/scylla.git,"NoSQL data store using the seastar framework, compatible with Apache Cassandra","nosql,c-plus-plus,scylla,seastar,cassandra",6849
0,https://github.com/mbdavid/LiteDB.git,LiteDB - A .NET NoSQL Document Store in a single data file - https://www.litedb.org,"nosql,database,dotnet,litedb",5733
0,https://github.com/agershun/alasql.git,"AlaSQL.js - JavaScript SQL database for browser and Node.js. Handles both traditional relational tables and nested JSON data (NoSQL). Export, store, and import data from localStorage, IndexedDB, or Excel.",,5531
0,https://github.com/Qihoo360/pika.git,"{""Pika is a nosql compatible with redis, it is developed by Qihoo's DBA and infrastructure team""}","redis-interfaces,redis,nosql,nosql-databases,nosql-data-storage,rocksdb",4151
0,https://github.com/ledisdb/ledisdb.git,A high performance NoSQL Database Server powered by Go,"ledisdb,redis,rocksdb-support,support-cluster,goleveldb,golang",3631
0,https://github.com/HouzuoGuo/tiedot.git,A rudimentary implementation of a basic document (NoSQL) database in Go,"nosql,database,db,go,golang,tiedot,document-database",2590
0,https://github.com/pilgr/Paper.git,Paper is a fast NoSQL-like storage for Java/Kotlin objects on Android with automatic schema migration support.,"mobile-database,nosql,android,database,performace,paper",2207
0,https://github.com/jiangwenyuan/nuster.git,A high performance HTTP proxy cache server and RESTful NoSQL cache server based on HAProxy,"cache,caching,http,proxy,high-performance,http2,load-balancer,https,reverse-proxy,http-cache,nuster,nosql,key-value,restful,haproxy",1772
0,https://github.com/codingo/NoSQLMap.git,Automated NoSQL database enumeration and web application exploitation tool.,"nosql,nosql-databases,penetration-testing,scanner,security-audit,security-tools,security-toolset,offensive-security,enumeration,databases,mongodb,couchdb,web-application-security,bugbounty,redis,mongodb-database,sql-injection,hacking,hacking-tool,hacktoberfest",1697
0,https://github.com/yinqiwen/ardb.git,"{""A redis protocol compatible nosql,  it support multiple storage engines as backend like Google's LevelDB, Facebook's RocksDB, OpenLDAP's LMDB,  PerconaFT, WiredTiger, ForestDB.""}","redis,key-value,persistence,database,server,c-plus-plus,rocksdb,lmdb,leveldb,wiredtiger,percona,forestdb,nosql,nosql-database,lua",1651
0,https://github.com/couchbase/couchbase-lite-ios.git,"Lightweight, embedded, syncable NoSQL database engine for iOS and MacOS apps.","database,nosql,sync,mobile,swift,objective-c,ios,macos",1500
0,https://github.com/symisc/unqlite.git,"An Embedded NoSQL, Transactional Database Engine","database,embedded,key-value,storage,json,nosql-databases,c,transactional,nosql",1471
0,https://github.com/syslog-ng/syslog-ng.git,"syslog-ng is an enhanced log daemon, supporting a wide range of input and output methods: syslog, unstructured text, queueing, SQL & NoSQL.","syslog-ng,c,python,elastic,kafka,syslog,logging,log-management",1455
0,https://github.com/tidwall/summitdb.git,"In-memory NoSQL database with ACID transactions, Raft consensus, and Redis API","raft,json,nosql,database,in-memory,geospatial",1298
0,https://github.com/bregman-arie/devops-resources.git,"DevOps resources - Linux, Jenkins, AWS, SRE, Prometheus, Docker, Python, Ansible, Git, Kubernetes, Terraform, OpenStack, SQL, NoSQL, Azure, GCP","devops,interview,questions,checklists,linux,python,jenkins,bash,aws,sql,containers,docker,mongo,go,security",1279
0,https://github.com/liukelin/canal_mysql_nosql_sync.git,基于canal 的 mysql 与 redis/memcached/mongodb 的 nosql 数据实时同步方案 案例 demo canal client,"canal,canal-mysql,sync,mysql,binlog",1272
0,https://github.com/fastio/1store.git,"NoSQL data store using the SEASTAR framework, compatible with Redis","redis,nosql,seastar",1219
0,https://github.com/yongman/tidis.git,"Distributed transactional NoSQL database, Redis protocol compatible using tikv as backend","redis,nosql,database,tikv,2pc,raft,distributed-nosql-database,transaction-storage,transaction,rocksdb,shared-nothing",1207
0,https://github.com/couchbase/couchbase-lite-android.git,"Lightweight, embedded, syncable NoSQL database engine for Android.",,1160
0,https://github.com/DeNA/HandlerSocket-Plugin-for-MySQL.git,"HandlerSocket is a NoSQL plugin for MySQL, working as a daemon inside the mysqld process, to accept tcp connections, and execute requests from clients. HandlerSocket does not support SQL queries; instead it supports simple CRUD operations on tables.",,1142
0,https://github.com/distributedio/titan.git,A Distributed Redis Protocol Compatible NoSQL Database,"redis,tidb,tikv,nosql,distributed",1092
0,https://github.com/vapor/fluent.git,"Vapor ORM (queries, models, and relations) for NoSQL and SQL databases","vapor,orm,swift,database,sql,nosql,server-side-swift,swift-linux,vapor-service",1083
0,https://github.com/Impetus/Kundera.git,A JPA 2.1 compliant Polyglot Object-Datastore Mapping Library for NoSQL Datastores.Please subscribe to: ,"kundera,java,nosql,polyglot,jpa",893
0,https://github.com/infinispan/infinispan.git,Infinispan is an open source data grid platform and highly scalable NoSQL cloud data store.,"infinispan,infinispan-server,key-value-store,nosql,search-engine,inmemory-cache,persistent-storage,datagrid",877
0,https://github.com/cossacklabs/acra.git,"Database security suite. Database proxy with field-level encryption, search through encrypted data, SQL injections prevention, intrusion detection, honeypots. Supports client-side and proxy-side (""transparent"") encryption. SQL, NoSQL.","encryption-server,encryption,crypto,cryptography,security,intrusion-detection,databases,golang,django,python3,php,database-proxy,honeypot",751
0,https://github.com/xssed/owlcache.git," 🦉owlcache is a lightweight, high-performance, non-centralized, distributed Key/Value memory-cached data sharing application written by Go .                            keyword : golang cache、go cache、golang nosql",,737
0,https://github.com/Tencent/DCache.git,"A distributed in-memory NOSQL system based on TARS framework, support LRU algorithm and data persists on  back-end database. Users can easily deploy, publish, and scale services on the web interface.",,653
0,https://github.com/aerospike/aerospike-server.git,"Aerospike Database Server – flash-optimized, in-memory, nosql database",,577
0,https://github.com/torque59/Nosql-Exploitation-Framework.git,A Python Framework For NoSQL Scanning and Exploitation ,"nosql-exploitation-framework,nosql-database,nosql,nosql-injection,nosql-enumeration,nosql-security",575
0,https://github.com/nitrite/nitrite-java.git,Java embedded nosql document store,"nosql,embedded-database,documentdb,android,mobile-database,database,object-storage,object-database",559
0,https://github.com/bitleak/kvrocks.git,Kvrocks is a key-value NoSQL database based on RocksDB and compatible with Redis protocol.,"redis,rocksdb,kv,redis-protocol,namespace",528
0,https://github.com/stephenmcd/curiodb.git,Distributed NoSQL Database,,510
0,https://github.com/RedisLabs/memtier_benchmark.git,NoSQL Redis and Memcache traffic generation and benchmarking tool.,"redis,benchmark,memcached,load-testing,stress-testing",501
0,https://github.com/rakibtg/SleekDB.git,"Pure PHP NoSQL database with no dependency. Flat file, JSON based document database.","nosql-databases,nosql,php,php7,database,flat-file,filestorage,storage,storage-engine,api,nosql-database,json,schema",491
0,https://github.com/googleapis/nodejs-firestore.git,"Node.js client for Google Cloud Firestore: a NoSQL document database built for automatic scaling, high performance, and ease of application development.","nodejs,firestore,database,nosql",491
0,https://github.com/timshannon/bolthold.git,BoltHold is an embeddable NoSQL store for Go types built on BoltDB,"boltdb,bucket,query-criteria,nosql,go,golang",469
0,https://github.com/frost373/KitDB.git,KitDB是一个内嵌式持久型的 高速NoSQL存储 lib,"nosql,disk,persistent,embedded",434
0,https://github.com/precog/platform.git,Advanced Analytics Engine for NoSQL Data,,402
0,https://github.com/couchbase/couchbase-lite-net.git,"A lightweight, document-oriented (NoSQL), syncable database engine for .NET",,402
0,https://github.com/Jearil/SimpleNoSQL.git,A simple NoSQL client for Android. Meant as a document store using key/value pairs and some rudimentary querying. Useful for avoiding the hassle of SQL code.,,393
0,https://github.com/hhblaze/DBreeze.git,C# .NET MONO NOSQL ( key value store embedded ) ACID multi-paradigm database management system.,"nosql,database,embedded,c-sharp,text,search,search-engine,net,acid,transaction,android,xamarin,key,value,dotnet,netstandard,netcore",391
0,https://github.com/lordofthejars/nosql-unit.git,NoSQL Unit is a JUnit extension that helps you write NoSQL unit tests.,,373
0,https://github.com/LunarFlash/Chaty.git,"{""Anonymous chat app leveraging Google's Firebase, a NoSQL backend and WebSocket for real time data synching""}",,364
0,https://github.com/bchavez/RethinkDb.Driver.git,:headphones: A NoSQL C#/.NET RethinkDB database driver with 100% ReQL API coverage.,"driver,rethinkdb,reql,regrid,nosql,document-database,csharp,kick-ass,c-sharp,hacktoberfest",351
0,https://github.com/coleifer/unqlite-python.git,Python bindings for the UnQLite embedded NoSQL database,"python,unqlite,nosql,embedded-database",334
0,https://github.com/matteoredaelli/ebot.git,"Ebot, an Opensource Web Crawler built on top of a nosql database (apache couchdb, riak), AMQP database (rabbitmq), webmachine and mochiweb. Ebot is written in Erlang and it is a very scalable, distribuited and highly configurable web cawler. See wiki pages for more details",,323
0,https://github.com/hibernate/hibernate-ogm.git,Hibernate OGM - Domain model persistence for NoSQL datastores,"hibernate,mongodb,java,couchdb,redis,neo4j,cassandra,infinispan,nosql-datastores",302
0,https://github.com/florent37/Android-NoSql.git,"Lightweight, simple structured NoSQL database for Android","android,nosql,sql,data,local,saver,shared,preferences,path,uri,simple,cassandra,firebase,mongo,db,mongodb,hadoop,cassandra-database,elastic",287
0,https://github.com/petersirka/nosql.git,NoSQL embedded database for small node.js projects,,284
0,https://github.com/timshannon/badgerhold.git,BadgerHold is an embeddable NoSQL store for querying Go types built on Badger,,281
0,https://github.com/cr0hn/nosqlinjection_wordlists.git,This repository contains payload to test NoSQL Injections,"wordlist,payload,nosql-injections,mongodb,injection,owasp",277
0,https://github.com/logv/sybil.git,columnar storage + NoSQL OLAP engine | https://logv.org,"golang,columnar-storage,olap",273
0,https://github.com/BlueshiftSoftware/EntityFrameworkCore.git,NoSQL providers for EntityFramework Core,"entityframeworkcore,mongodb,dotnet,dotnet-core",264
0,https://github.com/weinberger/nosql-tests.git,NoSQL benchmark tests for documents and graphs,,263
0,https://github.com/atk4/data.git,ATK Data - Data Access Framework for high-latency databases (Cloud SQL/NoSQL).,"orm,persistence,nosql,sql,php,atk4,agile",244
0,https://github.com/y123456yz/Reading-and-comprehense-redis-cluster.git,"分布式NOSQL redis源码阅读中文分析注释，带详尽注释以及相关流程调用注释，提出改造点，redis cluster集群功能、节点扩容、槽位迁移、failover故障切换、一致性选举完整分析，对理解redis源码很有帮助，解决了source insight中文注释乱码问题,更新完毕","redis,cluster,comprehense-redis-cluster,zh-cn",232
0,https://github.com/daogangtang/bamboo.git,"Bamboo is the web framework of Lua based on Mongrel2, ZeroMQ and NoSQL database.",,229
0,https://github.com/pythonql/pythonql.git,"A Query Language extension for Python: Query files, objects, SQL and NoSQL databases with a built-in query language",,205
