,Url,Description,Topics,Stars
0,https://github.com/NordicSemiconductor/Android-nRF-Toolbox.git,The nRF Toolbox is a container app that stores your Nordic Semiconductor apps for Bluetooth Low Energy in one location.,,833
0,https://github.com/blinker-iot/blinker-nRF52.git,Base nordic nrf5 SDK V16.0.0 and nrf5 mesh SDK V4.0.0,,772
0,https://github.com/sandeepmistry/arduino-nRF5.git,Arduino Core for Nordic Semiconductor nRF5 based boards,,604
0,https://github.com/NordicSemiconductor/IOS-nRF-Toolbox.git,The nRF Toolbox is a container app that stores your Nordic Semiconductor apps for Bluetooth Low Energy in one location.,,438
0,https://github.com/sandeepmistry/arduino-BLEPeripheral.git,"{""An Arduino library for creating custom BLE peripherals with Nordic Semiconductor's nRF8001 or nR51822.""}",,424
0,https://github.com/adafruit/Adafruit_nRF52_Arduino.git,Adafruit code for the Nordic nRF52 BLE SoC on Arduino,,374
0,https://github.com/DandelionSprout/adfilt.git,"The place where I, DandelionSprout, store my web filter lists for countless topics, including my Nordic adblock list. As simple as that, really.","ad-blocker,filterlist,ublock-origin,adblock,adblock-plus,json,firefox,chrome,opera,edge",261
0,https://github.com/BastilleResearch/nrf-research-firmware.git,Firmware and research tools for Nordic Semiconductor nRF24LU1+ based USB dongles and breakout boards.,,247
0,https://github.com/aanon4/HomeKit.git,HomeKit for Bluetooth Low Energy (BLE) for Nordic nRF51,,228
0,https://github.com/UIPEthernet/UIPEthernet.git,"UIPEthernet library for Arduino IDE,Eclipse with arduino plugin and MBED/SMeshStudio (AVR,STM32F,ESP8266,Intel ARC32, Nordic nRF51, Teensy boards,Realtek Ameba(RTL8195A,RTL8710)), ENC28j60 network chip. Compatible with Wiznet W5100 Ethernet library API.",,210
0,https://github.com/jpconstantineau/BlueMicro_BLE.git,Keyboard Firmware for the Nordic nRF52 Series of Bluetooth SoC based on the Adafruit NRF52 Feather,,209
0,https://github.com/NordicSemiconductor/Nordic-Thingy52-FW.git,Nordic Thingy:52 software development kit. This kit is designed to assist users in developing their own custom firmware for Thingy. Please see http://www.nordicsemi.com/thingy for the latest news and software releases.,,196
0,https://github.com/xiaolongba/HX_DK_FOR_NORDIC_52840_BLE.git,该代码仓主要用于发布基于红旭开发板的NORDIC 52840 BLE教程（This repository is mainly to publish the NORDIC 52840 BLE tutorials based on the HX DK）,,179
0,https://github.com/NordicSemiconductor/nrfx.git,Standalone drivers for peripherals present in Nordic SoCs,,163
0,https://github.com/ria-ee/X-Road.git,Unmaintained repository. Development moved to: https://github.com/nordic-institute/X-Road,,156
0,https://github.com/reversebias/mitosis.git,Firmware for nordic MCUs used in the Mitosis Keyboard,,154
0,https://github.com/AngryAnt/UnityHacks.git,"Slides and examples from the ""Unity Hacks"" talk from Unite Korea, Japan, China and Nordic 13.",,129
0,https://github.com/probabilisticai/probai-2019.git,Materials of the Nordic Probabilistic AI School 2019.,"probabilistic-ai,probabilistic-machine-learning,probabilistic-models,probabilistic-programming,bayesian,deep-generative-models,summer-school",112
0,https://github.com/botxo/nordic_bert.git,Pre-trained Nordic models for BERT,,112
0,https://github.com/Pilloxa/react-native-nordic-dfu.git,Nordic Device Firmware Update for React Native,,105
0,https://github.com/Yveaux/NRF24_Sniffer.git,Sniffer for Nordic NRF24L01+ modules with MySensors support,"mysensors,nrf24l01,nrf24,sniffer,c-plus-plus,analyze-protocols",90
0,https://github.com/NordicSemiconductor/Android-Nordic-Thingy.git,Android SDK and sample application for Nordic Thingy:52,,85
0,https://github.com/jamesmunns/nrf52dk-sys.git,A Rust Crate to develop on the Nordic nRF52-DK,"rust,firmware,embedded,bluetooth,bluetooth-low-energy",84
0,https://github.com/BastilleResearch/gr-nordic.git,GNU Radio module and Wireshark dissector for the Nordic Semiconductor nRF24L Enhanced Shockburst protocol. ,,84
0,https://github.com/electronut/ElectronutLabs-bluey.git,Nordic nRF52832 BLE development board with sensors.,,83
0,https://github.com/fengqiangboy/flutter-nordic-dfu.git,Flutter Nordic dfu,"flutter,nordic,dfu",82
0,https://github.com/guanix/arduino-nrf8001.git,Arduino library for the Nordic nRF8001 Bluetooth Low Energy chip,,82
0,https://github.com/SySS-Research/nrf24-playset.git,"Software tools for Nordic Semiconductor nRF24-based devices like wireless keyboards, mice, and presenters","security,security-tools,proof-of-concept,nrf24",74
