,Url,Description,Topics,Stars
0,https://github.com/Fmstrat/winapps.git,"Run Windows apps such as Microsoft Office/Adobe in Linux (Ubuntu/Fedora) and GNOME/KDE as if they were a part of the native OS, including Nautilus integration.",,4524
0,https://github.com/phiresky/ripgrep-all.git,"rga: ripgrep, but also search in PDFs, E-Books, Office documents, zip, tar.gz, etc.",,3749
0,https://github.com/OfficeDev/office-ui-fabric-core.git,The front-end CSS framework for building experiences for Office and Microsoft 365.,,3615
0,https://github.com/unidoc/unioffice.git,"Pure go library for creating and processing Office Word (.docx), Excel (.xlsx) and Powerpoint (.pptx) documents","go,golang,ooxml,openoffice,docx,pptx,xlsx,ecma-376,spreadsheet,word,powerpoint,excel,g",2845
0,https://github.com/thecodingmachine/gotenberg.git,"A Docker-powered stateless API for converting HTML, Markdown and Office documents to PDF","api,pdf,html,wkhtmltopdf,unoconv,docker,markdown,google-chrome,docx,txt,rtf,odt,pptx,ppt,odp,conversion,go,php,puppeteer,pdftk",2626
0,https://github.com/jeremykenedy/laravel-auth.git,"Laravel 8 with user authentication, registration with email confirmation, social media authentication, password recovery, and captcha protection. Uses offical [Bootstrap 4](http://getbootstrap.com). This also makes full use of Controllers for the routes, templates for the views, and makes use of middleware for routing. The project can be stood up in minutes.","laravel,socialite,socialite-logins,social-authentication,registration,laravel-framework,user-profile,authentication,two-step-authentication,gravatar-api,users,user-management,google-maps,roles,localization,dropzonejs",2578
0,https://github.com/UKHomeOffice/posters.git,"Home Office Digital repository of posters covering different topics - research, access needs, accessibility, design.",,2575
0,https://github.com/randym/axlsx.git,"{""    xlsx generation with charts, images, automated column width, customizable styles and full schema validation. Axlsx excels at helping you generate beautiful Office Open XML Spreadsheet documents without having to understand the entire ECMA specification. Check out the README for some examples of how easy it is. Best of all, you can validate your xlsx file before serialization so you know for sure that anything generated is going to load on your client's machine.""}",,2574
0,https://github.com/YerongAI/Office-Tool.git,Office Tool Projects,"otp,office-tools,office",2363
0,https://github.com/orchidsoftware/platform.git,"A @laravel based RAD platform for back-office applications, admin/user panels, and dashboards.","laravel,cms,platform,cmf,admin,dashboard,laravel-admin,laravel-cms,crud,extranet,laravel-admin-panel,hacktoberfest",2153
0,https://github.com/unoconv/unoconv.git,Universal Office Converter - Convert between any document format supported by LibreOffice/OpenOffice.,,2119
0,https://github.com/Ziv-Barber/officegen.git,"Standalone Office Open XML files (Microsoft Office 2007 and later) generator for Word (docx), PowerPoint (pptx) and Excell (xlsx) in javascript. The output is a stream.",,2118
0,https://github.com/ONLYOFFICE/DocumentServer.git,"ONLYOFFICE Document Server is an online office suite comprising viewers and editors for texts, spreadsheets and presentations, fully compatible with Office Open XML formats: .docx, .xlsx, .pptx and enabling collaborative editing in real time.","onlyoffice,office,word,excel,spreadsheet,presentation,docx,xlsx,pptx,doc,xls,ppt,collaboration,collaborative,odt,ods,odp,node,node-js,nodejs",2058
0,https://github.com/pnp/PnP.git,SharePoint / Office 365 Developer Patterns and Practices - Legacy solutions,"pnp,sharepoint,office365,javascript,c-sharp",1836
0,https://github.com/mongo-js/mongojs.git,Node.js module that implements the offical mongo api,"mongodb,mongodb-driver",1768
0,https://github.com/zserge/awfice.git,The world smallest office suite,,1755
0,https://github.com/fluentribbon/Fluent.Ribbon.git,WPF Ribbon control like in Office,"ribbon,c-sharp,wpf,xaml,office,showcase-application,hacktoberfest,control",1716
0,https://github.com/dotnetcore/NPOI.git,A .NET library for reading and writing Microsoft Office binary and OOXML file formats.,"npoi,word,excel,office",1693
0,https://github.com/dakrone/clj-http.git,An idiomatic clojure http client wrapping the apache client. Offically supported version.,,1574
0,https://github.com/allegro/ralph.git,Ralph is the CMDB / Asset Management system for data center and back office hardware.,"dcim,django,python3,cmdb,data-center,backoffice,assets-management,inventory-management,inventory,hacktoberfest",1561
0,https://github.com/decalage2/oletools.git,"oletools - python tools to analyze MS OLE2 files (Structured Storage, Compound File Binary Format) and MS Office documents, for malware analysis, forensics and debugging.","python,python-library,olefile,malware-analysis,ms-office-documents,compound,rtf,forensics,ole-files,security,parser,pyparsing,vba,macros",1546
0,https://github.com/hiddentao/squel.git,:office: SQL query string builder for Javascript,,1537
0,https://github.com/VBA-tools/VBA-Web.git,"VBA-Web: Connect VBA, Excel, Access, and Office for Windows and Mac to web services and the web",,1525
0,https://github.com/thecodingmachine/workadventure.git,A collaborative web application (virtual office) presented as a 16-bit RPG video game,"hacktoberfest,typescript,workadventure",1519
0,https://github.com/ONLYOFFICE/CommunityServer.git,"Free open source office suite with business productivity tools: document and project management, CRM, mail aggregator.","onlyoffice,collaboration,dms,document-management,project-management,crm,file-sharing,csharp,tsql",1406
0,https://github.com/outflanknl/EvilClippy.git,"A cross-platform assistant for creating malicious MS Office documents. Can hide VBA macros, stomp VBA code (via P-Code) and confuse macro analysis tools. Runs on Linux, OSX and Windows.","ms-office,malware,macro,vba,pcode,word,excel,stomping",1302
0,https://github.com/firstlookmedia/dangerzone.git,"Take potentially dangerous PDFs, office documents, or images and convert them to a safe PDF",,1251
0,https://github.com/sevagas/macro_pack.git,"macro_pack is a tool by @EmericNasi used to automatize obfuscation and generation of Office documents, VB scripts, shortcuts, and other formats for pentest, demo, and social engineering assessments. The goal of macro_pack is to simplify exploitation, antimalware bypass, and automatize the process from malicious macro and script generation to final document generation. It also provides a lot of helpful features useful for redteam or security research. ","pentest,social-engineering,vba,obfuscation,redteam,msoffice,macros,meterpreter",1182
0,https://github.com/ONLYOFFICE/DesktopEditors.git,"An office suite that combines text, spreadsheet and presentation editors allowing to create, view and edit local documents","onlyoffice,office,word,excel,spreadsheet,presentation,desktop,docx,xlsx,pptx,doc,xls,ppt,odt,ods,odp,collaboration,node,nodejs",1054
0,https://github.com/3xxx/engineercms.git,工程师知识管理系统：基于golang go语言（beego框架）。每个行业都有自己的知识管理系统，engineercms旨在为土木工程师们打造一款适用的基于web的知识管理系统。它既可以用于管理个人的项目资料，也可以用于管理项目团队资料；它既可以运行于个人电脑，也可以放到服务器上。支持提取码分享文件，onlyoffice实时文档协作，直接在线编辑dwg文件、office文档，在线利用mindoc创作你的书籍，阅览PDF文件。通用的业务流程设置。手机端配套小程序，微信搜索“珠三角设代”或“青少儿书画”即可呼出小程序。,"engineers,cms,projectmanage,engineer-management,hydraulic-informatization,ipad",990
0,https://github.com/curi0usJack/luckystrike.git,A PowerShell based utility for the creation of malicious Office macro documents.,,969
0,https://github.com/opensagres/xdocreport.git,"{""XDocReport means XML Document reporting. It's Java API to merge XML document created with MS Office (docx) or OpenOffice (odt), LibreOffice (odt) with a Java model to generate report and convert it if you need to another format (PDF, XHTML...). ""}",,815
0,https://github.com/dylanbai8/kmspro.git,windows系统一句命令激活，office套件一句命令激活，一键搭建kms服务器，kms一键脚本，安卓Android搭建kms服务器,"kms,kms-server,kms-linux,kms-windows,kms-android,kms-office,onekey-kms,kms-shell,kms-pro,v0v-bid",803
0,https://github.com/O365/python-o365.git,A simple python library to interact with Microsoft Graph and Office 365 API,"python,microsoft-graph-api,onedrive,mailbox,office-365-rest-api,microsoft-api,sharepoint,calendar,outlook,planner,excel,email,graph,oauth-authentication,microsoft,addressbook,calendars,oauth,microsoft-teams",788
0,https://github.com/OfficeDev/ews-java-api.git,A java client library to access Exchange web services.  The API works against Office 365 Exchange Online as well as on premises Exchange.,,774
0,https://github.com/sandroasp/Microsoft-Integration-and-Azure-Stencils-Pack-for-Visio.git,"Microsoft Integration, Azure, Power Platform, Office 365 and much more Stencils Pack it’s a Visio package that contains fully resizable Visio shapes (symbols/icons) that will help you to visually represent On-premise, Cloud or Hybrid Integration and Enterprise architectures scenarios (BizTalk Server, API Management, Logic Apps, Service Bus, Event Hub…), solutions diagrams and features or systems that use Microsoft Azure and related cloud and on-premises technologies in Visio 2016/2013","stencils,stencils-pack,mis-azure,support-stencils,systems-logo-stencils,sap-stencils,integration,azure,power-platform,office-365,visio,resizable-visio-shapes,shapes,mis-devices-stencils,office",772
0,https://github.com/OfficeDev/TrainingContent.git,Training Content used for developer.microsoft.com/office,,767
0,https://github.com/OfficeDev/Office-IT-Pro-Deployment-Scripts.git, A collection of useful PowerShell scripts to make deploying Office 2016 and Office 365 ProPlus easier for IT Pros and administrators.  If you have any feature requests or ideas for future scripts please add the idea to the issues list in this repository,,759
0,https://github.com/Cosmo/Clippy.git,📎💬🎉 Clippy from Microsoft Office is back and runs on macOS! Written in Swift.,"clippy,spritekit,swift,macos,hacktoberfest",673
0,https://github.com/bhdresh/CVE-2017-0199.git,Exploit toolkit CVE-2017-0199 - v4.0 is a handy python script which provides pentesters and security researchers a quick and effective way to test Microsoft Office RCE. It could generate a malicious RTF/PPSX file and deliver metasploit / meterpreter / other payload to victim without any complex configuration.,,653
0,https://github.com/enigma0x3/Generate-Macro.git,This Powershell script will generate a malicious Microsoft Office document with a specified payload and persistence method.,,599
0,https://github.com/redbooth/free-file-icons.git,"Platform-agnostic icons for audio, image, programming and office files.",,590
0,https://github.com/ONLYOFFICE/Docker-DocumentServer.git,"ONLYOFFICE Document Server is an online office suite comprising viewers and editors for texts, spreadsheets and presentations, fully compatible with Office Open XML formats: .docx, .xlsx, .pptx and enabling collaborative editing in real time.","onlyoffice,docker-image",568
0,https://github.com/RibbonWinForms/RibbonWinForms.git,An Office Ribbon Control for .NET WinForms,"ribbon,office-ribbon,ribbon-controls,net-winforms,winforms,net-framework",566
0,https://github.com/OfficeDev/generator-office.git,Yeoman generator for building Microsoft Office related projects.,"office,yeoman-generator,add-ins,yo-office",551
0,https://github.com/stephen-hardy/xlsx.js.git,"XLSX.js is a JavaScript library for converting the data in base64 XLSX files into JavaScript objects - and back! Please note that this library is licensed under the Microsoft Office Extensible File License - a license NOT approved by the OSI. While this license is based off of the MS-PL, which is OSI-approved, there are significant differences.",,550
0,https://github.com/BlazorFluentUI/BlazorFluentUI.git,Port of FluentUI/Office Fabric React components and style to Blazor,"blazor,csharp,wasm",545
0,https://github.com/mjul/docjure.git,Read and write Office documents from Clojure,"clojure,excel,spreadsheet,xlsx,xls",521
