,Url,Description,Topics,Stars
0,https://github.com/OpenBankProject/OBP-API.git,"An open source RESTful API platform for banks that supports Open Banking, XS2A and PSD2 through access to accounts, transactions, counterparties, payments, entitlements and metadata - plus a host of internal banking and management APIs.","xs2a,xs2a-interface,xs2a-connector,psd2,psd2-xs2a-interface,openbanking,openbanking-api",1322
0,https://github.com/Sbanken/api-examples.git,Examples on how to use the Sbanken Open Banking API,"dotnet-core,swagger-documentation,electron,nodejs",133
0,https://github.com/PavelBastov/opencbs.git,Open-source core banking system for microfinance institutions,,110
0,https://github.com/apigee/openbank.git,An Open Banking Reference Implementation with Apigee  ,,103
0,https://github.com/atp-team/Gustav.git,Open source internet banking built on the top of WebAPI of Česká spořitelna,,72
0,https://github.com/quantmind/awesome-open-finance.git,A curated list of open finance and open banking resources,"api,finance,payment,banking,awesome,awesome-list",67
0,https://github.com/rhubarb/bankjob.git,Bankjob is a command-line ruby program for scraping online banking sites and producing statements in OFX (Open Fincancial Exchange) or CSV (Comma Separated Values) formats. ,,66
0,https://github.com/adorsys/open-banking-gateway.git,"{""Provides RESTful API, tools, adapters, and connectors for transparent access to open banking API's (for banks that support PSD2 and XS2A as well as HBCI/FinTS)""}","tpp,psd2,xs2a,banking-gateway,adorsys,berlin-group,banking-apis,open-banking,fintech-api,fintech,hbci,payment-gateway,hbci-sandbox,xs2a-interface,xs2a-connector,psd2-xs2a-interface,openbanking,openbanking-api",65
0,https://github.com/OpenBankingUK/opendata-api-spec-compiled.git,Official Open Banking UK Open Data API specifications,"open-banking,api",57
0,https://github.com/not-a-bank/open-banking-tracker-data.git,The open banking API directory,"openbanking,api,psd2,obie,fintech,finance,data,banking,bank,institutions,tracker",54
0,https://github.com/bigcompany/safewallet.git,Safewallet open-source crypto-currency banking software,,46
0,https://github.com/OpenBankingUK/reference-applications.git,Suite of reference applications to facilitate development and testing relating to Open Banking APIs,,45
0,https://github.com/BankNegaraMY/oapi-banking.git,Open API specification for Banking industry,,44
0,https://github.com/wultra/powerauth-crypto.git,"PowerAuth - Open-source solution for authentication, secure data storage and transport security in mobile banking.","security,authentication,mobile-security,banking-applications,signed-requests,protocol,encryption,banking,authorization",41
0,https://github.com/LukePrior/Australian-Open-Banking-Data-Database.git,This is an ongoing collection of Open Banking Data APIs for Australian deposit taking institutions.,"consumer-data,banking-apis,cdr,open-banking",41
0,https://github.com/OpenBankingUK/account-info-api-spec.git,Swagger files for the Open Banking Account and Transaction API,"swagger,openbanking",35
0,https://github.com/OpenBanking-Brasil/mock-api.git,Este repositório contém um workflow que gera automaticamente uma imagem docker com um Api Mock  baseado no Swagger oficial do Open Banking Brasil.,,29
0,https://github.com/apigee/consumer-data-standards-au.git,Consumer Data Standards Australia - Open Banking Reference Implementation,"openbanking-api,openbanking,cds,australia,apigee,banking-apis",26
0,https://github.com/thauska/desafio-tecban.git,"Hackathon TecBan 2020 - BICOS, an React-Native app for connection and contracting service provision. BICOS was born to democratize access to Open Banking to those who were previously invisible.","hackathon,shawee,tecban,openbanking,hackathon-project,react-native-app",26
0,https://github.com/arussellsaw/budgie.git,Sync your bank transactions with google sheets using Open Banking APIs,"open-banking,cloud-run,golang,finance,google-sheets",25
0,https://github.com/Czech-BA/COBS.git,This repository contains the public issue tracker for the Czech Standard for Open Banking (mainly PSD2).,,25
0,https://github.com/nearform/open-banking-reference-app.git,NearForm reference application for open banking - https://community.nearform.com/api-banking,,22
0,https://github.com/stone-co/go-stone-openbank.git,A Go library to connect with Stone Open Banking API,,19
0,https://github.com/ConsumerDataStandardsAustralia/banking-products-comparator.git,A PoC of banking products view/comparison web app utilising the open banking product API,,18
0,https://github.com/bemre/bankbot-mazain.git, Analysis of BankBot/Mazain: An Open Source Banking Trojan That Targets Android Devices ,"android,malware-analysis,report,bankbot",18
0,https://github.com/ExtraBB/open-psd2.git,"{""An open source framework for using banking API's built for PSD2 regulation.""}","banking,api,open,psd2,authorization,ing,abn,http,finance,bank,help-wanted",18
0,https://github.com/peterjskaltsis/up-banking-web-unofficial.git,"An unofficial web app client for Up Banking, built with their new open banking API ⚡️","open-banking,up,nextjs,experiment",18
0,https://github.com/TiagoDanin/OpenTecBan-Service.git,Hackathon TecBan 2020 - Open Banking API Service,,17
0,https://github.com/ForgeRock/OpenBanking-UK-Datamodel-Java-SDK.git,A Java SDK to help implementing the Open Banking standard : https://www.openbanking.org.uk/read-write-apis/,"openbanking,openbanking-sdk",16
0,https://github.com/ForgeRock/ForgeRock-OpenBanking-Sample.git,ForgeRock Open Banking Sample code. Examples to help you discovering the Open Banking standard,,15
0,https://github.com/magnobiet/open-banking-brazil.git,🏦 A curated list of Brazilian open banking,"banks,brazil,open-banking",15
0,https://github.com/NordeaOB/swaggers.git,Nordea Open Banking API Swagger and Postman files,,14
0,https://github.com/robinryden/swedbank-open-banking.git,Go package for Swedbanks Open Banking API,"swedbank,swedbank-open-banking,open-banking,go",14
0,https://github.com/openbankingnigeria/api.git,"The Open Banking Nigeria is a way to bring a standard banking system in Nigeria, for which any bank can follow to make life easier for all players in the ecosystem.","openbanking,nigeria,bank,fintech",12
0,https://github.com/SensibleWood/open-banking-graphql.git,Open Banking API Specifications -> GraphQL schemas -> ?,,12
0,https://github.com/uberswe/nordeago.git,NordeaGo is a wrapper for the Nordea Open Banking API written in Go,"nordea,golang,api",12
0,https://github.com/OpenBankingUK/directory-api-specs.git,Open Banking Directory API specifications,,11
0,https://github.com/sebgroup/openbanking.git,SEB is banking outside the box! Find additional documentation here that will help you integrate with our APIs.,,11
0,https://github.com/yapily/yapily-sdk-nodejs.git,Javascript SDK compatible with Node JS generated against the Yapily API. This SDK can be used to connect to Open Banking entities.,"sdk-nodejs,openbanking,psd2,fintech,javascript,sdk,oauth2,banking-applications,openapi,connectivitymanager,yapily,financial-institutions,yapily-sdk,yapily-api,openbanking-sdk,payments-sdk,payments,openbanking-api",11
0,https://github.com/shyam999/Django-Bank.git,Django-Bank is an open source full fledged Banking Website Developed in Django and designed with Bottstrap.It offers every service that a banking web application should...,,11
0,https://github.com/yapily/yapily-sdk-java.git,Java SDK generated against the Yapily API. This SDK can be used to connect to Open Banking entities.,yapily-sdk,11
0,https://github.com/open-accelerators/open-banking.git,"This repository contains a developer portal, mock data and other configurations for creating micro services based platform to support  open banking",,10
0,https://github.com/OpenBanking-Brasil/specs-seguranca.git,Documentação das especificações do GT de Segurança do Open Banking Brasil. As especificações ainda estão em versão draft e não devem ser utilizadas para implementação.,,10
0,https://github.com/caracreative/awesome-open-banking.git,A collection of awesome Open Banking APIs,,9
0,https://github.com/OpenBankingStandard/framework.git,Framework for the delivery of the Open Banking Standard,,9
0,https://github.com/enablebanking/OpenBankingJSExamples.git,Sample JavaScript code showing how to use Open banking APIs (PSD2 AISP & PISP) using enable:Banking JS library,"open-banking,psd2,openbanking,openbanking-sdk,openbanking-api,example-code,pisp",9
0,https://github.com/yapily/yapily-sdk-python.git,Python SDK generated against the Yapily API. This SDK can be used to connect to Open Banking entities.,"python,devtools,openbanking,psd2,sdk-python,fintech-utility,oauth2,python-sdk,yapily,sdk,financial-institutions,yapily-api,yapily-sdk,openbanking-sdk",9
0,https://github.com/finlabsuk/open-banking-connector-swift.git,Software that simplifies access to UK Open Banking APIs,"swift,swift5,swift-server,swift-nio,asynchronous-io,high-performance,open-banking,multi-threaded,linux,macos",9
0,https://github.com/jbossdemocentral/openbanking-workshop.git,Red Hat Open Banking Platform Workshop,,8
0,https://github.com/openMF/open-banking-app.git,Stand-alone application for third-party fintechs and PISPs to build and demonstrate open banking use cases. ,,8
0,https://github.com/Dan2552/Monies.git,Open source quick-access iOS banking app,,8
0,https://github.com/murilokprado/open-banking-endpoints.git,Repository to centralize information Open Banking docs & endpoints all companies in Brazil.,,8
0,https://github.com/Liques/BestBankPortugalConnect.git,SDK to connect to the Open Banking API of the portuguese bank Banco Best.,,8
0,https://github.com/apiplaybook/open-banking-brasil.git,"Este repositório contém uma aplicação construída em JavaScript com a biblioteca React. Ela é capaz de realizar chamadas às APIs do Open Banking Brasil, gerar uma matriz de comparação e tabelas com os valores retornados.","open-banking,open-banking-brasil,open-banking-brazil,api,apis,javascript,react,http,https,requests,banking,comparator,bacen,febraban,banco,central,openbanking,openbanking-brasil",8
0,https://github.com/OpenBankProject/OBP-JVM.git,Open Bank Project JVM Library. This project can be used by OBP-API or indpendently to connect to core banking resources via transports including Kafka.,,7
