,Url,Description,Topics,Stars
0,https://github.com/cayleygraph/cayley.git,An open-source graph database,"graph,graph-database,cayley,go,linked-data",13811
0,https://github.com/amark/gun.git,An open source cybersecurity protocol for syncing decentralized graph data.,"machine-learning,artificial-intelligence,big-data,blockchain,p2p,peer-to-peer,decentralized,graph,cryptography,crypto,offline-first,realtime,iot,crdt,protocol,database,end-to-end,encryption,dweb,dapp",12898
0,https://github.com/vesoft-inc/nebula.git,"  A distributed, fast open-source graph database featuring horizontal scalability and high availability","graph-database,distributed,database,graphdb,raft,cpp,nebula-graph,nebula,graph,nebulagraph",6184
0,https://github.com/jagenjo/webglstudio.js.git,"A full open source 3D graphics editor in the browser, with scene editor, coding pad, graph editor, virtual file system, and many features more.","3d,webgl,editor,graph-editor,scene-graph,webtool,webapp,rendering,shaders",4348
0,https://github.com/gephi/gephi.git,Gephi - The Open Graph Viz Platform,"graph,visualization,opengl,interactive,graph-analytics",4315
0,https://github.com/orientechnologies/orientdb.git,"OrientDB is the most versatile DBMS supporting Graph, Document, Reactive, Full-Text, Geospatial and Key-Value models in one Multi-Model product. OrientDB can run distributed (Multi-Master), supports SQL, ACID Transactions, Full-Text indexing and Reactive Queries. OrientDB Community Edition is Open Source using a liberal Apache 2 license.","orientdb,graph-database,document-database,dbms,nosql,graph-store,multi-master,multi-model-dbms,database,performance,fast,sql",4296
0,https://github.com/JanusGraph/janusgraph.git,"JanusGraph: an open-source, distributed graph database","graph-database,tinkerpop,gremlin,hbase,cassandra,elasticsearch,solr,bigtable,graphdb,graph",3965
0,https://github.com/AutoFixture/AutoFixture.git,"{""AutoFixture is an open source library for .NET designed to minimize the 'Arrange' phase of your unit tests in order to maximize maintainability. Its primary goal is to allow developers to focus on what is being tested rather than how to setup the test scenario, by making it easier to create object graphs containing test data.""}",,2281
0,https://github.com/NatronGitHub/Natron.git,Open-source compositing software. Node-graph based. Similar in functionalities to Adobe After Effects and Nuke by The Foundry.,,2046
0,https://github.com/vercel/og-image.git,"Open Graph Image as a Service - generate cards for Twitter, Facebook, Slack, etc","open-graph,image,generator,image-generator,twitter-cards,vercel",1969
0,https://github.com/MrKepzie/Natron.git,Open-source compositing software. Node-graph based. Similar in functionalities to Adobe After Effects and Nuke by The Foundry.,"c-plus-plus,vfx,cross-platform,openfx",1451
0,https://github.com/tschellenbach/Django-facebook.git,Facebook open graph api implementation using the Django web framework in python,,1423
0,https://github.com/microlinkhq/metascraper.git,"Scrape data from websites using Open Graph, HTML metadata & fallbacks.","metadata,scrape,parse",1318
0,https://github.com/terminusdb/terminusdb.git,Open source graph database and document store. Designed for collaboratively building data-intensive applications and knowledge graphs.,"prolog,knowledge-graphs,linked-data,graph-database,json-ld,terminusdb,database,collaboration,revision-control,immutable",1313
0,https://github.com/benedekrozemberczki/karateclub.git,Karate Club: An API Oriented Open-source Python Framework for Unsupervised Learning on Graphs (CIKM 2020),"community-detection,graph-clustering,deepwalk,networkx,louvain,network-science,machine-learning,unsupervised-learning,gcn,node2vec,graph2vec,supervised-learning,sklearn,networkx-graph,scikit,label-propagation,graph-embedding,network-embedding,node-embedding,2vec",1246
0,https://github.com/itteco/iframely.git,"oEmbed proxy. Supports over 1800 domains via custom parsers, oEmbed, Twitter Cards and Open Graph","embeds,oembed,twitter-cards,open-graph,responsive",1160
0,https://github.com/limccn/Android-Charts.git,"Open-source native Android graph/chart framework includes line chart,stick chart,candlestick chart,pie chart,spider-web chart etc. ",,806
0,https://github.com/Azure-Samples/active-directory-aspnetcore-webapp-openidconnect-v2.git,"An ASP.NET Core Web App which lets sign-in users (including in your org, many orgs, orgs + personal accounts, sovereign clouds) and call Web APIs (including Microsoft Graph)","quickstart,scenario-webapp-signin",710
0,https://github.com/marty-suzuki/URLEmbeddedView.git,URLEmbeddedView automatically caches the object that is confirmed the Open Graph Protocol.,"ogp,embedded,url,thumbnail,swift,carthage,cocoapods,ios,tvos",634
