,Url,Description,Topics,Stars
0,https://github.com/InterviewMap/CS-Interview-Knowledge-Map.git,"Build the best interview map. The current content includes JS, network, browser related, performance optimization, security, framework, Git, data structure, algorithm, etc.","javascript,blog,interview,react,vue,algorithms",17039
0,https://github.com/svg/svgo.git,⚙️ Node.js tool for optimizing SVG files,"svg,minification,nodejs,svgo,javascript,optimization,cli",16137
0,https://github.com/taosdata/TDengine.git,An open-source big data platform designed and optimized for the Internet of Things (IoT).,"iot,bigdata,time-series,database,industrial-iot,connected-vehicles,full-stack,monitoring",14881
0,https://github.com/facebook/prepack.git,A JavaScript bundle optimizer.,"javascript,optimization",14309
0,https://github.com/Tencent/ncnn.git,ncnn is a high-performance neural network inference framework optimized for the mobile platform,"inference,high-preformance,simd,arm-neon,deep-learning,artificial-intelligence,android,ios,ncnn,vulkan,neural-network,caffe,mxnet,pytorch,onnx,darknet,tensorflow,mlir,keras",11615
0,https://github.com/MarlinFirmware/Marlin.git,Marlin is an optimized firmware for RepRap 3D printers based on the Arduino platform. | Many commercial 3D printers come with Marlin installed. Check with your vendor if you need source code for your specific machine.,"reprap,arduino,3d-printing,firmware,avr,atmel,stmicro,esp32",11170
0,https://github.com/timescale/timescaledb.git,An open-source time-series SQL database optimized for fast ingest and complex queries.  Packaged as a PostgreSQL extension.,"time-series-database,postgresql,time-series,sql,postgres,tsdb,iot,financial-analysis,analytics",11008
0,https://github.com/h2o/h2o.git,"H2O - the optimized HTTP/1, HTTP/2, HTTP/3 server",,9474
0,https://github.com/Theano/Theano.git,"Theano is a Python library that allows you to define, optimize, and evaluate mathematical expressions involving multi-dimensional arrays efficiently. It can use GPUs and perform efficient symbolic differentiation.",,9416
0,https://github.com/dgryski/go-perfbook.git,Thoughts on Go performance optimization,"optimization,performance,performance-optimization,performance-analysis",9253
0,https://github.com/spotify/annoy.git,Approximate Nearest Neighbors in C++/Python optimized for memory usage and loading/saving to disk,"c-plus-plus,python,nearest-neighbor-search,locality-sensitive-hashing,approximate-nearest-neighbor-search,golang,lua",8512
0,https://github.com/EpistasisLab/tpot.git,A Python Automated Machine Learning tool that optimizes machine learning pipelines using genetic programming.,"machine-learning,python,data-science,automl,automation,scikit-learn,hyperparameter-optimization,model-selection,parameter-tuning,automated-machine-learning,random-forest,gradient-boosting,feature-engineering,xgboost",8007
0,https://github.com/metricsgraphics/metrics-graphics.git,A library optimized for concise and principled data graphics and layouts.,,7417
0,https://github.com/davidsonfellipe/awesome-wpo.git,:pencil: A curated list of Web Performance Optimization. Everyone can contribute here!,"awesome-list,awesome,list,webperformance,webperf",7172
0,https://github.com/XiaoMi/soar.git,SQL Optimizer And Rewriter,"sql,advisor,optimizer,rewrite,suggestion,mysql,syntax,auditor,indexing,database,command-line",7132
0,https://github.com/ImageOptim/ImageOptim.git,GUI image optimizer for Mac,"gui,image-optimization,performace,accelerator,minification,imageoptim,mac-app",7114
0,https://github.com/oguzhaninan/Stacer.git,Linux System Optimizer and Monitoring - https://oguzhaninan.github.io/Stacer-Web,"optimizer,ubuntu,system-information,system,linux,desktop-application,monitoring,stacer",6939
0,https://github.com/facebook/hermes.git,Hermes is a small and lightweight JavaScript engine optimized for running React Native.,,6377
0,https://github.com/google/closure-compiler.git,A JavaScript checker and optimizer.,"closure-compiler,javascript,optimization,typechecking",5973
0,https://github.com/ArthurHub/Android-Image-Cropper.git,"Image Cropping Library for Android, optimized for Camera / Gallery.","android,android-image-cropper,cropper",5753
0,https://github.com/vvo/gifify.git,😻 Convert any video file to an optimized animated GIF.,"gif,video,mp4,gifsicle,screencast,gifify,nodejs,imagemagick,ffmpeg",5692
0,https://github.com/hyperopt/hyperopt.git,Distributed Asynchronous Hyperparameter Optimization in Python,,5614
0,https://github.com/facebook/redex.git,A bytecode optimizer for Android apps,,5314
0,https://github.com/fmfn/BayesianOptimization.git,A Python implementation of global optimization with gaussian processes.,"optimization,gaussian-processes,bayesian-optimization,python,simple",5117
0,https://github.com/microsoft/DeepSpeed.git,"DeepSpeed is a deep learning optimization library that makes distributed training easy, efficient, and effective.","deep-learning,pytorch,gpu,machine-learning,billion-parameters,data-parallelism,model-parallelism",4926
0,https://github.com/gonum/gonum.git,"Gonum is a set of numeric libraries for the Go programming language. It contains libraries for matrices, statistics, optimization, and more","go,golang,scientific-computing,data-analysis,matrix,statistics,graph",4867
0,https://github.com/EasyDarwin/EasyDarwin.git,"open source、high performance、industrial rtsp streaming server,a lot of optimization on streaming relay,KeyFrame cache,RESTful,and web management,also EasyDarwin support distributed load balancing,a simple streaming media cloud platform architecture.高性能开源RTSP流媒体服务器，基于go语言研发，维护和优化：RTSP推模式转发、RTSP拉模式转发、录像、检索、回放、关键帧缓存、秒开画面、RESTful接口、WEB后台管理、分布式负载均衡，基于EasyDarwin构建出了一套基础的流媒体云视频平台架构！","easydarwin,easycms,easycamera,rtsp-server,rtsp-relay,rtsp-annouce",4816
0,https://github.com/optuna/optuna.git,A hyperparameter optimization framework,"python,machine-learning,parallel,distributed,hyperparameter-optimization",4555
0,https://github.com/zephyrproject-rtos/zephyr.git,"Primary Git Repository for the Zephyr Project. Zephyr is a new generation, scalable, optimized, secure RTOS for multiple hardware architectures.","rtos,iot,embedded,real-time,mcu,microcontroller",4520
0,https://github.com/huggingface/tokenizers.git,💥 Fast State-of-the-Art Tokenizers optimized for Research and Production,"nlp,natural-language-processing,natural-language-understanding,language-model,transformers,bert,gpt",4517
0,https://github.com/XiaoMi/mace.git,MACE is a deep learning inference framework optimized for mobile heterogeneous computing platforms.,"deep-learning,neural-network,opencl,neon,hvx,machine-learning",4377
0,https://github.com/apache/incubator-pagespeed-ngx.git,Automatic PageSpeed optimization module for Nginx,pagespeed,4287
0,https://github.com/msiemens/tinydb.git,TinyDB is a lightweight document oriented database optimized for your happiness :),"python,nosql,database,documentdb,json",4264
0,https://github.com/firebase/FirebaseUI-Android.git,Optimized UI components for Firebase,"android,firebase,ui",4240
0,https://github.com/grbl/grbl.git,"An open source, embedded, high performance g-code-parser and CNC milling controller written in optimized C that will run on a straight Arduino",,4138
0,https://github.com/sitespeedio/sitespeed.io.git,"Sitespeed.io is an open source tool that helps you monitor, analyze and optimize your website speed and performance, based on performance best practices advices from the coach and collecting browser metrics using the Navigation Timing API, User Timings and Visual Metrics (FirstVisualChange, SpeedIndex & LastVisualChange). ","web,metrics,monitoring,webperf,perfmatters,performance-metrics,performance-analysis,performance-dashboard,sitespeed",4132
0,https://github.com/xianyi/OpenBLAS.git,OpenBLAS is an optimized BLAS library based on GotoBLAS2 1.13 BSD version. ,,3905
0,https://github.com/sahat/megaboilerplate.git,"Handcrafted starter projects, optimized for simplicity and ease of use.",,3830
0,https://github.com/nolanlawson/optimize-js.git,Optimize a JS file for faster parsing (UNMAINTAINED),,3759
0,https://github.com/jakubpawlowicz/clean-css.git,Fast and efficient CSS optimizer for node.js and the Web,"css,minification,optimization,css-optimizations,css-optimizer,clean-css",3743
0,https://github.com/cloud-custodian/cloud-custodian.git,"Rules engine for cloud security, cost optimization, and governance, DSL in yaml for policies to query, filter, and take actions on resources","aws,compliance,cloud,rules-engine,cloud-computing,management,serverless,lambda,gcp,azure",3583
