,Url,Description,Topics,Stars
0,https://github.com/jamiebuilds/react-loadable.git,:hourglass_flowing_sand: A higher order component for loading components with promises.,"react,loading,async,imports,webpack,babel-plugin,server-side-rendering,ssr,code-splitting",15967
0,https://github.com/acdlite/recompose.git,A React utility belt for function components and higher-order components.,,14730
0,https://github.com/buger/goreplay.git,"GoReplay is an open-source tool for capturing and replaying live HTTP traffic into a test environment in order to continuously test your system with real data. It can be used to increase confidence in code deployments, configuration changes and infrastructure changes.","go,testing,testing-tools,devops,qa",14161
0,https://github.com/redux-form/redux-form.git,A Higher Order Component using react-redux to keep form state in a Redux store,"redux,redux-form,react,form,forms,form-validation,validation",12546
0,https://github.com/nim-lang/Nim.git,"Nim is a statically typed compiled systems programming language. It combines successful concepts from mature languages like Python, Ada and Modula. Its design focuses on efficiency, expressiveness, and elegance (in that order of priority).","language,compiler,metaprogramming,macros,efficient,procedural,nim,hacktoberfest",11261
0,https://github.com/AliaksandrSiarohin/first-order-model.git,This repository contains the source code for the paper First Order Motion Model for Image Animation ,"deep-learning,image-animation,generative-model,motion-retargeting",11118
0,https://github.com/clauderic/react-sortable-hoc.git,"A set of higher-order components to turn any list into an animated, accessible and touch-friendly sortable list✌️","react,sortable,drag-and-drop,sorting,javascript,front-end,dragging,grid,higher-order-component",9325
0,https://github.com/material-shell/material-shell.git,"{""A modern desktop interface for Linux. Improve your user experience and get rid of the anarchy of traditional desktop workflows. Designed to simplify navigation and reduce the need to manipulate windows in order to improve productivity. It's meant to be 100% predictable and bring the benefits of tools coveted by professionals to everyone.""}","material,material-design,gnome,gnome-shell,gnome-shell-extension,tiling-window-manager,materialshell,material-shell,linux,hacktoberfest",5735
0,https://github.com/baoyachi/StepView.git,Step by step，just use HorizontalStepView，VerticalStepView. step indicator，flow indicator，timeline，order process，express status,,4037
0,https://github.com/typhoeus/typhoeus.git, Typhoeus wraps libcurl in order to make fast and reliable requests.,,3828
0,https://github.com/vipulasri/Timeline-View.git,"Android Timeline View is used to display views like Tracking of shipment/order, steppers etc. ","android,timeline,ui,recyclerview,timelineview,android-timeline",3443
0,https://github.com/PaddlePaddle/PaddleGAN.git,"PaddlePaddle GAN library, including lots of interesting applications like First-Order motion transfer,  wav2lip, picture repair, image editing, photo2cartoon, image style transfer, and so on.","gan,cyclegan,pix2pix,super-resolution,image-generation,image-editing,motion-transfer,photo2cartoon,first-order-model,psgan,resolution,wav2lip",3207
0,https://github.com/first20hours/google-10000-english.git,"{""This repo contains a list of the 10,000 most common English words in order of frequency, as determined by n-gram frequency analysis of the Google's Trillion Word Corpus.""}",,2892
0,https://github.com/anandpawara/Real_Time_Image_Animation.git,The Project is real time application in opencv using first order model,,2764
0,https://github.com/AonCyberLabs/Windows-Exploit-Suggester.git,This tool compares a targets patch levels against the Microsoft vulnerability database in order to detect potential missing patches on the target. It also notifies the user if there are public exploits and Metasploit modules available for the missing bulletins.,,2724
0,https://github.com/KunMinX/Linkage-RecyclerView.git,"{""即使不用饿了么订餐，也请务必收藏好该库！🔥  一行代码即可接入，二级联动订餐列表 - Even if you don't order food by PrubHub, be sure to collect this library, please! 🔥 This secondary linkage list widget can be accessed by only one line of code. Supporting by RecyclerView & AndroidX.""}","linkage,eleme,recyclerview,androidx,mvp,mvp-architecture,mvp-android,meituan,android-library",2708
0,https://github.com/omnidan/redux-undo.git,:recycle: higher order reducer to add undo/redo functionality to redux state containers,"redux,redux-state,redux-undo,undo,redo,history,react",2655
0,https://github.com/thlorenz/proxyquire.git,🔮 Proxies nodejs require in order to allow overriding dependencies during testing.,,2612
0,https://github.com/kubevirt/kubevirt.git,Kubernetes Virtualization API and runtime in order to define and manage virtual machines.,"kubernetes,libvirt,virtualization,vms",2524
0,https://github.com/django-mptt/django-mptt.git,Utilities for implementing a modified pre-order traversal tree in django.,,2503
0,https://github.com/prescottprue/react-redux-firebase.git,Redux bindings for Firebase. Includes React Hooks and Higher Order Components.,"redux,firebase,react,redux-observable,redux-thunk,react-bindings,redux-firebase,redux-bindings",2454
0,https://github.com/AutoFixture/AutoFixture.git,"{""AutoFixture is an open source library for .NET designed to minimize the 'Arrange' phase of your unit tests in order to maximize maintainability. Its primary goal is to allow developers to focus on what is being tested rather than how to setup the test scenario, by making it easier to create object graphs containing test data.""}",,2281
0,https://github.com/getify/LABjs.git,Loading And Blocking JavaScript: On-demand parallel loader for JavaScript with execution order dependencies,"script-loader,performance",2263
0,https://github.com/mjrussell/redux-auth-wrapper.git,A React Higher Order Component (HOC) for handling Authentication and Authorization with Routing and Redux,"react,redux,react-router,hoc,authentication",2167
0,https://github.com/tastyigniter/TastyIgniter.git,":fire: Powerful, yet easy to use, open source restaurant online ordering, table reservation and restaurant management system","tastyigniter,php,restaurant-management,food-ordering,restaurant-menu,ordering-system,reservation-system,laravel,multiplelocations,multiple-restaurant,onlineorderingapp,table-booking,food-ordering-system",1937
0,https://github.com/chanind/hanzi-writer.git,Chinese character stroke order animations and practice quizzes,,1815
0,https://github.com/deepsweet/hocs.git,:bento: Higher-Order Components for React,"react,higher-order-component,hoc,recompose,react-native",1788
0,https://github.com/KasperskyLab/TinyCheck.git,"TinyCheck allows you to easily capture network communications from a smartphone or any device which can be associated to a Wi-Fi access point in order to quickly analyze them. This can be used to check if any suspect or malicious communication is outgoing from a smartphone, by using heuristics or specific Indicators of Compromise (IoCs). In order to make it working, you need a computer with a Debian-like operating system and two Wi-Fi interfaces. The best choice is to use a Raspberry Pi (2+) a Wi-Fi dongle and a small touch screen. This tiny configuration (for less than $50) allows you to tap any Wi-Fi device, anywhere.",,1786
0,https://github.com/react-component/form.git,React High Order Form Component(web & react-native),,1692
0,https://github.com/Clean-Swift/CleanStore.git,"{""A sample iOS app built using the Clean Swift architecture. Clean Swift is Uncle Bob's Clean Architecture applied to iOS and Mac projects. CleanStore demonstrates Clean Swift by implementing the create order use case described by in Uncle Bob's talks.""}",,1540
0,https://github.com/java-json-tools/json-schema-validator.git,"A JSON Schema validation implementation in pure Java, which aims for correctness and performance, in that order",,1395
0,https://github.com/joedicastro/vps-comparison.git,A comparison between some VPS providers. It uses Ansible to perform a series of automated benchmark tests over the VPS servers that you specify. It allows the reproducibility of those tests by anyone that wanted to compare these results to their own. All the tests results are available in order to provide independence and transparency.,"vps,ansible,comparison,python,hosting,reproducibility,transparency,independence,cloud",1361
0,https://github.com/dunnousername/yanderifier.git,"First-Order-Wrapper (formerly known as Yanderify) is a front-end tool for first-order-motion. It aims to make using first-order-motion face animation accessible to everyone, for education and entertainment.",,1358
0,https://github.com/microsoft/EconML.git,"ALICE (Automated Learning and Intelligence for Causation and Economics) is a Microsoft Research project aimed at applying Artificial Intelligence concepts to economic decision making. One of its  goals is to build a toolkit that combines state-of-the-art machine learning techniques with econometrics in order to bring automation to complex causal inference problems. To date, the ALICE Python SDK (econml) implements orthogonal machine learning algorithms such as the double machine learning work of Chernozhukov et al. This toolkit is designed to measure the causal effect of some treatment variable(s) t on an outcome variable y, controlling for a set of features x.","machine-learning,economics,causal-inference,causality,econometrics,treatment-effects",1351
0,https://github.com/theseus-os/Theseus.git,"Theseus is a modern OS written from scratch in Rust that explores 𝐢𝐧𝐭𝐫𝐚𝐥𝐢𝐧𝐠𝐮𝐚𝐥 𝐝𝐞𝐬𝐢𝐠𝐧, novel OS structure, and state management. It strives to close the semantic gap between compiler and hardware in order to maximally leverage the power of language safety, and thus shift OS responsibilities (resource management) into the compiler.","operating-system,rust,kernel,research,theseus",1350
0,https://github.com/facebookresearch/higher.git,higher is a pytorch library allowing users to obtain higher order gradients over losses spanning training loops rather than individual training steps.,,1132
