,Url,Description,Topics,Stars
0,https://github.com/danielmiessler/SecLists.git,"{""SecLists is the security tester's companion. It's a collection of multiple types of lists used during security assessments, collected in one place. List types include usernames, passwords, URLs, sensitive data patterns, fuzzing payloads, web shells, and many more.""}",,31545
0,https://github.com/beurtschipper/Depix.git,Recovers passwords from pixelized screenshots,,18509
0,https://github.com/dropbox/zxcvbn.git,Low-Budget Password Strength Estimation,,12041
0,https://github.com/keepassxreboot/keepassxc.git,KeePassXC is a cross-platform community-driven port of the Windows application “Keepass Password Safe”.,"keepassxc,keepass,password-manager,linux,osx,windows,cross-platform,yubikey",10291
0,https://github.com/keeweb/keeweb.git,Free cross-platform password manager compatible with KeePass,"keeweb,keepass,security,password-manager,password,electron,javascript",10045
0,https://github.com/hashcat/hashcat.git,"{""World's fastest and most advanced password recovery utility""}","hashcat,password,cracking,gpgpu,opencl,c,hashes,cuda",9861
0,https://github.com/berzerk0/Probable-Wordlists.git,"{""Version 2 is live! Wordlists sorted by probability originally created for password generation and testing - make sure your passwords aren't popular!""}","wordlist,password,password-strength,password-safety,dictionary-attack,dictionary",6991
0,https://github.com/samyk/poisontap.git,"Exploits locked/password protected computers over USB, drops persistent WebSocket-based backdoor, exposes internal router, and siphons cookies using Raspberry Pi Zero & Node.js.",,5553
0,https://github.com/openwall/john.git,"John the Ripper jumbo - advanced offline password cracker, which supports hundreds of hash and cipher types, and runs on many operating systems, CPUs, GPUs, and even some FPGAs","john,c,ripper,password,jtr,opencl,gpgpu,assembler,cracker,crypt,hash,simd,openmp,gpu,fpga,mpi",4925
0,https://github.com/lesspass/lesspass.git,:key: stateless open source password manager,"lesspass,password-manager,password,passwords,privacy,anonymous,self-hosted",4663
0,https://github.com/keepassx/keepassx.git,KeePassX is a cross platform port of the windows application “Keepass Password Safe”.,,4381
0,https://github.com/gopasspw/gopass.git,The slightly more awesome standard unix password manager for teams,"go,password-manager,git,gpg",3981
0,https://github.com/rauchg/wifi-password.git,"{""Get the password of the wifi you're on (bash)""}",,3549
0,https://github.com/P-H-C/phc-winner-argon2.git,"The password hash Argon2, winner of PHC ",,3536
0,https://github.com/buttercup/buttercup-desktop.git,:key: Cross-Platform Passwords & Secrets Vault,"password-manager,password-vault,encryption,electron,security,buttercup,login",3522
0,https://github.com/bnoguchi/everyauth.git,"node.js auth package (password, facebook, & more) for Connect and Express apps",,3494
0,https://github.com/thoughtbot/clearance.git,Rails authentication with email & password.,"clearance,ruby,thoughtbot,rails,rails-authentication,rubygem",3403
0,https://github.com/apple/password-manager-resources.git,A place for creators and users of password managers to collaborate on resources to make password management better.,,3183
0,https://github.com/moonD4rk/HackBrowserData.git,Decrypt passwords/cookies/history/bookmarks from the browser. 一款可全平台运行的浏览器数据导出解密工具。,"chrome,macos,windows,pentest-tool,hacking,edge,firefox,golang,browser,browser-extension",3103
0,https://github.com/huntergregal/mimipenguin.git,A tool to dump the login password from the current linux user,"post-exploitation,password-extraction",2989
