,Url,Description,Topics,Stars
0,https://github.com/vuestorefront/vue-storefront.git,"The open-source frontend for any eCommerce. Built with a PWA and headless approach, using a modern JS stack. We have custom integrations with Magento, commercetools, Shopware and Shopify and total coverage is just a matter of time. The API approach also allows you to merge VSF with any third-party tool like CMS, payment gateways or analytics. Newest updates: https://blog.vuestorefront.io. Always Open Source, MIT license.","vue-storefront,pwa,headless,vue,ecommerce,magento,storefront,mobile,e-commerce,nuxt,magento2,shopware,shopify,commercetools,vue3,open-source,typescript,hacktoberfest,headless-commerce,ecommerce-platform",8480
1,https://github.com/woocommerce/woocommerce.git,An open source eCommerce plugin for WordPress.,"woocommerce,wordpress,php,automattic,ecommerce,ecommerce-platform,hacktoberfest",6990
2,https://github.com/Sylius/Sylius.git,Open Source eCommerce Platform on Symfony,"sylius,php,symfony,ecommerce,ecommerce-platform,shop,shopping-cart,framework,symfony-bundle,hacktoberfest",6334
3,https://github.com/nopSolutions/nopCommerce.git,The most popular open-source eCommerce shopping cart solution based on ASP.NET Core,"ecommerce,shopping-cart,nopcommerce,asp-net,asp-net-core,aspnetcore,shop,dotnet,dotnet-core,entity-framework,sql,linq2db,fluentmigrator,sqlserver,mysql",6145
4,https://github.com/fecshop/yii2_fecshop.git,"yii2 ( PHP ) fecmall（fecshop） core code used for ecommerce shop 多语言多货币多入口的开源电商 B2C 商城，支持移动端vue, app, html5，微信小程序微店，微信小程序商城等","yii2-fecshop,yii2,fecshop,shop,cart,yii,ecommerce,shopping,vue,html5,php,b2c,fecmall",4698
5,https://github.com/aimeos/aimeos-laravel.git,"Laravel ecommerce package for professional, ultra fast online shops, complex B2B applications and #gigacommerce","aimeos,laravel,ecommerce,e-commerce,shop,b2b,marketplace,php,json-api,laravel-package,laravel-ecommerce,laravel-application,shop-application,ecommerce-framework,vuejs,ecommerce-platform,opensource,multivendor-ecommerce,multi-tenant",4468
6,https://github.com/solidusio/solidus.git,"🛒Solidus, Rails eCommerce System","solidus,ruby,rails,storefront,ecommerce,ecommerce-platform,ecommerce-framework,hacktoberfest",3683
7,https://github.com/bagisto/bagisto.git,A Free and Opensource Laravel eCommerce framework built for all to build and scale your business.,"ecommerce-framework,laravel,vue,php,warehouse-management,ecommerce,ecommerce-platform,laravel-application,laravel-ecommerce,laravel-package,opensource,multivendor-ecommerce,multi-tenant,multi-tenancy-plugin,opensource-ecommerce-framework,hacktoberfest2020,hacktoberfest",3567
8,https://github.com/simplcommerce/SimplCommerce.git,"A simple, cross platform, modularized ecommerce system built on .NET Core","dotnetcore,modular,ecommerce,aspnetcore,csharp,angularjs,entity-framework-core,shopping-cart,cross-platform,netcore,asp-net-core,net-core,dotnet-core",3251
9,https://github.com/smartstore/SmartStoreNET.git,Open Source ASP.NET MVC Enterprise eCommerce Shopping Cart Solution,"smartstore,c-sharp,shop,ecommerce,cart,aspnet,aspnet-mvc-5,e-commerce,cms,pagebuilder,mvc,basket,lucene,esd,sass,bootstrap-4,liquid,ef6,autofac,azure",2195
10,https://github.com/pimcore/pimcore.git,"Open Source Digital Experience Platform (DXP, MDM/PIM, CDP, DAM, CMS/UX & eCommerce","pimcore,cms,pim,shop,ecommerce,ecommerce-platform,master-data-management,dam,wcms,digital-platform,experience-manager,data-management,product-management,product-information-management,cms-framework,mdm,online-shop,online-store,cdp,customer-data-platform",2101
11,https://github.com/vendure-ecommerce/vendure.git,A headless GraphQL ecommerce framework for the modern web,"ecommerce,headless,api,graphql,nodejs,framework,typescript",2071
12,https://github.com/cezerin/cezerin.git,Cezerin is React and Node.js based eCommerce platform.,"nodejs,react,javascript,redux,mongodb,shopping-cart,ecommerce,cms,pwa,spa",1963
13,https://github.com/jeffersonRibeiro/react-shopping-cart.git,🛍️ Simple ecommerce cart application built with React Redux,"react,redux,sass,ecommerce,firebase,ecommerce-cart-application,e2e-tests,integration-tests,unit-testing,react-shopping-cart,shopping-cart",1690
14,https://github.com/grandnode/grandnode.git,Free and Open Source Ecommerce Shopping Cart solution based on ASP.NET CORE and MongoDB,"mongodb,ecommerce,shopping-cart,nosql,asp-net,open-source,core,dotnet-core,dotnetcore,ecommerce-platform,shop,storefront,commerce,cart,marketplace,csharp,docker",1675
15,https://github.com/vuestorefront/storefront-ui.git,"Customization-first, performance-oriented and elegant UI framework for eCommerce (and not only) based on Vue.js and Google Retail UX Playbook. Made with 💚 by Vue Storefront team and contributors.","vue,ecommerce,ui-kit,ui,pwa,vuejs,vuejs2,ui-components,vue-components,javascript,storefront,storefront-theme,hackoctoberfest,hacktoberfest",1636
16,https://github.com/BroadleafCommerce/BroadleafCommerce.git,Broadleaf Commerce - Enterprise eCommerce framework based on Spring,,1468
17,https://github.com/jamstack-cms/jamstack-ecommerce.git,A starter project for building performant ECommerce applications with Next.js and React,"gatsby,ecommerce,javascript,react,static-site-generator,serverless,next,nextjs",1430
18,https://github.com/shopware/platform.git,Shopware 6 is an open source eCommerce platform realised by the ideas and the spirit of its community.,"shopware,php,ecommerce,javascript,vuejs,bootstrap4,symfony,twig,shopware6,hacktoberfest",1337
19,https://github.com/drhenner/ror_ecommerce.git,"Ruby on Rails Ecommerce platform, perfect for your small business solution.",,1201
