,Related APIs,Category,Submitted,Meta_Url,Source Code,Description,Repository,Languages
0,Adobe PDF Embed,"PDF, Documents",04.19.2021,https://www.programmableweb.com/sdk/adobe-pdf-embed-javascript-sdk,," The PDF Embed Javascript SDK lets developers have more control over how PDFs are rendered in a browser. It supports multiple different ways to view PDFs and APIs into the PDF itself for searching, annotation, and more.",,JavaScript
1,WaifuAI,"Chat, Artificial Intelligence, Avatars, Bots",03.30.2021,https://www.programmableweb.com/sdk/waifuai-chatbot-nodejs-sdk,, Waifus are anime-themed personal assistants. The WaifuAI Node.js SDK enables developers to add a Waifu Chatbot to their applications. The service produces English language responses.,,Node.js
2,SecuGen Web,Biometrics,03.24.2021,https://www.programmableweb.com/sdk/secugen-web-javascript-sdk,," The service offers easy to integrate fingerprint capture, enrollment and matching functions for web applications with JavaScript support. It uses JSON objects and no browser plug-ins are needed. Several SecuGen Fingerprint Readers are supported and drivers do need to be installed for the fingerprint readers.",,JavaScript
3,Neuro AI,Machine Learning,03.04.2021,https://www.programmableweb.com/sdk/neuro-ai-sdk,," Neuro AI provides infrastructure for machine learning models so developers don't need to deal with servers. Use this Python library to compile, predict and train machine learning models in cloud hardware. Data can be uploaded and models exported to the original format it was in. Global models will be exported as pytorch models.",,Python
4,CurrencyAPI,"Currency, Accounts, Data, Financial, Invoicing, Monetization",02.15.2021,https://www.programmableweb.com/sdk/currencyapi-nodejs-sdk,," NodeJs wrapper for CurrencyApi.net endpoints.
Prerequisites - Minimum NodeJs v8 (npm v5 and above) - Free or Paid account with CurrencyApi.net",https://github.com/houseofapis/currencyapi-node,Node.js
5,CurrencyAPI,"Currency, Accounts, Financial, Invoicing, Monetization",02.15.2021,https://www.programmableweb.com/sdk/currencyapi-php-sdk,," PHP wrapper for CurrencyApi.net endpoints.
Prerequisites
- Minimum PHP 7.1+ (tested and working on PHP 7.4)
- Free or Paid account with CurrencyApi.net
Composer or clone the repo
Test Coverage - 100% coverage",https://github.com/houseofapis/currencyapi-php,PHP
6,mypromo,"Printing, Customization, eCommerce, Products",02.14.2021,https://www.programmableweb.com/sdk/mypromo-php-sdk,, mypromo PHP SDK simplifies the use of API for printing customized merchandise.,https://github.com/MyPromoConnect/connect-sdk,PHP
7,Shotstack,"Video, Audio, Images, Media",02.12.2021,https://www.programmableweb.com/sdk/shotstack-ruby-sdk,, This is the Ruby SDK for interacting with the Shotstack video editing API. It is available as a Ruby Gem.,https://github.com/shotstack/shotstack-sdk-ruby,Ruby
8,Shotstack,"Video, Audio, Images, Media",02.06.2021,https://www.programmableweb.com/sdk/shotstack-php-sdk,, This is the PHP SDK for interacting with the Shotstack video editing API. It is available as a Composer package.,https://github.com/shotstack/shotstack-sdk-php,PHP
9,Shotstack,"Video, Audio, Images, Media",02.06.2021,https://www.programmableweb.com/sdk/shotstack-nodejs-sdk,, This is the Node.JS SDK for interacting with the Shotstack video editing API. It is available as an NPM package.,https://github.com/shotstack/shotstack-sdk-node,Node.js
