,Description,Category,Meta_Url,Source Code,Repository,Languages
0," CronJ is a leading React JS Development Company based in the USA, Bangalore, India, New York, UK developing and offering the best platform for ReactJS development services. We have a professional and committed ReactJS and software development team that can build and meet your business needs.",Software-as-a-Service,https://www.programmableweb.com/sample-source-code/cronj-it-technologies,https://www.cronj.com/reactjs-development-company.html,,Java
1, This is the sample source code to integrate Vehicle Info API to any PHP application using CURL.,Auto,https://www.programmableweb.com/sample-source-code/apiclubin-vehicle-info-india-php-sample-code,https://apiclub.in/docs/#vehicle-info,https://apiclub.in/docs/#vehicle-info,"cURL, PHP"
2, PHP sample code for creating Nmap scan with nmap API.,"Security, Tools",https://www.programmableweb.com/sample-source-code/nmap-create-scan-php-sample-code,https://api.nmap.online/#tag/Scan/paths/~1v01~1start_scan/post,,PHP
3," Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl, Ruby etc.). You can access the sample source code for all of them by visiting the GitHub Repo of your required SDK. Along with the source code samples the demo data is also provided to make it easier for you to play around with our SDKs.","Recognition, OCR, Scanning",https://www.programmableweb.com/sample-source-code/asposeomr-cloud-nodejs-examples-source-code,https://github.com/aspose-omr-cloud/,,Node.js
4," Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl, Ruby etc.). You can access the sample source code for all of them by visiting the GitHub Repo of your required SDK. Along with the source code samples the demo data is also provided to make it easier for you to play around with our SDKs.","Recognition, OCR, Scanning",https://www.programmableweb.com/sample-source-code/asposeomr-cloud-ruby-examples-source-code,https://github.com/aspose-omr-cloud/,,
5," Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl, Ruby etc.). You can access the sample source code for all of them by visiting the GitHub Repo of your required SDK. Along with the source code samples the demo data is also provided to make it easier for you to play around with our SDKs.","Recognition, OCR, Scanning",https://www.programmableweb.com/sample-source-code/asposeomr-cloud-python-examples-source-code,https://github.com/aspose-omr-cloud/,,Python
6," Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl, Ruby etc.). You can access the sample source code for all of them by visiting the GitHub Repo of your required SDK. Along with the source code samples the demo data is also provided to make it easier for you to play around with our SDKs.","Recognition, OCR, Scanning",https://www.programmableweb.com/sample-source-code/asposeomr-cloud-php-examples-source-code,https://github.com/aspose-omr-cloud/,,PHP
7," Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl, Ruby etc.). You can access the sample source code for all of them by visiting the GitHub Repo of your required SDK. Along with the source code samples the demo data is also provided to make it easier for you to play around with our SDKs.","Recognition, OCR, Scanning",https://www.programmableweb.com/sample-source-code/asposeomr-cloud-perl-examples-source-code,https://github.com/aspose-omr-cloud/,,PERL
8," Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl, Ruby etc.). You can access the sample source code for all of them by visiting the GitHub Repo of your required SDK. Along with the source code samples the demo data is also provided to make it easier for you to play around with our SDKs.","Recognition, OCR, Scanning",https://www.programmableweb.com/sample-source-code/asposeomr-cloud-java-examples-source-code,https://github.com/aspose-omr-cloud/,,Java
9," Aspose.OMR Cloud REST API offers SDKs for various popular languages (e.g. .NET, Java, Python, Perl, Ruby etc.). You can access the sample source code for all of them by visiting the GitHub Repo of your required SDK. Along with the source code samples the demo data is also provided to make it easier for you to play around with our SDKs.","Recognition, OCR, Scanning",https://www.programmableweb.com/sample-source-code/asposeomr-cloud-net-examples-source-code,https://github.com/aspose-omr-cloud/,https://github.com/aspose-omr-cloud/,.Net
10, This is our quickstart application to help you understand how Zabo can integrate into your application.,Cryptocurrency,https://www.programmableweb.com/sample-source-code/zabo-nodejs-quickstart-app,https://github.com/zabo-api/zabo-nodejs-quickstart-app,https://github.com/zabo-api/zabo-nodejs-quickstart-app,JavaScript
11," This Treasure Box gives you access to the most comprehensive, global suite of consumer insights in the market, harnessing data about real people across the most sources of data to power audience targeting and people-based marketing.","Customer Relationship Management, Marketing",https://www.programmableweb.com/sample-source-code/acxiom-data-services-integration-treasure-data,https://github.com/Acxiom/integrations-treasure-data,https://github.com/Acxiom/integrations-treasure-data,Python
