,Description,Category,Meta_Url,Source Code,Repository,Languages
0, The Tripian Java Sample Code demonstrates how developers can access the API with an API Key and GET verbs. Developers can make calls that will display JSON formats in return to implement travel solutions.,"Travel, Canadian",https://www.programmableweb.com/sample-source-code/tripian-java-sample-code,https://www.tripian.com/apidocs/?java#authentication,,Java
1," The Tripian Python Sample Code demonstrates how to access the API by importing requests, using an API Key, and making calls that will display JSON formats in return.","Travel, Canadian",https://www.programmableweb.com/sample-source-code/tripian-python-sample-code,https://www.tripian.com/apidocs/?python#authentication,,Python
2," The Tripian Ruby Sample Code demonstrates how developers can access the API with a Key, make calls, and receive JSON formats in return. Tripian provides travel solutions such as city list, places of interest, trip planner, and quick recommendations.","Travel, Canadian",https://www.programmableweb.com/sample-source-code/tripian-ruby-sample-code,https://www.tripian.com/apidocs/?ruby#authentication,,Ruby
3, The Tripian Node.js Sample Code demonstrates how to access the API with an API Key and GET requests. Developers can make calls that will display JSON formats in return.,"Travel, Canadian",https://www.programmableweb.com/sample-source-code/tripian-nodejs-sample-code,https://www.tripian.com/apidocs/?javascript--nodejs#authentication,,Node.js
4, The Tripian JavaScript Sample Code demonstrates how to access the API with an API Key to implement travel solutions. Developers can make calls that will display JSON formats in return.,"Travel, Canadian",https://www.programmableweb.com/sample-source-code/tripian-javascript-sample-code,https://www.tripian.com/apidocs/?javascript#authentication,,JavaScript
5, The Tripian Curl Sample Code demonstrates how to access the API to implement travel features into applications. Developers can use an API Key to make calls that will display JSON formats in return. Tripian is based in Canada.,"Travel, Canadian",https://www.programmableweb.com/sample-source-code/tripian-curl-sample-code,https://www.tripian.com/apidocs/?shell#authentication,,cURL
6," The Flowplayer Java Sample Code demonstrates how to use the Flowplayer Android SDK in an Android project. Developers can refer to the demo app at the GitHub page: <a href=""https://github.com/flowplayer/flowplayer-android-sdk-demo"">Demo application using Flowplayer's native Android SDK.","Video, Streaming",https://www.programmableweb.com/sample-source-code/flowplayer-java-sample-code,https://flowplayer.com/developers/android-sdk/getting-started,,Java
7, The Confluent KAFKA Kotlin Sample Code demonstrates how to produce messages to and consume messages from a Kafka cluster using the Kotlin version of Java Producer and Consumer and the Kafka Streams API. A prerequisite includes Java 1.8 or higher to run the demo application.,Streaming,https://www.programmableweb.com/sample-source-code/confluent-kafka-kotlin-sample-code,https://github.com/confluentinc/examples/tree/5.4.0-post/clients/cloud/kotlin,,Kotlin
8," The Confluent KAFKA Scala Sample Code demonstrates how to produce messages to and consume messages from a Kafka cluster using the Scala Producer and Consumer and the Kafka Streams API. For more information, developers can see the <a href=""https://docs.confluent.io/current/api-javadoc.html?utm_source=github&amp;utm_medium=demo&amp;utm_campaign=ch.examples_type.community_content.clients-ccloud"">application development documentation.",Streaming,https://www.programmableweb.com/sample-source-code/confluent-kafka-scala-sample-code,https://github.com/confluentinc/examples/tree/5.4.0-post/clients/cloud/scala,,Scala
9, The Confluent KAFKA Groovy Sample Code demonstrates how to produce messages to and consume messages from a Kafka cluster using the Groovy version of Java Producer and Consumer and the Kafka Streams API.,Streaming,https://www.programmableweb.com/sample-source-code/confluent-kafka-groovy-sample-code,https://github.com/confluentinc/examples/tree/5.4.0-post/clients/cloud/groovy,,Groovy
10," The Confluent KAFKA .NET Sample Code demonstrates how to access the API to implement streaming features. Features include high performance, reliability, commercial support, and future proof.",Streaming,https://www.programmableweb.com/sample-source-code/confluent-kafka-net-sample-code,https://github.com/confluentinc/confluent-kafka-dotnet,,.Net
11," The Confluent KAFKA Java Sample Code provides a directory with examples to use Kafka. Developers can start Zookeeper and the Kafka server and for a simple consumer demo, developers can`run bin/java-simple-consumer-demo.sh`",Streaming,https://www.programmableweb.com/sample-source-code/confluent-kafka-java-sample-code,https://github.com/apache/kafka,,Java
12," The Flowplayer Cocoa Pods Sample Code demonstrates how developers can add a FlowplayerCore together with its dependencies in a Podfile including pod 'FlowplayerCore', '~&gt; 1.3.0', pod 'Rollbar', '~&gt; 1.8.1', and pod 'GoogleAds-IMA-iOS-SDK', '~&gt; 3.9'.","Video, Streaming",https://www.programmableweb.com/sample-source-code/flowplayer-cocoa-pods-sample-code,https://flowplayer.com/developers/ios-sdk/getting-started,,Objective-C
13, The Flowplayer iOS Sample Code demonstrates how to add an SDK to a project. Prerequisites include a minimum iOS version of devices running iOS version 10.0+ and the frameworks Rollbar and Google Interactive Media Ads (IMA).,"Video, Streaming",https://www.programmableweb.com/sample-source-code/flowplayer-ios-sample-code,https://flowplayer.com/developers/ios-sdk/getting-started,,Objective-C
14, The Flowplayer iOS SDK provides an introduction to the core features of the Flowplayer iOS SDK and lists all the requirements for adding the SDK in an iOS Project.,"Video, Streaming",https://www.programmableweb.com/sample-source-code/flowplayer-ios-sdk,https://flowplayer.com/developers/ios-sdk/getting-started,,Objective-C
15," The Flowplayer Android Sample Code demonstrates how to use the Flowplayer Android SDK that is written using Java 8 features. To make a project compatible with Java 8, developers need to configure the targetCompatibility in the app level build.gradle file.","Video, Streaming",https://www.programmableweb.com/sample-source-code/flowplayer-android-sample-code,https://flowplayer.com/developers/android-sdk/getting-started,,Java
