,Description,Published,Meta_Url
0,"Spring is a powerful open source, loosely coupled, light weight, java based application framework...",02.19.2021,https://www.programmableweb.com/framework/spring-framework
1,ComposerJS is a framework for building client and server RESTful application programming interfaces...,06.04.2020,https://www.programmableweb.com/framework/composerjs-framework
2,"The Hanami Ruby Framework is a minimal, extremely fast, and lightweight framework for...",03.05.2020,https://www.programmableweb.com/framework/hanami
3,The Laravel PHP Framework in version 7 has been released. New features include: 03.05.2020,,https://www.programmableweb.com/framework/laravel
4,Kivy Python enables cross-platform OpenGL ES 2 functionalities in multi touch applications. The...,01.23.2020,https://www.programmableweb.com/framework/kivy-python-framework
5,"The FastAPI Python Framework builds APIs. With the key features, developers could develop faster,...",05.10.2019,https://www.programmableweb.com/framework/fastapi-python-framework
6,"Jose Framework means Javascript Object Signing and Encryption. With the API, developers can...",05.02.2019,https://www.programmableweb.com/framework/jose-javascript-framework
7,"The Ravel Node.js Framework assists in application development. It provides architecture, API...",05.02.2019,https://www.programmableweb.com/framework/ravel-nodejs-framework
8,"AMP is a JavaScript web component framework to create user-first; websites, stories, ads and emails...",05.02.2019,https://www.programmableweb.com/framework/google-amp-javascript-framework
9,"The Planaria Framework allows you to build a server-less application, and run a specialized...",03.25.2019,https://www.programmableweb.com/framework/planaria-javascript-framework
10,The Yabeda Ruby Framework is a Ruby instrumentation framework that makes it easier for developers...,03.15.2019,https://www.programmableweb.com/framework/yabeda-ruby-framework
11,"Chancla.io - Hyper Agile API Development Platform With Chancla.io, software developers may rapidly...",02.07.2019,https://www.programmableweb.com/framework/chanclaio-java-framework
12,Hapi.js is a configuration-centric framework that allows developers to reuse application logic in a...,01.08.2019,https://www.programmableweb.com/framework/hapijs
13,The Astera Centerprise .NET Framework assists in data integration for business applications....,01.08.2019,https://www.programmableweb.com/framework/astera-centerprise-net-framework
14,Webix Jet is a micro framework for Webix UI-based single-page applications that work with big...,12.13.2018,https://www.programmableweb.com/framework/webix-jet
15,The dotConnect ADO.NET Data Providers Framework offers a data connectivity service designed to...,11.27.2018,https://www.programmableweb.com/framework/dotconnect-adonet-data-providers-framework
16,The ThinkGeo .NET Framework allows developers to build their own .NET mapping applications for...,10.17.2018,https://www.programmableweb.com/framework/thinkgeo-net-framework
17,"The Ghost Division OSINT Python Framework performs various techniques on Companies, People, Phone...",09.24.2018,https://www.programmableweb.com/framework/ghost-division-osint-python-framework
18,Facebook React 360 JavaScript Framework allows you to create interactive browser-based 360˚...,08.27.2018,https://www.programmableweb.com/framework/facebook-react-360-javascript-framework
19,The CFPB Capital CoffeeScript Framework provides a CoffeScript interface for the Consumer Financial...,08.27.2018,https://www.programmableweb.com/framework/cfpb-capital-coffeescript-framework
20,"The RadiJS JavaScript Framework is a high-speed, minimal application development interface. The...",08.27.2018,https://www.programmableweb.com/framework/radijs-javascript-framework
21,The LabStack Echo Go Framework provides a high-performance golang platform. The framework supports...,08.27.2018,https://www.programmableweb.com/framework/labstack-echo-go-framework
22,The Pure CSS Framework features a modular CSS minimal interface for web applications. Its modules...,08.27.2018,https://www.programmableweb.com/framework/pure-css-framework
23,The Apache Weex VueJS Framework is a platform for constructing cross-platform user interfaces for...,08.27.2018,https://www.programmableweb.com/framework/apache-weex-javascript-framework
24,The Ulkit JavaScript Framework provides lightweight and modular front-end interface for...,08.27.2018,https://www.programmableweb.com/framework/ulkit-javascript-framework
25,Magic Software's Magic xpa Web Application Framework allows you to easily create apps with...,08.27.2018,https://www.programmableweb.com/framework/magic-xpa-web-application-framework
26,"This chatbot creating framework provided by Amio reacts to Webhooks, and can be customized with NLP...",08.01.2018,https://www.programmableweb.com/framework/amioio-chatbot-builder-javascript-framework
27,"The Just-API Node.js Framework serves as an API tester. It supports REST, GraphQL, and HTTP-based...",08.01.2018,https://www.programmableweb.com/framework/just-api-nodejs-framework
28,The Jovo Node.js Framework assists in building cross-platform Voice Apps for Amazon Alexa and...,08.01.2018,https://www.programmableweb.com/framework/jovo-nodejs-framework
29,"NativeScript, by Progress Software, allows you to build cross-platform, native iOS and Android apps...",08.01.2018,https://www.programmableweb.com/framework/nativescript
30,"The SpriteJS Framework allows creating sprites for animation and video games. Tested on WebKit,...",08.01.2018,https://www.programmableweb.com/framework/spritejs-framework
31,"The ZURB Foundation JS Framework aims to design responsive websites, applications, and emails. It...",08.01.2018,https://www.programmableweb.com/framework/zurb-foundation-js-framework
32,"The Bootstrap JS Framework helps to build responsive mobile sites, thinking in scalable CSS format...",08.01.2018,https://www.programmableweb.com/framework/bootstrap-js-framework
33,The Aegis Go Framework is a serverless Golang deploy tool and framework for AWS Lambda. See...,08.01.2018,https://www.programmableweb.com/framework/aegis-go-framework
34,Graphcool is an open-source backend development framework to develop and deploy production-ready...,08.01.2018,https://www.programmableweb.com/framework/graphcool
35,"The Baliba PHP Framework uses arrays, aiming to simplify API documentation writing. Instructions...",08.01.2018,https://www.programmableweb.com/framework/baliba-php-framework
36,The Orienteer Java Framework is an open source business application platform with flexible and...,08.01.2018,https://www.programmableweb.com/framework/orienteer-java-framework
37,"The Fanout.io Python Framework is a hybrid reverse proxy and message broker, pushing data to...",08.01.2018,https://www.programmableweb.com/framework/fanoutio-python-framework
38,The gSOAP C++ Framework is a toolkit of portable C and C++ software to develop XML Web services...,08.01.2018,https://www.programmableweb.com/framework/gsoap-c-framework
39,iOS Framework and Android Library to send logs to the Bugfender cloud storage with a single API...,06.08.2018,https://www.programmableweb.com/framework/bugfender-android-framework
40,The Jersey Framework aims to simplify RESTful services and client developments. With Jersey...,05.07.2018,https://www.programmableweb.com/framework/jersey-java-framework
41,The WavesDevKit JavaScript Framework supports interaction with the Waves Platform. Use the...,05.07.2018,https://www.programmableweb.com/framework/wavesdevkit-javascript-framework
42,The ASP.Net Boilerplate Framework assists to develop web application targeting localization...,05.07.2018,https://www.programmableweb.com/framework/aspnet-boilerplate-framework
43,"The i18next Framework written in JavaScript provides internationalization, localization, and...",05.07.2018,https://www.programmableweb.com/framework/i18next-javascript
44,A-Frame Virtual Reality JavaScript Framework allows you to build virtual reality (VR) experiences....,05.07.2018,https://www.programmableweb.com/framework/frame-javascript-virtual-reality-framework
45,"The Sibers PHP Framework helps to create API projects, allowing developers to design data models,...",05.07.2018,https://www.programmableweb.com/framework/sibers-php-framework
46,The Uber LumaGL JavaScript Framework is a browser-based data visualization solution. Its lumaGL-...,05.07.2018,https://www.programmableweb.com/framework/uber-lumagl-javascript-framework
47,The MUI Material Design CSS Framework is a lightweight builder platform that prescribes to Google’s...,05.07.2018,https://www.programmableweb.com/framework/mui-material-design-css-framework
48,The Grd Flexbox CSS Framework by Shogo Sensui allows you to create CSS applications using Flexbox.,05.07.2018,https://www.programmableweb.com/framework/grd-flexbox-css-framework-shogo-sensui
49,The lightweight Mobi Mobile CSS Framework provides a flexible platform for building web...,05.07.2018,https://www.programmableweb.com/framework/mobi-mobile-css-framework
0,The Milligram CSS Framework supports the development of design applications. Its design simplifies...,05.07.2018,https://www.programmableweb.com/framework/milligram-css-framework
1,The Spectre CSS Framework by Yan Zhu provides a simple platform for implementing CSS design...,05.07.2018,https://www.programmableweb.com/framework/spectre-css-framework-yan-zhu
2,The Strapi NodeJS Content Management Framework simplifies the development of powerful CMS APIs. The...,05.07.2018,https://www.programmableweb.com/framework/strapi-content-management-nodejs-framework
3,The Intercellular Cell JavaScript Framework is self-constructing web application. It is powered by...,05.07.2018,https://www.programmableweb.com/framework/intercellular-cell-javascript-framework
4,The Nozzle React-Static JavaScript Framework allows you to construct applications using the React...,05.07.2018,https://www.programmableweb.com/framework/nozzle-react-static-javascript-framework
5,"Use the Yoctol Bottender JavaScript Framework to develop cross-platform bots for Slack, Messenger,...",05.07.2018,https://www.programmableweb.com/framework/yoctol-bottender-javascript-framework
6,"The Recon-ng Python Framework provides independent modules, database interaction, built in...",05.01.2018,https://www.programmableweb.com/framework/recon-ng-python-framework
7,Socket.io is a NodeJS realtime framework server. Socket.IO is composed of two parts: a server that...,01.18.2018,https://www.programmableweb.com/framework/socket.io
8,The Sunrise Shop Framework Java Sample Code by Commercetools provides a live demo to demonstrate...,01.18.2018,https://www.programmableweb.com/framework/sunrise-shop-framework-java-sample-code-commercetools
9,The Betfair Cougar Java Framework by Betfair simplifies the development of network exposed service...,01.18.2018,https://www.programmableweb.com/framework/betfair-cougar-java-framework-betfair
10,The Squarespace CSS Dossier Framework by Squarespace is a template for grid-style blogs. The...,01.18.2018,https://www.programmableweb.com/framework/squarespace-css-dossier-framework-squarespace
11,Marley enables RESTful web services and applications. Marley consists of a simple Rack application...,01.18.2018,https://www.programmableweb.com/framework/herb-daily-marley-ruby-framework-herb-daily
12,The BloodMagic Objective-C Framework by Railsware provides a platform for creating custom property...,01.18.2018,https://www.programmableweb.com/framework/bloodmagic-objective-c-framework-railsware
13,The Javalin Java Framework serves the lightweight REST API. A getting started guide is available at...,01.18.2018,https://www.programmableweb.com/framework/javalin-java-framework
14,The Javalin Kotlin Framework serves the lightweight REST API. An example is available at https://...,01.18.2018,https://www.programmableweb.com/framework/javalin-kotlin-framework
15,Fastify is a fast and low overhead web framework for NodeJS. The Fastify NodeJS Framework provides...,01.18.2018,https://www.programmableweb.com/framework/fastify-nodejs-framework
16,The Zeit JavaScript NextJS Framework is designed for server-rendered React apps. Setup requires npm...,01.18.2018,https://www.programmableweb.com/framework/zeit-javascript-nextjs-framework
17,The Bulma CSS Framework by Jeremy Thomas is a CSS application development platform that is based on...,01.18.2018,https://www.programmableweb.com/framework/bulma-css-framework-jeremy-thomas
18,The Tailwind CSS Framework is a utility-first platform for rapid UI development.,01.18.2018,https://www.programmableweb.com/framework/tailwind-css-framework
19,The ZfrPusher PHP Zend Framework by Zfr is a module that is anchored on the ZfrPusher. The...,01.18.2018,https://www.programmableweb.com/framework/zfrpusher-zend-php-framework-zfr
20,Alexia enables the creation of Amazon Echo skills using NodeJS. This framework handles Amazon Echo...,01.18.2018,https://www.programmableweb.com/framework/accenture-alexia-nodejs-framework-accenture
21,"ReSTbasis is a REST web development framework based on W3C standards, and MVC architectural...",01.18.2018,https://www.programmableweb.com/framework/restbasis
