,Related APIs,Category,Published,Meta_Url,Languages,Related Frameworks,Architectural Style,Provider,Asset URL,Repository,Terms Of Service,Type,Docs Home,Request Formats,Response Formats
0,IG Trading API,"Financial, Accounts, Activity Streams, Analytics, Transactions",08.05.2015,https://www.programmableweb.com/library/ig-trading-python-library-femtotrader,Python,,,Independent Developer,https://github.com/femtotrader/ig-markets-stream-api-python-library,,,Library,,,
1,OneSignal,"Mobile, Notifications",08.05.2015,https://www.programmableweb.com/library/onesignal-php-library-tomas,PHP,,,Independent Developer,https://github.com/norkunas/onesignal-php-api,,,Library,,,
2,Linode,Hosting,08.05.2015,https://www.programmableweb.com/library/linode-php-library-artem-rodygin,PHP,,,Independent Developer,https://github.com/arodygin/linode-api-php,,,Library,,,
3,Buddycloud,"Social, England, German, Mapping",08.05.2015,https://www.programmableweb.com/library/buddycloud-javascript-library-buddycloud,JavaScript,,,Buddycloud,https://github.com/buddycloud/webclient,,,Library,,,
4,Buddycloud,"Social, England, German, Mapping",08.05.2015,https://www.programmableweb.com/library/buddycloud-node.js-library-buddycloud,Node.js,,,Buddycloud,https://github.com/buddycloud/buddycloud-http-api,,,Library,,,
5,Mailgun,Email,08.05.2015,https://www.programmableweb.com/library/mailgun-meteor-library-gfk-business-applications,JavaScript,,,GfK,https://github.com/gfk-ba/meteor-mailgun-api/,,,Library,,,
6,Crypto Capital,Cryptocurrency,08.05.2015,https://www.programmableweb.com/library/crypto-capital-node.js-library-crypto-capital,Node.js,,,Crypto Capital,https://github.com/cryptocap/cryptocapjs,,,Library,,,
7,TextMagic,"Messaging, Mobile, Telephony",08.05.2015,https://www.programmableweb.com/library/textmagic-codeigniter-library-bo-yi-wu,PHP,,,Independent Developer,https://github.com/appleboy/CodeIgniter-TextMagic-API,,,Library,,,
8,Slack Web,"Collaboration, File Sharing, Search, Social, Tools",08.05.2015,https://www.programmableweb.com/library/slack-laravel-library-vagner-luz-do-carmo,PHP,,,Independent Developer,https://github.com/vluzrmos/laravel-slack-api,,,Library,,,
9,Plex,"Media, File Sharing, Images, Library, Photos, Video",08.05.2015,https://www.programmableweb.com/library/plex-node.js-library-phillip-johnsen,Node.js,,,Independent Developer,https://github.com/phillipj/node-plex-api,,,Library,,,
10,YouTube,"Video, Media",08.05.2015,https://www.programmableweb.com/library/youtube-node.js-library-ionic%C4%83-biz%C4%83u,Node.js,,,Independent Developer,https://github.com/IonicaBizau/youtube-api,,,Library,,,
11,SendCloud,Shipping,08.05.2015,https://www.programmableweb.com/library/sendcloud-ruby-library-pero-ict-solutions,Ruby,,,Pero ICT Solutions,https://github.com/pero-ict-solutions/sendcloud,,,Library,,,
12,SendCloud,Shipping,08.05.2015,https://www.programmableweb.com/library/sendcloud-php-library-picqer,PHP,,,Independent Developer,https://github.com/picqer/sendcloud-php-client,,,Library,,,
13,SendCloud,Shipping,08.05.2015,https://www.programmableweb.com/library/sendcloud-php-library-sendcloud,PHP,,,SendCloud,https://github.com/SendCloud/SendCloud-API-PHP-Wrapper,,,Library,,,
14,TwitchTV,"Social, Games, Video",08.05.2015,https://www.programmableweb.com/library/twitchtv-java-library-mb3364,Java,,,Independent Developer,https://github.com/mb3364/Java-Twitch-Api-Wrapper,,,Library,,,
15,Guardian,"News Services, Media",08.05.2015,https://www.programmableweb.com/library/guardian-scala-library-guardian,Scala,,,Guardian,https://github.com/guardian/content-api-scala-client,,,Library,,,
