,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
0,"Mobile Commons provides many ways for citizens to contact their local representatives in the Senate and Congress, as well as the President of the United States.",Mobile,09.23.2009,https://www.programmableweb.com/mashup/mobile-commons,Twilio,"Mobile, Telephony, Government",http://www.mobilecommons.com/phone-call-demo/,,
1,Perform a traceroute from 3 stations in the WatchMouse monitoring network.,Mapping,09.23.2009,https://www.programmableweb.com/mashup/just-traceroute,"Google Maps, WatchMouse",Mapping,http://just-traceroute.com/,,
2,Search the Rhapsody archive by record label. Combines the Yahoo search engine API and the Rhapsody data and playback APIs. This is an alternative way to browse Rhapsody.com and discover new music.,Music,09.23.2009,https://www.programmableweb.com/mashup/rhapsody-record-label-search,"Rhapsody, Yahoo BOSS","Music, Search",http://rhapsody.richard-c.com,,
3,Utility to perform a ICMP Ping from 30+ location worldwide.,Monitoring,09.23.2009,https://www.programmableweb.com/mashup/just-ping,WatchMouse,"Monitoring, Networking",http://just-ping.com/,,
4,Down or Not checks a website from 3 locations in the WatchMouse network and decides if a site is indeed down or not.,Monitoring,09.23.2009,https://www.programmableweb.com/mashup/down-or-not,"Google Talk, Google App Engine, WatchMouse","Monitoring, Monitoring",http://www.downornot.com,,
5,"OggChat is a live chat solution for website support and sales that integrates with Google Talk and GMail. It incorporates features such as custom chat windows and skills based routing, but routes all chats directly to each operator's Google Talk acc",Telephony,09.22.2009,https://www.programmableweb.com/mashup/oggchat-live-customer-chat,"Google Talk, Google Contacts","Telephony, Chat, Customer Relationship Management",http://oggchat.com/,,
6,"Real-time geographic visualization for emerging Twitter trends. By analyzing over 5 million tweets per day to visualize trending topics on a global, regional and city level, it identifying news as it happens and tracking its impact around the world.",Blogging,09.22.2009,https://www.programmableweb.com/mashup/trendsmap-real-time-local-twitter-trends,"Twitter, What The Trend?","Blogging, Mapping, News Services",http://trendsmap.com/,,
7,"ChatStat is live chat software that companies use to connect directly with their customers and prospects. By embedding the Jigsaw API, ChatStat gives name, title, company, and contact details for site visitors at the beginning of every chat.",Sales,09.22.2009,https://www.programmableweb.com/mashup/chatstat-live-chat-sales-and-crm,Jigsaw,"Sales, Customer Relationship Management, Enterprise, Chat, Messaging",http://www.chatstat.com/,,
8,"VisiStat provides real-time web analytics. They use the Jigsaw API for LeadCaster, a suite of real-time tools that include the ability to identify companies that visit a website and get their business address, phone numbers, email addresses, etc.",Enterprise,09.22.2009,https://www.programmableweb.com/mashup/visistat-real-time-web-analytics,Jigsaw,"Enterprise, Analytics, Marketing, Sales, Customer Relationship Management, Analytics",http://visistat.com/,,
9,ffOldAvatars takes you back and shows previous profile pictures of your FriendFeed account.,Avatars,09.22.2009,https://www.programmableweb.com/mashup/ffoldavatars,FriendFeed,"Avatars, Profiles, Photos, Social",http://ffoldavatars.com/,,
10,Get an iCal feed of your watched eBay auctions for your favorite PIM application.,eCommerce,09.21.2009,https://www.programmableweb.com/mashup/auction-reminder,eBay,"eCommerce, Feeds, Calendars, Auctions",http://www.auction-reminder.com/index.html,,
11,"An iGoogle gadget that shows the most recent 100 trends, along with a short description of why they are currently trending.",Widgets,09.20.2009,https://www.programmableweb.com/mashup/twitter-trends-explained,"Google Gadgets, What The Trend?",Widgets,http://thomas-fletcher.com/trendgadget/,,
12,"Lets you see all the links from any Twitter timeline
(user + his/her friends).",Social,09.20.2009,https://www.programmableweb.com/mashup/twitter-links,Twitter,"Social, Blogging",http://linkstore.ru/tlink/,,
13,See the recipients of Stimulus Dollars in your state. Replace the 2 letter state code at the end of the URL with your state code.,Government,09.20.2009,https://www.programmableweb.com/mashup/usa-recovery-act-recipients-stimulus-dollars,Google Maps,"Government, Mapping, Economics",http://www.mibazaar.com/usarecovery.php?state=ny,,
14,"""What the author meant?"" - find song lyrics and interpretations, share your thoughts.",Music,09.19.2009,https://www.programmableweb.com/mashup/comprendo,"Last.fm, Lyricsfly","Music, Music, Lyrics",http://comprendo.info,,
15,Gastro is a Google Maps mashup of the NSW Food Authority's name-and-shame lists. It collates the Register of Offences and the Register of Penalty Notices and displays the location of offending restaurants on a map. Source code available.,Health,09.15.2009,https://www.programmableweb.com/mashup/gastro,Google Maps,"Health, Mapping, Food, Application Development",http://gotgastro.com/,,
