,Description,Category,Submitted,Meta_Url,Related APIs,Categories,URL,Company,App Type
0,Hangman game for Flickr tags. Guess all the letters of a tag and see 4 photos.,Photos,10.15.2006,https://www.programmableweb.com/mashup/flickr-tagman,Flickr,"Photos, Games",http://www.apogee-web-consulting.com/cgi-bin/tagman_flickr.pl,,
1,"Create time-based subtitles for any YouTube video, a la closed captioning. These captions become publicly accessible, and visitors to the site can browse the set of videos with captions. Think of it as a subtitle graffiti wall for YouTube.",Video,10.15.2006,https://www.programmableweb.com/mashup/reviewtube,YouTube,Video,http://joeberkovitz.com/reviewtube/,,
2,"Share MusicMobs or Last.fm playlists in Rhapsody. Uses XSPF, XML Shareable Playlists Format for playlist integration. This links to MusicMob blog post with examples.",Music,10.15.2006,https://www.programmableweb.com/mashup/shareable-music-playlists,"Last.fm, Rhapsody, MusicMobs",Music,http://musicmobs.wordpress.com/2006/08/24/playing-xspfs-in-rhapsody-rest-api/,,
3,"Maps US IT contract jobs matching keywords. Search companies, rate companies, view company ratings, save searches, save jobs, attach notes to saved jobs, and add private jobs.",Jobs,10.13.2006,https://www.programmableweb.com/mashup/map-my-jobs,Google Maps,"Jobs, Mapping, Search",http://www.mapmyjobs.com,,
4,"Like TinyUrl.com but for Google Maps, for example http//useamap.com/lotto . You select the tag name. One click to create a map. No login needed. Free. Just launched on 9th October.",Mapping,10.13.2006,https://www.programmableweb.com/mashup/useamap,Google Maps,"Mapping, Tools",http://useamap.com,,
5,"Great for runners, hikers, bicyclist and anyone else interested in how far they ran, walked, biked, or traveled. Map, save, find, and share your routes.",Mapping,10.13.2006,https://www.programmableweb.com/mashup/geodistance,Google Maps,"Mapping, Sports",http://www.geodistance.com,,
6,Map of the Top 10 paid women as reported by Fortune Magazine.,Financial,10.13.2006,https://www.programmableweb.com/mashup/top-10-paid-women,Google Maps,"Financial, Jobs, Mapping",http://www.mibazaar.com/top10paidwomen/,,
7,"Search for slang definitions on Urban Dictionary using your mobile phone. Use SMS, WAP and Email. You can also use IM clients like Yahoo, MSN and AOL.",Language,10.12.2006,https://www.programmableweb.com/mashup/mobile-search-urban-dictionary,"UrbanDictionary, 411Sync","Language, Dictionary, Search, Mobile, Messaging",http://www.411sync.com/cgi-bin/search_api?query=urbandict%20beast%20mode,,
8,"A mashup site where you can leave your digital footprints that are of emotional value to you. You can post photos and videos by form upload, email or MMS.",Mapping,10.12.2006,https://www.programmableweb.com/mashup/emotionalfootprints,Google Maps,"Mapping, Blogging, Photos",http://www.emotionalfootprints.com,,
9,"Genuinely useful mashup that can help you determine if you are paying too much in rent. Enter an address, apartment size, and rent. It maps nearby units and shows a meter of your price versus min, max and average.",Mapping,10.12.2006,https://www.programmableweb.com/mashup/rentometer,Google Maps,"Mapping, Real Estate",http://www.rentometer.com,,
