,Related APIs,Category,Submitted,Meta_Url,Description,Repository,Languages,Provider,Asset URL
0,Phunware REST API,"Engagement, Advertising, Monetization",11.26.2018,https://www.programmableweb.com/sdk/phunware-core-android-sdk," The Phunware Core Android SDK is an all-inclusive package which adds the core module to applications with classes including analytics and logger. Phunware is a mobile application development platform designed to support every stage of the application lifecycle by enhancing and monetizing an app, acquiring users, and promoting a brand.",,Java,Phunware,https://github.com/phunware/maas-core-android-sdk
1,Phunware REST API,"Engagement, Advertising, Monetization",11.26.2018,https://www.programmableweb.com/sdk/phunware-engagement-android-sdk," The Phunware Engagement Android SDK is a location based notification system used to build better relationships with customers. Phunware is a mobile application development platform designed to support every stage of the application lifecycle by enhancing and monetizing an app, acquiring users, and promoting a brand. This package requires Android 4.3 (API level 18) or newer.",,Java,Phunware,https://github.com/phunware/maas-engagement-android-sdk
2,Phunware REST API,"Engagement, Advertising, Monetization",11.26.2018,https://www.programmableweb.com/sdk/phunware-mapping-android-sdk," The Phunware Mapping Android SDK allows for easy integration with Phunware's indoor maps and location-based services. Phunware is a mobile application development platform designed to support every stage of the application lifecycle by enhancing and monetizing an app, acquiring users, and promoting a brand. This package requires Android 4.0.3 or newer.",,Java,Phunware,https://github.com/phunware/maas-mapping-android-sdk
3,Phunware REST API,"Engagement, Advertising, Monetization",11.26.2018,https://www.programmableweb.com/sdk/phunware-location-android-sdk," The Phunware Location Android SDK adds the location module to applications with indoor location and location manager class support. Phunware is a mobile application development platform designed to support every stage of the application lifecycle by enhancing and monetizing an app, acquiring users, and promoting a brand. This package requires Android 4.0.3 or newer.",,Java,Phunware,https://github.com/phunware/maas-location-android-sdk
4,Phunware REST API,"Engagement, Advertising, Monetization",11.26.2018,https://www.programmableweb.com/sdk/phunware-location-objective-c-sdk," The Phunware Location Objective-C SDK adds the location module to applications with indoor location and location manager class support. Phunware is a mobile application development platform designed to support every stage of the application lifecycle by enhancing and monetizing an app, acquiring users, and promoting a brand. iOS 10.0+ is required.",,Objective-C,Phunware,https://github.com/phunware/maas-location-ios-sdk
5,Phunware REST API,"Engagement, Advertising, Monetization",11.26.2018,https://www.programmableweb.com/sdk/phunware-core-objective-c-sdk," The Phunware Core Objective-C SDK adds the core module to applications in order to support analytics, logger, and more basic functionalities. Phunware is a mobile application development platform designed to support every stage of the application lifecycle by enhancing and monetizing an app, acquiring users, and promoting a brand. iOS 10.0+ is required.",,Objective-C,Phunware,https://github.com/phunware/maas-core-ios-sdk
6,Phunware REST API,"Engagement, Advertising, Monetization",11.26.2018,https://www.programmableweb.com/sdk/phunware-mapping-objective-c-sdk," The Phunware Mapping Objective-C SDK allows for easy integration with Phunware's indoor maps and location-based services. Phunware is a mobile application development platform designed to support every stage of the application lifecycle by enhancing and monetizing an app, acquiring users, and promoting a brand. iOS 10.0+ is required.",,Objective-C,Phunware,https://github.com/phunware/maas-mapping-ios-sdk
7,Phunware REST API,"Engagement, Advertising, Monetization",11.26.2018,https://www.programmableweb.com/sdk/phunware-engagement-objective-c-sdk," The Phunware Engagement Objective-C SDK is a location based notification system used to build better relationships with customers. Phunware is a mobile application development platform designed to support every stage of the application lifecycle by enhancing and monetizing an app, acquiring users, and promoting a brand. iOS 10.0+ is required.",,Objective-C,Phunware,https://github.com/phunware/maas-engagement-ios-sdk
8,Perfecto REST API,"Mobile, Internet of Things, Testing",11.26.2018,https://www.programmableweb.com/sdk/perfecto-ruby-sdk, The Perfecto Ruby SDK interacts with the API to access mobile test features. The SDK can be downloaded. The samples include Cucumber and test unit.,,Ruby,Perfecto,https://developers.perfectomobile.com/display/PD/Ruby
9,Perfecto REST API,"Mobile, Internet of Things, Testing",11.26.2018,https://www.programmableweb.com/sdk/perfecto-python-sdk," The Perfecto Python SDK provides DigitalZoom reporting authoring, test information, and obtaining the URL report. Unit test included in GitHub samples.",,Python,Perfecto,https://developers.perfectomobile.com/display/PD/Python
10,Perfecto REST API,"Mobile, Internet of Things, Testing",11.26.2018,https://www.programmableweb.com/sdk/perfecto-javascript-sdk," The Perfecto JavaScript SDK interacts with the API to access mobile testing reports, CI job information, and reporting authoring.",,JavaScript,Perfecto,https://developers.perfectomobile.com/display/PD/JavaScript
11,Perfecto REST API,"Mobile, Internet of Things, Testing",11.26.2018,https://www.programmableweb.com/sdk/perfecto-java-sdk," The Perfecto Java SDK provides DigitalZoom reporting authoring, reporting tags, CI job information, testing, and JavaDocs. GitHub samples available.",,Java,Perfecto,https://developers.perfectomobile.com/display/PD/Java
12,Perfecto REST API,"Mobile, Internet of Things, Testing",11.26.2018,https://www.programmableweb.com/sdk/perfecto-c-sdk, The Perfecto C# SDK interacts with the API to access mobile testing features. It can be downloaded from the SDK site.,,C#,Perfecto,https://developers.perfectomobile.com/pages/viewpage.action?pageId=12419423
13,Sentry REST API,"Monitoring, Analytics, Real Time, Reporting",11.26.2018,https://www.programmableweb.com/sdk/sentry-typescript-sdk," The Sentry Typescript SDK interacts with the API to access monitoring features. To install the SDK, visit https://docs.sentry.io/error-reporting/quickstart/?platform=javascript",,JavaScript,Sentry,https://github.com/getsentry/sentry-javascript/tree/master/packages/typescript
14,Mapillary REST API v3,Mapping,11.26.2018,https://www.programmableweb.com/sdk/mapillary-android-sdk," The Mapillary Android SDK provides a guide to interact with the API, offering configuration, documentation, and example app.",,Java,Mapillary,http://android-releases.mapillary.io/sdk/Mapillary_SDK_Quick%20start%20guide.pdf
15,Mapillary REST API v3,Mapping,11.26.2018,https://www.programmableweb.com/sdk/mapillary-ios-sdk," The Mapillary iOS SDK interacts with the API to access mapping functionalities. Available installation via CocoaPods, configuration, and usage.",,Objective-C,Mapillary,https://github.com/mapillary/mapillary-sdk-ios
16,Amap REST API,"Mapping, Chinese",11.26.2018,https://www.programmableweb.com/sdk/amap-php-sdk-jian-li, The Amap PHP SDK by Jian Li allows developers to access the Amap API using PHP. This SDK requires PHP 7.0+ and is installed via Composer. Documentation is only available in Chinese.,,PHP,Independent Developer,https://github.com/reprover/amap
17,Amap REST API,"Mapping, Chinese",11.26.2018,https://www.programmableweb.com/sdk/amap-javascript-sdk-vvkee, The Amap JavaScript SDK by vvkee allows developers to access the Amap API using JavaScript. Documentation is only available in Chinese.,,JavaScript,Independent Developer,https://github.com/vvkee/amap
18,Amap REST API,"Mapping, Chinese",11.26.2018,https://www.programmableweb.com/sdk/amap-php-sdk-axios, The Amap PHP SDK by Axios allows developers to access the Amap API using PHP. This SDK is installed via Composer. Documentation is only available in Chinese.,https://packagist.org/packages/axios/amap-api-sdk,PHP,Independent Developer,https://github.com/AxiosCros/amap-api-sdk
19,Amap REST API,"Mapping, Chinese",11.26.2018,https://www.programmableweb.com/sdk/amap-objective-c-sdk-liang-xu, The Amap Objective-C SDK by Liang Xu allows developers to access the Amap API's functions using Objective-C. Documentation is only available in Chinese.,,Objective-C,Independent Developer,https://github.com/XLsn0w/XLsn0wAMapShowStation
20,Vault REST API,"Security, Authentication, Authorization",11.25.2018,https://www.programmableweb.com/sdk/vault-go-cli-sdk-adfinis-sygroup, The Vault Go CLI SDK by Adfinis SyGroup allows developers to access the Vault API using a CLI (command-line interface) written in Go.,,Go,,https://github.com/adfinis-sygroup/vault-client
21,Vault REST API,"Security, Authentication, Authorization",11.25.2018,https://www.programmableweb.com/sdk/vault-scala-sdk-chris-jansen, The Vault Scala SDK by Chris Jansen allows developers to access the Vault API using Scala. This SDK can be installed with SBT.,,Scala,Independent Developer,https://github.com/janstenpickle/scala-vault
22,Vault REST API,"Security, Authentication, Authorization",11.25.2018,https://www.programmableweb.com/sdk/vault-elixir-sdk-findmypast, The Vault Elixir SDK by findmypast allows developers to access the Vault API using Elixir.,https://hex.pm/packages/vaultex,Elixir,,https://github.com/findmypast/vaultex
23,Vault REST API,"Security, Authentication, Authorization",11.25.2018,https://www.programmableweb.com/sdk/vault-nodejs-sdk-munif-tanjim, The Vault NodeJS SDK by Munif Tanjim allows developers to access the Vault API using NodeJS.,,Node.js,Independent Developer,https://github.com/MunifTanjim/hashicorp-vault
24,BitGrail Public REST API v1,Cryptocurrency,11.25.2018,https://www.programmableweb.com/sdk/bitgrail-php-sdk-tarcisioruas, The BitGrail PHP SDK by tarcisioruas allows developers to access the BitGrail API using PHP code. This SDK is installed via Composer.,,PHP,Independent Developer,https://github.com/tarcisioruas/php-bitgrail-sdk
25,BitGrail Public REST API v1,Cryptocurrency,11.25.2018,https://www.programmableweb.com/sdk/bitgrail-php-sdk-caobaonhan, The BitGrail PHP SDK by caobaonhan allows developers to access the BitGrail API using PHP code.,,PHP,Independent Developer,https://github.com/caobaonhan/bitgrailphp
26,BitGrail Public REST API v1,Cryptocurrency,11.25.2018,https://www.programmableweb.com/sdk/bitgrail-javascript-sdk-bitquant, The BitGrail JavaScript SDK by bitquant allows developers to get cryptocurrency quotes from the BitGrail API using JavaScript. This SDK is installed using npm.,,JavaScript,,https://github.com/bitquant/bitgrail
27,BitGrail Public REST API v1,Cryptocurrency,11.25.2018,https://www.programmableweb.com/sdk/bitgrail-go-sdk-shoya-tsukada, The BitGrail Go SDK by Shoya Tsukada allows developers to access the BitGrail API from their Go applications.,,Go,Independent Developer,https://github.com/gabu/go-bitgrail
28,BitGrail Public REST API v1,Cryptocurrency,11.25.2018,https://www.programmableweb.com/sdk/bitgrail-nodejs-sdk-caio-lucas, The BitGrail NodeJS SDK by Caio Lucas allows developers to integrate the BitGrail API into their NodeJS applications. This SDK is installed via npm.,,Node.js,Independent Developer,https://github.com/caiolrm/bitgrailjs
29,Pelias REST API v1,"Location, Addresses, Mapping",11.22.2018,https://www.programmableweb.com/sdk/pelias-python-sdk-david-riordan, The Pelias Python SDK by David Riordan allows developers to integrate the Pelias API into their Python applications.,,Python,Independent Developer,https://github.com/riordan/py-mapzen-pelias
30,Pelias REST API v1,"Location, Addresses, Mapping",11.22.2018,https://www.programmableweb.com/sdk/pelias-ubuntu-javascript-sdk-openaddresses, The Pelias Ubuntu JavaScript SDK by OpenAddresses allows developers to integrate the Pelias API into their Ubuntu systems using JavaScript.,,JavaScript,Open Addresses,https://github.com/openaddresses/pelias-api-ubuntu
31,PickPoint REST API v1,"Location, Addresses, Localization, Mapping",11.22.2018,https://www.programmableweb.com/sdk/pickpoint-php-sdk-geocoder, The PickPoint PHP SDK by Geocoder provides developers with read-only access to the PickPoint API using PHP code. This SDK is installed via Composer and requires PHP 7.0+.,https://packagist.org/packages/geocoder-php/pickpoint-provider,PHP,PickPoint,https://github.com/geocoder-php/pickpoint-provider
32,PickPoint REST API v1,"Location, Addresses, Localization, Mapping",11.22.2018,https://www.programmableweb.com/sdk/pickpoint-nodejs-sdk, The PickPoint NodeJS SDK allows developers to integrate the PickPoint API into their NodeJS applications. This SDK is installed via npm.,,Node.js,PickPoint,https://github.com/pickpoint/node-geocoder
33,Free Fortnite REST API v1.1,"Games, Entertainment",11.21.2018,https://www.programmableweb.com/sdk/free-fortnite-php-sdk, The Free Fortnite PHP SDK allows developers to access the unofficial Free Fortnite API using PHP code.,,PHP,,https://github.com/samhoogantink/Fortnite-API
34,Beaconstac REST API v1,"Marketing, Bluetooth, Real Time",11.21.2018,https://www.programmableweb.com/sdk/beaconstac-indoorlocation-android-sdk, The Beaconstac IndoorLocation Android SDK provides indoor navigation to Bluetooth connected devices. This package supports Android 4.3 and above.,,Java,Beaconstac,https://github.com/Beaconstac/IndoorLocation-Android-SDK
35,Beaconstac REST API v1,"Marketing, Bluetooth, Real Time",11.21.2018,https://www.programmableweb.com/sdk/beaconstac-nearbee-objective-c-sdk, The Beaconstac Nearbee Objective-C SDK offers proximity marketing and location analytics by connecting users to an iBeacon-compliant Bluetooth Low Energy network. Nearbee provides real-time notifications and offers Eddystone beacon support. This package requires iOS 10.0 or later.,,Objective-C,Beaconstac,https://github.com/Beaconstac/NearBee-iOS-SDK
36,Beaconstac REST API v1,"Marketing, Bluetooth, Real Time",11.21.2018,https://www.programmableweb.com/sdk/beaconstac-android-sdk, The Beaconstac Android SDK offers proximity marketing and location analytics by connecting users to an iBeacon-compliant Bluetooth Low Energy network. The latest version is 3.18.,,Java,Beaconstac,https://github.com/Beaconstac/Android-SDK
37,Beaconstac REST API v1,"Marketing, Bluetooth, Real Time",11.21.2018,https://www.programmableweb.com/sdk/beaconstac-nearbee-react-sdk, The Beaconstac Nearbee React SDK offers proximity marketing and location analytics by connecting users to an iBeacon-compliant Bluetooth Low Energy network. Nearbee provides real-time notifications and offers Eddystone beacon support.,,JavaScript,Beaconstac,https://github.com/Beaconstac/react-native-nearbee
38,Beaconstac REST API v1,"Marketing, Bluetooth, Real Time",11.21.2018,https://www.programmableweb.com/sdk/beaconstac-objective-c-sdk, The Beaconstac Objective-C SDK offers proximity marketing and location analytics by connecting users to an iBeacon-compliant Bluetooth Low Energy network. iOS 10.0 or later is required.,,Objective-C,Beaconstac,https://github.com/Beaconstac/iOS-SDK
39,Webix File Manager JavaScript Indirect API,Application Development,11.21.2018,https://www.programmableweb.com/sdk/webix-file-manager-php-server-sdk, The Webix File Manager PHP Server SDK provides access to the File Manager JavaScript UI widget. The File Manager JavaScript UI widget for web developers is a component for enterprise web applications. Webix helps developers build UIs for creating products and internal web resources.,https://github.com/webix-hub/filemanager-backend,PHP,XB Software,https://docs.webix.com
40,Webix Remote JavaScript Indirect API,Application Development,11.21.2018,https://www.programmableweb.com/sdk/webix-rpc-php-sdk, This SDK is a simple PHP RPC Webix UI integration. Webix helps developers build UIs for creating products and internal web resources.,https://github.com/webix-hub/remote-php,PHP,XB Software,https://docs.webix.com
