,Description,Published,Meta_Url,Languages,Provider,Asset URL,Repository,Terms Of Service
0, Sammy is a framework on Javascript. It is 16K compressed and 5.2 compressed and gzipped. This framework is built on plugins and adapters. It aims to extract developers' code into reusable plugins.,11.13.2014,https://www.programmableweb.com/framework/sammy-framework,JavaScript,,http://sammyjs.org/docs,https://github.com/quirkey/sammy,
1," Can is a framework on Javascript. It aims to build applications that are flexible, powerful, and fast. It's flexible because developers can reuse templates. It's powerful because the framework contains 2 RESTful models. And it's fast because the responsive widgets can be learned in a day.",11.13.2014,https://www.programmableweb.com/framework/can-javascript-framework,JavaScript,,http://canjs.com/,https://github.com/bitovi/canjs/,
2," Backbone is a framework on Javascript. It connects events, collections, and functions to existent APIs over a RESTful JSON interface.",11.13.2014,https://www.programmableweb.com/framework/backbone-framework,JavaScript,,http://backbonejs.org/,https://github.com/jashkenas/backbone,
3," Written in Java and Android compatible, Licas allows you to build service-based networks. All of the main SOA features are included for distributed communications or architecture and additional packages allow for AI programming. Build lightweight networks of service-based components (SOA or Cloud). Programmable framework with many features - add/run services, add/search metadata, autonomous, agent-based, self-organizing and distributed communication. Java J2SE (1.5+) compatible. Communication includes XML-RPC, REST, HTTP and dynamic Web Services (SOAP). An 'All-in-One' GUI is a free tool, available from the DCS site and can be used to run all of the packages and separate modules. Alternatively, write programs using the stand-alone server, or by extending the open source classes. A p2p network can be setup requiring only the HTTP address and optional passwords. Example Apps are messenger, file sharing, web services, query. The code can also be used for more scientific programs. Sub-packages include text or query processing, or heuristic evaluation. A problem solver provides genetic algorithms and other AI algorithms, integrated into the whole system.",11.13.2014,https://www.programmableweb.com/framework/licas-framework,Java,,http://distributedcomputingsystems.co.uk/licas.html,https://sourceforge.net/projects/licas/,
4, PyGtalkRobot is a Google Talk bot framework written in Python. This framework requires the user to have either Python 2.4+ or ActivePython. Its dependencies are xmpppy and pydns.,11.13.2014,https://www.programmableweb.com/framework/pygtalkrobot-google-talk-python-framework,Python,Google,https://code.google.com/p/pygtalkrobot/,,
5, Derby.js is a framework designed for developers to create collaborative real time web applications. The MVC framework facilitates the creation of applications that serve in Node.js and the browser.,11.05.2014,https://www.programmableweb.com/framework/derby.js-framework,JavaScript,,http://derbyjs.org/,https://github.com/derbyjs/derby,
6," The Zendesk framework can be utilized to construct robust Zendesk-themed apps with the help of JavaScript APIs. Zendesk apps can enhance functionality such as ticket information, customer details, and time tracking.",10.17.2014,https://www.programmableweb.com/framework/zendesk-framework,JavaScript,Zendesk,https://developer.zendesk.com/apps/docs/agent/introduction,https://github.com/zendesk/demo_apps/tree/master/hello_world_sample_app,
7," Connect IQ a platform for third-party developers to create apps for Garmin products, and the Connect IQ SDK gives developers the tools to build these apps. With Connect IQ developers can customize the user experience with new faces, use the sensors to accumulate data and metrics, create widgets for instant information tidbits, and create fitness-reflated lifestyle web apps. A preview of the SDK is now available to start building apps for Garmin wearable devices. Devices that are compatible with Connect IQ will be available early 2015, but until then, the simulator included in the SDK will provide a testing platform for what is being built.",10.17.2014,https://www.programmableweb.com/framework/garmin-connect-iq-sdk,Unspecified,Garmin,http://developer.garmin.com/connect-iq/overview/,,
8," This Ruby on Rails gem allows developers to easily integrate Algolia into object relational mapping systems. The Algolia Search API can be implemented into web applications to reference a database to display a drop down of real time search results. The API supports quick faceted, full-text, and numerical search results.",10.13.2014,https://www.programmableweb.com/framework/algolia-rails-client,Ruby,,https://github.com/algolia/algoliasearch-rails#readme,,
9," Feed.Fm offers Unity SDK, a kit that wraps the REST API for the Unity environment. Developers can find a sample scene in the website to become aware of the functionality. In this case, the quickest way to understand how the kit works is to install the package and open the sample in Assets/FeedFm Demos/PlayerScene.unity. Additional to a sample scene, users can find guides related to the Player GUI that includes initialization, rendering, and caveats.",09.17.2014,https://www.programmableweb.com/framework/feed.fm-unity-sdk,C#,,http://developer.feed.fm/documentation,https://github.com/fuzz-radio/Unity-Native-SDK,
10," The Splunk developer platform consists of three primary components: Splunkd, the engine; Splunk Web, the app framework that sits on top of the engine; and the Splunk SDKs that interface with the REST API and extension points.The Splunk SDK for PHP lets developers target Splunkd by making calls against the engine's REST API and accessing the various Splunkd end points such as custom search commands, lookup functions, scripted inputs, and custom REST handlers.",09.17.2014,https://www.programmableweb.com/framework/splunk-php-sdk,PHP,Splunk,http://dev.splunk.com/view/php-sdk/SP-CAAAEJM,,
