,Related APIs,Category,Published,Meta_Url,Languages,Related Frameworks,Architectural Style,Provider,Asset URL,Repository,Terms Of Service,Type,Docs Home,Request Formats,Response Formats
0,GeoNames,"Geography, Database, Mapping, Reference",12.01.2014,https://www.programmableweb.com/library/geonames-objective-c-library-infinite-loop,Objective-C,,,,http://www.infinite-loop.dk/developer/ilgeonames/,,,Library,,,
1,GovTrack.us,Government,12.01.2014,https://www.programmableweb.com/library/govtrack-node.js-library-govtrack-node,Node.js,,,,https://www.npmjs.org/package/govtrack-node,https://github.com/markgx/govtrack-node,,Library,,,
2,Vote Smart,Voting,12.01.2014,https://www.programmableweb.com/library/project-vote-smart-python-client-library-python-votesmart,Python,,,,https://github.com/sunlightlabs/python-votesmart/tree/master,,,Library,,,
3,OpenWeatherMap,"Weather, Mapping",12.01.2014,https://www.programmableweb.com/library/openweathermap-javascript-library,JavaScript,,,OpenWeatherMap,http://weatherjs.com/,,,Library,,,
4,OpenWeatherMap,"Weather, Mapping",12.01.2014,https://www.programmableweb.com/library/openweathermap-java-library,Java,,,OpenWeatherMap,https://github.com/migtavares/owmClient,,,Library,,,
5,Eventbrite,"Events, Data",12.01.2014,https://www.programmableweb.com/library/eventbrite-.net-client-library,.Net,,,Eventbrite,https://github.com/penguinboy/Eventbrite.NET,,,Library,,,
6,Eventbrite,"Events, Data",12.01.2014,https://www.programmableweb.com/library/eventbrite-c-client-library,C#,,,Eventbrite,https://github.com/ghurlman/EventBrite.WinStore,,,Library,,,
7,Eventbrite,"Events, Data",12.01.2014,https://www.programmableweb.com/library/eventbrite-javascript-client-library,JavaScript,,,Eventbrite,https://github.com/eventbrite/Eventbrite.jquery.js,,,Library,,,
8,Eventbrite,"Events, Data",12.01.2014,https://www.programmableweb.com/library/eventbrite-node.js-client-library,Node.js,,,Eventbrite,https://github.com/eventbrite/eventbrite.npm,,,Library,,,
9,Eventbrite,"Events, Data",12.01.2014,https://www.programmableweb.com/library/eventbrite-ruby-client-library,Ruby,,,Eventbrite,https://github.com/eventbrite/eventbrite-client.rb,,,Library,,,
10,Eventbrite,Events,12.01.2014,https://www.programmableweb.com/library/eventbrite-python-client-library,Python,,,Eventbrite,https://github.com/eventbrite/eventbrite-client-py,,,Library,,,
11,HeyWatch Core Video Encoding,"Encoding, Video",12.01.2014,https://www.programmableweb.com/library/heywatch-ruby-client-library,Ruby,,,HeyWatch,http://www.heywatchencoding.com/ruby-rails,https://github.com/heywatch/heywatch-ruby,,Library,,,
12,"HeyWatch Core Video Encoding, HeyWatch HTTP Live Streaming, HeyWatch Video Preview, HeyWatch Receiving Pings","Encoding, Video",12.01.2014,https://www.programmableweb.com/library/heywatch-python-client-library,Python,,,HeyWatch,http://www.heywatchencoding.com/python,https://github.com/heywatch/heywatch-python,,Library,,,
13,"HeyWatch Core Video Encoding, HeyWatch HTTP Live Streaming, HeyWatch Video Preview, HeyWatch Receiving Pings","Encoding, Video",12.01.2014,https://www.programmableweb.com/library/heywatch-php-client-library,PHP,,,HeyWatch,http://www.heywatchencoding.com/php,https://github.com/heywatch/heywatch-php,,Library,,,
14,"HeyWatch Core Video Encoding, HeyWatch HTTP Live Streaming, HeyWatch Video Preview, HeyWatch Receiving Pings","Encoding, Video",12.01.2014,https://www.programmableweb.com/library/heywatch-objective-c-client-library,Objective-C,,,HeyWatch,http://www.heywatchencoding.com/objective-c,https://github.com/heywatch/heywatch-objc,,Library,,,
15,"HeyWatch Core Video Encoding, HeyWatch HTTP Live Streaming, HeyWatch Video Preview, HeyWatch Receiving Pings","Encoding, Video",12.01.2014,https://www.programmableweb.com/library/heywatch-node.js-client-library,Node.js,,,HeyWatch,http://www.heywatchencoding.com/nodejs,https://github.com/heywatch/heywatch-nodejs,,Library,,,
16,"HeyWatch Core Video Encoding, HeyWatch HTTP Live Streaming, HeyWatch Video Preview, HeyWatch Receiving Pings","Encoding, Video",12.01.2014,https://www.programmableweb.com/library/heywatch-java-client-library,Java,,,HeyWatch,http://www.heywatchencoding.com/java,https://github.com/heywatch/heywatch-java,,Library,,,
17,"HeyWatch Core Video Encoding, HeyWatch HTTP Live Streaming, HeyWatch Video Preview, HeyWatch Receiving Pings","Encoding, Video",12.01.2014,https://www.programmableweb.com/library/heywatch-.net-client-library,.Net,,,HeyWatch,https://github.com/heywatch/heywatch-dotnet,https://github.com/heywatch/heywatch-dotnet,,Library,,,
18,Traitify,"Analytics, Data, Predictions, Testing",11.27.2014,https://www.programmableweb.com/library/traitify-api-ruby-library,Ruby,,,Traitify,https://developer.traitify.com/documentation,https://github.com/traitify/traitify-ruby,,Library,,,
19,Traitify,"Analytics, Data, Predictions, Testing",11.27.2014,https://www.programmableweb.com/library/traitify-api-nodejs-library,Node.js,,,Traitify,https://developer.traitify.com/documentation,https://github.com/traitify/traitify-node,,Library,,,
20,Traitify,"Analytics, Data, Predictions, Testing",11.27.2014,https://www.programmableweb.com/library/traitify-api-php-library,PHP,,,Traitify,https://developer.traitify.com/documentation,https://github.com/traitify/traitify-php,,Library,,,
21,Traitify,"Analytics, Data, Predictions, Testing",11.27.2014,https://www.programmableweb.com/library/traitify-api-.net-library,.Net,,,Traitify,https://developer.traitify.com/documentation,https://github.com/traitify/traitify.net,,Library,,,
22,Traitify,"Analytics, Data, Predictions, Testing",11.27.2014,https://www.programmableweb.com/library/traitify-api-python-library,Python,,,Traitify,https://developer.traitify.com/documentation,https://github.com/traitify/traitify-python2.x,,Library,,,
23,Traitify,"Analytics, Data, Predictions, Testing",11.27.2014,https://www.programmableweb.com/library/traitify-api-java-library,Java,,,Traitify,https://developer.traitify.com/documentation,https://github.com/traitify/traitify-java,,Library,,,
24,Fakturoid,"Invoicing, Accounting, Business, European",11.27.2014,https://www.programmableweb.com/library/fakturoid-php-library,PHP,,,Fakturoid,https://github.com/fakturoid/php,https://github.com/fakturoid/php,,Library,,,
25,Fakturoid,"Invoicing, Accounting, Business, European",11.27.2014,https://www.programmableweb.com/library/fakturoid-python-library,Python,,,Fakturoid,https://github.com/farin/python-fakturoid,https://github.com/farin/python-fakturoid,,Library,,,
26,Fakturoid,"Invoicing, Accounting, Business, European",11.27.2014,https://www.programmableweb.com/library/fakturoid-c.net-library,".Net, C#",,,Fakturoid,https://github.com/ridercz/Fakturoid-API,https://github.com/ridercz/Fakturoid-API,,Library,,,
27,"Twilio, Twilio Voice",Telephony,11.27.2014,https://www.programmableweb.com/library/twilio-javascript-library,JavaScript,,,Twilio,https://www.twilio.com/webrtc,https://www.twilio.com/docs/client/twilio-js,,Library,,,
28,jwmoz Pinterest,"Images, Photos, Social",11.27.2014,https://www.programmableweb.com/library/unofficial-pinterest-node.js-library-pinterest-api,Node.js,,,Independent Developer,https://www.npmjs.org/package/pinterest-api,,,Library,,,
29,Metaname,Domains,11.27.2014,https://www.programmableweb.com/library/metaname-ruby-client-library,Ruby,,,Metaname,https://metaname.net/api/ruby,,,Library,,,
30,Metaname,Domains,11.27.2014,https://www.programmableweb.com/library/metaname-python-client,Python,,,Metaname,https://github.com/metaname/python-metaname,,,Library,,,
31,Metaname,Domains,11.27.2014,https://www.programmableweb.com/library/metaname-php-client-library,PHP,,,Metaname,https://metaname.net/api/php,,,Library,,,
32,The Noun Project,"Other, Images",11.27.2014,https://www.programmableweb.com/library/noun-project-ruby-gem-noun-project-api,Ruby,,,,https://github.com/TailorBrands/noun-project-api,http://rubygems.org/gems/noun-project-api/versions/0.0.5,,Library,,,
