,Related APIs,Category,Submitted,Meta_Url,Description,Repository,Languages,Provider,Asset URL
0,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-cocoa-objective-c-sdk-alex-c-schaefer, The Quandl Cocoa Objective-C SDK by Alex C. Schaefer allows developers to integrate the Quandl API into their applications built with the Cocoa development framework and Objective-C.,,Objective-C,Independent Developer,https://github.com/arminius2/QuandlKit
1,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-rust-sdk-damien-levac, The Quandl Rust SDK by Damien Levac allows developers to integrate the Quandl API v3 into their Rust applications.,https://crates.io/crates/quandl-v3,Unspecified,Independent Developer,https://github.com/Proksima/quandl
2,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-rust-sdk-frostly, The Quandl Rust SDK by Frostly allows developers to integrate the Quandl API v3 into their Rust applications.,https://crates.io/crates/quandl,Unspecified,,https://github.com/frostly/quandl
3,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-clojure-sdk-paul-english, The Quandl Clojure SDK by Paul English allows developers to integrate the Quandl API into their Clojure applications.,,Clojure,Independent Developer,https://github.com/log0ymxm/clj-quandl
4,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-ruby-sdk, The Quandl Ruby SDK is an official gem that allows developers to integrate the Quandl API into their Ruby applications.,,Ruby,Quandl,https://github.com/quandl/quandl-ruby
5,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-net-sdk-karl-wan," The Quandl .NET SDK by Karl Wan allows developers to integrate the Quandl API v3 into their .NET applications. This SDK is based on .NET standard 2.0 and can run on .NET Core, .NET Framework, Xamarin.iOS, Xamarin.Android, and Universal Windows Platform.",https://www.nuget.org/packages/Quandl.NET/,".Net, C#",Independent Developer,https://github.com/lppkarl/Quandl.NET
6,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-go-sdk-danny-ben-shitrit, The Quandl Go SDK by Danny Ben Shitrit allows developers to integrate the Quandl API into their Go applications. This SDK can return either a native Go object or a raw CSV/JSON/XML response.,,Go,Independent Developer,https://github.com/DannyBen/quandl
7,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-haskell-sdk-pvdbrand, The Quandl Haskell SDK by pvdbrand allows developers to integrate the Quandl API into their Haskell applications.,,Haskell,Independent Developer,https://github.com/pvdbrand/quandl-api
8,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-ruby-sdk-kash-nouroozi, The Quandl Ruby SDK by Kash Nouroozi is a gem that allows developers to integrate the Quandl API into their Ruby applications.,https://rubygems.org/gems/quandl_ruby,Ruby,Independent Developer,https://github.com/knrz/Quandl-Ruby
9,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-java-sdk-iamtrask, The Quandl Java SDK by iamtrask allows developers to integrate the Quandl API into their Java applications.,,Java,Independent Developer,https://github.com/iamtrask/quandl-java
10,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-net-sdk-jared, The Quandl .NET SDK by Jared allows developers to integrate the Quandl API into their .NET applications.,,".Net, C#",Independent Developer,https://github.com/jaredbroad/Quandl.NET
11,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-php-sdk-danny-ben-shitrit, The Quandl PHP SDK by Danny Ben Shitrit allows developers to access the Quandl API using PHP code. This SDK requires PHP 5.4.0+ and is installed via Composer.,https://packagist.org/packages/dannyben/php-quandl,PHP,Independent Developer,https://github.com/DannyBen/php-quandl
12,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-cc-sdk-zhiwei, The Quandl C/C++ SDK by Zhiwei allows developers to integrate the Quandl API into their C/C++ applications.,,"C, C++",Independent Developer,https://github.com/zafuer/QuandlAPI_C
13,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-julia-sdk-milktrader, The Quandl Julia SDK by milktrader allows developers to integrate the Quandl API into their applications written in the Julia programming language.,,Unspecified,Independent Developer,https://github.com/milktrader/Quandl.jl
14,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-nodejs-sdk-norman-joyner, The Quandl NodeJS SDK by Norman Joyner allows developers to integrate the Quandl API into their NodeJS applications. This SDK supports API versions 1 and 3.,,Node.js,Independent Developer,https://github.com/normanjoyner/node-quandl
15,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-java-sdk-jim-moores, The Quandl Java SDK by Jim Moores allows developers to integrate the Quandl API into their Java 7+ applications.,,Java,Independent Developer,https://github.com/jimmoores/quandl4j
16,Quandl REST API v3,"Search, Data",07.16.2018,https://www.programmableweb.com/sdk/quandl-c-sdk-hubertj, The Quandl C# SDK by HubertJ allows developers to integrate the Quandl API into their C# applications.,,C#,Independent Developer,https://github.com/HubertJ/QuandlCS
17,Language Detection REST API,"Language, Recognition",07.16.2018,https://www.programmableweb.com/sdk/language-detection-net-sdk," The Language Detection .NET SDK shows how to create a REST and HTTP API Client for .NET
http://restsharp.org/",,.Net,Detect Language,https://github.com/detectlanguage/detectlanguage-csharp
18,Language Detection REST API,"Language, Recognition",07.16.2018,https://www.programmableweb.com/sdk/language-detection-php-sdk, The Language Detection PHP SDK detects the language of given text. It returns detected language codes and scores.,,PHP,Detect Language,https://github.com/detectlanguage/detectlanguage-php
